step,train_loss,epoch,val_acc,train_acc,test_acc
49,0.493726521730423,0,,,
99,0.48044636845588684,0,,,
149,0.4234168529510498,0,,,
199,0.39325031638145447,0,,,
249,0.3978276252746582,0,,,
299,0.41205981373786926,0,,,
311,,0,0.3050000071525574,,
311,,0,,0.25580930709838867,0.38350000977516174
349,0.4411988854408264,1,,,
399,0.4193095862865448,1,,,
449,0.3141953647136688,1,,,
499,0.3072906732559204,1,,,
549,0.3875267505645752,1,,,
599,0.26262348890304565,1,,,
623,,1,0.36719998717308044,,
623,,1,,0.3409455120563507,0.477400004863739
649,0.4205034375190735,2,,,
699,0.32256799936294556,2,,,
749,0.2629378139972687,2,,,
799,0.30433642864227295,2,,,
849,0.38373035192489624,2,,,
899,0.3213750720024109,2,,,
935,,2,0.40560001134872437,,
935,,2,,0.38088440895080566,0.5333999991416931
949,0.182219997048378,3,,,
999,0.20438189804553986,3,,,
1049,0.21754810214042664,3,,,
1099,0.3580496311187744,3,,,
1149,0.33882325887680054,3,,,
1199,0.3718377351760864,3,,,
1247,,3,0.44290000200271606,,
1247,,3,,0.41363683342933655,0.5929999947547913
1249,0.2500767707824707,4,,,
1299,0.16495487093925476,4,,,
1349,0.13670939207077026,4,,,
1399,0.20560412108898163,4,,,
1449,0.18200230598449707,4,,,
1499,0.29904213547706604,4,,,
1549,0.24739478528499603,4,,,
1559,,4,0.42500001192092896,,
1559,,4,,0.43597254157066345,0.5601000189781189
1599,0.264099657535553,5,,,
1649,0.14889279007911682,5,,,
1699,0.14191021025180817,5,,,
1749,0.1688518524169922,5,,,
1799,0.2099476456642151,5,,,
1849,0.2618637979030609,5,,,
1871,,5,0.4366999864578247,,
1871,,5,,0.4520232379436493,0.5842999815940857
1899,0.14625763893127441,6,,,
1949,0.2390899658203125,6,,,
1999,0.17973509430885315,6,,,
2049,0.31000006198883057,6,,,
2099,0.14647847414016724,6,,,
2149,0.2517862915992737,6,,,
2183,,6,0.4553999900817871,,
2183,,6,,0.4606871008872986,0.6230000257492065
2199,0.13909359276294708,7,,,
2249,0.2170303463935852,7,,,
2299,0.1373944729566574,7,,,
2349,0.10036808252334595,7,,,
2399,0.21415340900421143,7,,,
2449,0.19787970185279846,7,,,
2495,,7,0.47609999775886536,,
2495,,7,,0.474609375,0.6593000292778015
2499,0.12245101481676102,8,,,
2549,0.16066157817840576,8,,,
2599,0.10442192852497101,8,,,
2649,0.20898807048797607,8,,,
2699,0.22242926061153412,8,,,
2749,0.20488326251506805,8,,,
2799,0.24119770526885986,8,,,
2807,,8,0.4754999876022339,,
2807,,8,,0.48923277854919434,0.6452000141143799
2849,0.19015784561634064,9,,,
2899,0.14198103547096252,9,,,
2949,0.13238736987113953,9,,,
2999,0.11236874759197235,9,,,
3049,0.08812536299228668,9,,,
3099,0.1771577149629593,9,,,
3119,,9,0.49559998512268066,,
3119,,9,,0.49924880266189575,0.675599992275238
3149,0.17990067601203918,10,,,
3199,0.12720927596092224,10,,,
3249,0.1407928168773651,10,,,
3299,-0.021666724234819412,10,,,
3349,0.08674821257591248,10,,,
3399,0.0659044086933136,10,,,
3431,,10,0.49570000171661377,,
3431,,10,,0.506911039352417,0.692300021648407
3449,0.15746477246284485,11,,,
3499,0.06308355182409286,11,,,
3549,0.18571238219738007,11,,,
3599,0.16154423356056213,11,,,
3649,0.10179286450147629,11,,,
3699,0.2569813132286072,11,,,
3743,,11,0.5,,
3743,,11,,0.5153746008872986,0.7120000123977661
3749,0.21187831461429596,12,,,
3799,0.19182699918746948,12,,,
3849,0.08595738559961319,12,,,
3899,0.1943165361881256,12,,,
3949,0.18269670009613037,12,,,
3999,0.11125320941209793,12,,,
4049,0.1303294599056244,12,,,
4055,,12,0.5090000033378601,,
4055,,12,,0.5182291865348816,0.7178999781608582
4099,0.14807628095149994,13,,,
4149,0.1750352680683136,13,,,
4199,0.05514262989163399,13,,,
4249,0.058555036783218384,13,,,
4299,0.003296162933111191,13,,,
4349,0.01665797270834446,13,,,
4367,,13,0.5081999897956848,,
4367,,13,,0.5264172554016113,0.7157999873161316
4399,0.06675418466329575,14,,,
4449,0.16892877221107483,14,,,
4499,0.10463439673185349,14,,,
4549,0.12623590230941772,14,,,
4599,0.13991175591945648,14,,,
4649,0.01576661691069603,14,,,
4679,,14,0.5127000212669373,,
4679,,14,,0.5296725034713745,0.720300018787384
4699,0.1773107945919037,15,,,
4749,0.05764856934547424,15,,,
4799,0.009331312030553818,15,,,
4849,0.03683497756719589,15,,,
4899,0.10610374808311462,15,,,
4949,0.19966906309127808,15,,,
4991,,15,0.524399995803833,,
4991,,15,,0.5369591116905212,0.7324000000953674
4999,0.03855998069047928,16,,,
5049,0.15689405798912048,16,,,
5099,0.11168599128723145,16,,,
5149,0.11376091092824936,16,,,
5199,0.0927392765879631,16,,,
5249,0.031076475977897644,16,,,
5299,0.17823433876037598,16,,,
5303,,16,0.5238999724388123,,
5303,,16,,0.5422175526618958,0.7444000244140625
5349,0.12269140034914017,17,,,
5399,0.09646610915660858,17,,,
5449,0.08340653032064438,17,,,
5499,0.10682517290115356,17,,,
5549,0.042281374335289,17,,,
