train_loss1,step,train_loss2,epoch,train_acc2,train_acc1,test_acc
0.013943732716143131,49,0.013884061947464943,0,,,
0.012786192819476128,99,0.013127353973686695,0,,,
0.011824497021734715,149,0.01135010365396738,0,,,
0.010741370730102062,199,0.011656157672405243,0,,,
0.011459270492196083,249,0.011937758885324001,0,,,
0.011335196904838085,299,0.01167265698313713,0,,,
0.009787213988602161,349,0.010012533515691757,0,,,
,389,,0,0.3978966474533081,0.41300079226493835,0.5356000065803528
0.007717006839811802,399,0.008960099890828133,1,,,
0.009563842788338661,449,0.01033226028084755,1,,,
0.008676251396536827,499,0.00840076245367527,1,,,
0.008041816763579845,549,0.008750113658607006,1,,,
0.008824172429740429,599,0.009569549933075905,1,,,
0.007872731424868107,649,0.008573074825108051,1,,,
0.006985752377659082,699,0.0075910561718046665,1,,,
0.007465367205440998,749,0.008394078351557255,1,,,
,779,,1,0.5828325152397156,0.6011618375778198,0.6565999984741211
0.006904113572090864,799,0.0069707417860627174,2,,,
0.005414391402155161,849,0.006561331916600466,2,,,
0.0050777411088347435,899,0.004786974284797907,2,,,
0.006212978158146143,949,0.006248946767300367,2,,,
0.006564582698047161,999,0.006371228024363518,2,,,
0.005165864247828722,1049,0.005777413956820965,2,,,
0.0060390871949493885,1099,0.0070179421454668045,2,,,
0.005962633527815342,1149,0.006625817157328129,2,,,
,1169,,2,0.6688902378082275,0.6839542984962463,0.6868000030517578
0.0059805321507155895,1199,0.006055873818695545,3,,,
0.005387687589973211,1249,0.0069750165566802025,3,,,
0.006104030180722475,1299,0.006933794356882572,3,,,
0.0054587689228355885,1349,0.004578961990773678,3,,,
0.005163596943020821,1399,0.0054154773242771626,3,,,
0.004752195905894041,1449,0.004615668207406998,3,,,
0.0044505237601697445,1499,0.004895116668194532,3,,,
0.004252128768712282,1549,0.004290763754397631,3,,,
,1559,,3,0.7245192527770996,0.7386618852615356,0.7547000050544739
0.004382740240544081,1599,0.005262669175863266,4,,,
0.0030460869893431664,1649,0.003896335605531931,4,,,
0.0034358364064246416,1699,0.004045477602630854,4,,,
0.0037752047646790743,1749,0.0034684096463024616,4,,,
0.004151467699557543,1799,0.003584429854527116,4,,,
0.0035383752547204494,1849,0.002969098510220647,4,,,
0.002832026919350028,1899,0.002966994419693947,4,,,
