step,epoch,train_loss,val_acc,val_loss,train_acc,test_acc
49,0,2.147742986679077,,,,
99,0,2.0424771308898926,,,,
149,0,1.9206171035766602,,,,
199,0,1.7807716131210327,,,,
249,0,1.864748477935791,,,,
299,0,1.8545925617218018,,,,
311,0,,0.3855000138282776,1.8506287336349487,,
311,0,,,,0.3202373683452606,0.42660000920295715
349,1,1.7457188367843628,,,,
399,1,1.762163758277893,,,,
449,1,1.731201171875,,,,
499,1,1.693772554397583,,,,
549,1,1.6504907608032227,,,,
599,1,1.6950358152389526,,,,
623,1,,0.4999000132083893,1.6272251605987549,,
623,1,,,,0.45237380266189575,0.5823000073432922
649,2,1.610734462738037,,,,
699,2,1.5293645858764648,,,,
749,2,1.5345818996429443,,,,
799,2,1.469339370727539,,,,
849,2,1.4700453281402588,,,,
899,2,1.6425119638442993,,,,
935,2,,0.53329998254776,1.565501093864441,,
935,2,,,,0.5267928838729858,0.6021999716758728
949,3,1.6178171634674072,,,,
999,3,1.4992725849151611,,,,
1049,3,1.4154117107391357,,,,
1099,3,1.4431408643722534,,,,
1149,3,1.4600874185562134,,,,
1199,3,1.459481120109558,,,,
1247,3,,0.5667999982833862,1.4985065460205078,,
1247,3,,,,0.5784004330635071,0.6360999941825867
1249,4,1.3402684926986694,,,,
1299,4,1.4831711053848267,,,,
1349,4,1.3501918315887451,,,,
1399,4,1.3746225833892822,,,,
1449,4,1.4543888568878174,,,,
1499,4,1.3416247367858887,,,,
1549,4,1.4182045459747314,,,,
1559,4,,0.6039999723434448,1.401839256286621,,
1559,4,,,,0.6136819124221802,0.6872000098228455
1599,5,1.3651090860366821,,,,
1649,5,1.4000976085662842,,,,
1699,5,1.250775933265686,,,,
1749,5,1.2673671245574951,,,,
1799,5,1.2956737279891968,,,,
1849,5,1.2746551036834717,,,,
1871,5,,0.6248000264167786,1.3540135622024536,,
1871,5,,,,0.6443809866905212,0.7110999822616577
1899,6,1.1751976013183594,,,,
1949,6,1.3571933507919312,,,,
1999,6,1.2843356132507324,,,,
2049,6,1.166569471359253,,,,
2099,6,1.4046496152877808,,,,
2149,6,1.1457334756851196,,,,
2183,6,,0.6638000011444092,1.259477972984314,,
2183,6,,,,0.6620593070983887,0.7645000219345093
2199,7,1.1684149503707886,,,,
2249,7,1.2065989971160889,,,,
2299,7,1.1384235620498657,,,,
2349,7,1.0533311367034912,,,,
2399,7,1.183833122253418,,,,
2449,7,1.173633337020874,,,,
2495,7,,0.6205000281333923,1.3529058694839478,,
2495,7,,,,0.6732020974159241,0.708299994468689
2499,8,1.1623246669769287,,,,
2549,8,1.291018009185791,,,,
2599,8,1.2652795314788818,,,,
2649,8,1.2431409358978271,,,,
2699,8,1.2998912334442139,,,,
2749,8,1.2130069732666016,,,,
2799,8,1.2052853107452393,,,,
2807,8,,0.6657000184059143,1.2340859174728394,,
2807,8,,,,0.6853966116905212,0.7670999765396118
2849,9,1.2003434896469116,,,,
2899,9,1.2447558641433716,,,,
2949,9,1.2551109790802002,,,,
2999,9,1.1865590810775757,,,,
3049,9,1.2176403999328613,,,,
3099,9,1.2458858489990234,,,,
3119,9,,0.6588000059127808,1.2336955070495605,,
3119,9,,,,0.6970903277397156,0.7638000249862671
3149,10,1.1094779968261719,,,,
3199,10,1.0518808364868164,,,,
3249,10,1.0683279037475586,,,,
3299,10,1.1697534322738647,,,,
3349,10,1.0404688119888306,,,,
3399,10,1.0426701307296753,,,,
3431,10,,0.7042999863624573,1.1438326835632324,,
3431,10,,,,0.7092097401618958,0.7982000112533569
3449,11,1.152406930923462,,,,
3499,11,1.182941198348999,,,,
3549,11,1.021725058555603,,,,
3599,11,1.1271111965179443,,,,
3649,11,0.9241515398025513,,,,
3699,11,1.1563572883605957,,,,
3743,11,,0.6988999843597412,1.1453098058700562,,
3743,11,,,,0.7172726392745972,0.8030999898910522
3749,12,1.097220540046692,,,,
3799,12,1.0101865530014038,,,,
3849,12,1.020918369293213,,,,
3899,12,1.1814639568328857,,,,
3949,12,1.2347337007522583,,,,
3999,12,0.9203364253044128,,,,
4049,12,1.2109194993972778,,,,
4055,12,,0.6843000054359436,1.1547207832336426,,
4055,12,,,,0.7237830758094788,0.7853999733924866
4099,13,1.031605839729309,,,,
4149,13,0.9830518960952759,,,,
4199,13,0.9684522747993469,,,,
4249,13,1.0887163877487183,,,,
4299,13,1.0242589712142944,,,,
4349,13,1.1628121137619019,,,,
4367,13,,0.7052000164985657,1.1118959188461304,,
4367,13,,,,0.7280148267745972,0.8068000078201294
4399,14,1.0014256238937378,,,,
4449,14,1.132577896118164,,,,
4499,14,1.0675760507583618,,,,
4549,14,0.9931197762489319,,,,
4599,14,1.092663049697876,,,,
4649,14,1.1799510717391968,,,,
4679,14,,0.6995000243186951,1.1194698810577393,,
4679,14,,,,0.7385316491127014,0.8105000257492065
4699,15,1.013224720954895,,,,
4749,15,0.9890053272247314,,,,
4799,15,1.186253547668457,,,,
4849,15,1.1000852584838867,,,,
4899,15,0.8531947731971741,,,,
4949,15,1.0104109048843384,,,,
4991,15,,0.7070000171661377,1.085459589958191,,
4991,15,,,,0.7389573454856873,0.8263999819755554
4999,16,1.1414391994476318,,,,
5049,16,0.9431915879249573,,,,
5099,16,0.9006937742233276,,,,
5149,16,1.0636286735534668,,,,
5199,16,0.990824818611145,,,,
5249,16,1.0680955648422241,,,,
5299,16,0.9266276955604553,,,,
5303,16,,0.7182000279426575,1.0573643445968628,,
5303,16,,,,0.7468950152397156,0.8299999833106995
5349,17,0.8946599960327148,,,,
5399,17,1.080735206604004,,,,
5449,17,1.0392727851867676,,,,
5499,17,0.9309552907943726,,,,
5549,17,1.0125378370285034,,,,
5599,17,0.7786012291908264,,,,
5615,17,,0.7103000283241272,1.0709776878356934,,
5615,17,,,,0.7488731741905212,0.8241000175476074
5649,18,1.0290729999542236,,,,
5699,18,0.935727596282959,,,,
5749,18,1.0103867053985596,,,,
5799,18,0.9846781492233276,,,,
5849,18,0.9852999448776245,,,,
5899,18,0.9446297883987427,,,,
5927,18,,0.7296000123023987,1.0284990072250366,,
5927,18,,,,0.7551582455635071,0.8464000225067139
5949,19,1.1001263856887817,,,,
5999,19,0.8900048136711121,,,,
6049,19,1.0033018589019775,,,,
6099,19,1.0831096172332764,,,,
6149,19,0.8187935948371887,,,,
6199,19,0.9190921187400818,,,,
6239,19,,0.7195000052452087,1.0511038303375244,,
6239,19,,,,0.7593899965286255,0.8323000073432922
6249,20,0.8098015785217285,,,,
6299,20,0.9143010973930359,,,,
6349,20,0.9165541529655457,,,,
6399,20,0.955440878868103,,,,
6449,20,0.7960876226425171,,,,
6499,20,1.0236350297927856,,,,
6549,20,0.7691075801849365,,,,
6551,20,,0.7286999821662903,1.0237689018249512,,
6551,20,,,,0.7632712125778198,0.8385000228881836
6599,21,0.8241317272186279,,,,
6649,21,0.9302862286567688,,,,
6699,21,0.9615626931190491,,,,
6749,21,1.0031827688217163,,,,
6799,21,0.8984915614128113,,,,
6849,21,0.9568306803703308,,,,
6863,21,,0.7142999768257141,1.0551425218582153,,
6863,21,,,,0.7661758661270142,0.8252999782562256
6899,22,0.8171952366828918,,,,
6949,22,0.9166036248207092,,,,
6999,22,1.0114517211914062,,,,
7049,22,0.9426224231719971,,,,
7099,22,1.0167782306671143,,,,
7149,22,0.894154965877533,,,,
7175,22,,0.7131999731063843,1.0503625869750977,,
7175,22,,,,0.7712840437889099,0.8241999745368958
7199,23,0.8294524550437927,,,,
7249,23,0.8769084215164185,,,,
7299,23,0.9605844616889954,,,,
7349,23,0.9043943285942078,,,,
7399,23,0.9062114953994751,,,,
7449,23,0.8449199199676514,,,,
7487,23,,0.7210999727249146,1.0315935611724854,,
7487,23,,,,0.7710086107254028,0.8327999711036682
7499,24,0.8123721480369568,,,,
7549,24,0.9433612823486328,,,,
7599,24,0.9457825422286987,,,,
7649,24,0.8766177296638489,,,,
7699,24,0.8086113333702087,,,,
7749,24,1.057929277420044,,,,
7799,24,0.9636166095733643,,,,
7799,24,,0.7268000245094299,1.0131233930587769,,
7799,24,,,,0.7777944803237915,0.8367999792098999
7849,25,0.9771980047225952,,,,
7899,25,0.968283474445343,,,,
7949,25,1.0753719806671143,,,,
7999,25,0.9016832709312439,,,,
8049,25,0.8109334111213684,,,,
8099,25,0.7734475135803223,,,,
8111,25,,0.7232999801635742,1.0100030899047852,,
8111,25,,,,0.7789212465286255,0.8342999815940857
8149,26,0.8835113644599915,,,,
8199,26,0.8511804342269897,,,,
8249,26,0.7450745701789856,,,,
8299,26,0.9395057559013367,,,,
8349,26,0.9707948565483093,,,,
8399,26,0.8834338188171387,,,,
8423,26,,0.7171000242233276,1.0321863889694214,,
8423,26,,,,0.7833283543586731,0.8309999704360962
8449,27,0.8791638612747192,,,,
8499,27,0.7785200476646423,,,,
8549,27,0.8959383964538574,,,,
8599,27,0.812080979347229,,,,
8649,27,0.7595857977867126,,,,
8699,27,0.8680137395858765,,,,
8735,27,,0.704800009727478,1.0643694400787354,,
8735,27,,,,0.7883363366127014,0.8044000267982483
8749,28,1.0067476034164429,,,,
8799,28,0.670340895652771,,,,
8849,28,0.8204194903373718,,,,
8899,28,0.9084475636482239,,,,
8949,28,0.9899813532829285,,,,
8999,28,0.8497008085250854,,,,
9047,28,,0.7328000068664551,0.9866814613342285,,
9047,28,,,,0.7887369990348816,0.8482999801635742
9049,29,0.8969705700874329,,,,
9099,29,0.9103449583053589,,,,
9149,29,0.8487231135368347,,,,
9199,29,0.8529151082038879,,,,
9249,29,0.7991026043891907,,,,
9299,29,0.6189402937889099,,,,
9349,29,0.851269006729126,,,,
9359,29,,0.7213000059127808,1.0240992307662964,,
9359,29,,,,0.7922926545143127,0.8378999829292297
9399,30,0.8972716927528381,,,,
9449,30,0.7903232574462891,,,,
9499,30,0.68924480676651,,,,
9549,30,0.88273024559021,,,,
9599,30,0.8606755137443542,,,,
9649,30,0.6896725296974182,,,,
9671,30,,0.7533000111579895,0.9372885823249817,,
9671,30,,,,0.81640625,0.8758999705314636
9699,31,0.6920852661132812,,,,
9749,31,0.6878751516342163,,,,
9799,31,0.6945182681083679,,,,
9849,31,0.7624565362930298,,,,
9899,31,0.8461213111877441,,,,
9949,31,0.7151219844818115,,,,
9983,31,,0.7538999915122986,0.9365919828414917,,
9983,31,,,,0.8265475034713745,0.8772000074386597
9999,32,0.7153224945068359,,,,
10049,32,0.6992647051811218,,,,
10099,32,0.7329564690589905,,,,
10149,32,0.7570645213127136,,,,
10199,32,0.7143980264663696,,,,
10249,32,0.6360011100769043,,,,
10295,32,,0.7529000043869019,0.9368566274642944,,
10295,32,,,,0.831956148147583,0.8755999803543091
10299,33,0.7262184619903564,,,,
10349,33,0.7663667798042297,,,,
10399,33,0.6356017589569092,,,,
10449,33,0.6238456964492798,,,,
10499,33,1.1093858480453491,,,,
10549,33,0.8316782116889954,,,,
10599,33,0.8947069048881531,,,,
10607,33,,0.7551000118255615,0.9365437626838684,,
10607,33,,,,0.8327073454856873,0.873199999332428
10649,34,0.7111749053001404,,,,
10699,34,0.9151623249053955,,,,
10749,34,0.7190232276916504,,,,
10799,34,0.8218057155609131,,,,
10849,34,0.7899672389030457,,,,
10899,34,0.736257791519165,,,,
10919,34,,0.7554000020027161,0.9397886991500854,,
10919,34,,,,0.8349108695983887,0.8716999888420105
10949,35,0.7197672128677368,,,,
10999,35,0.5992407202720642,,,,
11049,35,0.780156672000885,,,,
11099,35,0.7066246867179871,,,,
11149,35,0.8806264996528625,,,,
11199,35,0.7936875820159912,,,,
11231,35,,0.7513999938964844,0.9460322260856628,,
11231,35,,,,0.8394180536270142,0.8723999857902527
11249,36,0.8080944418907166,,,,
11299,36,0.8849091529846191,,,,
11349,36,0.702000617980957,,,,
11399,36,0.6983084082603455,,,,
11449,36,0.6646355986595154,,,,
11499,36,0.6679378747940063,,,,
11543,36,,0.753000020980835,0.945534348487854,,
11543,36,,,,0.8408703804016113,0.8708000183105469
11549,37,0.9265507459640503,,,,
11599,37,0.7245995402336121,,,,
11649,37,0.7643707990646362,,,,
11699,37,0.6815114617347717,,,,
11749,37,0.6649962067604065,,,,
11799,37,0.7605305910110474,,,,
11849,37,0.6428800225257874,,,,
11855,37,,0.7526000142097473,0.9464466571807861,,
11855,37,,,,0.8415214419364929,0.8705000281333923
11899,38,0.7473055124282837,,,,
11949,38,0.8595874309539795,,,,
11999,38,0.8159115314483643,,,,
12049,38,0.7349867224693298,,,,
12099,38,0.6528112292289734,,,,
12149,38,0.5696165561676025,,,,
12167,38,,0.7512000203132629,0.9500747323036194,,
12167,38,,,,0.8427484035491943,0.8683000206947327
12199,39,0.9352762699127197,,,,
12249,39,0.5897260308265686,,,,
12299,39,0.8987739682197571,,,,
12349,39,0.5748080015182495,,,,
12399,39,0.7283598780632019,,,,
12449,39,0.6508220434188843,,,,
12479,39,,0.7488999962806702,0.9522467851638794,,
12479,39,,,,0.8437750339508057,0.8683000206947327
12499,40,0.917106032371521,,,,
12549,40,0.7949640154838562,,,,
12599,40,0.6139395236968994,,,,
12649,40,0.8994446396827698,,,,
12699,40,0.7697868347167969,,,,
12749,40,0.6779716610908508,,,,
12791,40,,0.7519999742507935,0.9526683688163757,,
12791,40,,,,0.8467798233032227,0.8694000244140625
12799,41,0.6710351705551147,,,,
12849,41,0.6395555138587952,,,,
12899,41,0.8009181022644043,,,,
12949,41,0.7380219101905823,,,,
12999,41,0.8912701606750488,,,,
13049,41,0.768810510635376,,,,
13099,41,0.6933590173721313,,,,
13103,41,,0.7511000037193298,0.9519408345222473,,
13103,41,,,,0.8480819463729858,0.8708000183105469
13149,42,0.7698464393615723,,,,
13199,42,0.7960989475250244,,,,
13249,42,0.5362663865089417,,,,
13299,42,0.5802858471870422,,,,
13349,42,0.7382420897483826,,,,
13399,42,0.7247324585914612,,,,
13415,42,,0.7508999705314636,0.9526227712631226,,
13415,42,,,,0.8491085767745972,0.8669000267982483
13449,43,0.78319251537323,,,,
13499,43,0.7360946536064148,,,,
13549,43,0.733077347278595,,,,
13599,43,0.6499777436256409,,,,
13649,43,0.5650852918624878,,,,
13699,43,0.7488595247268677,,,,
13727,43,,0.7505000233650208,0.9551600813865662,,
13727,43,,,,0.8508363366127014,0.8676000237464905
13749,44,0.6743128299713135,,,,
13799,44,0.7841111421585083,,,,
13849,44,0.5708272457122803,,,,
13899,44,0.8396166563034058,,,,
13949,44,0.5914855003356934,,,,
13999,44,0.7711060047149658,,,,
14039,44,,0.7483000159263611,0.9580477476119995,,
14039,44,,,,0.8525891304016113,0.8673999905586243
14049,45,0.8162335753440857,,,,
14099,45,0.7585589289665222,,,,
14149,45,0.7007458806037903,,,,
14199,45,0.7555330395698547,,,,
14249,45,0.6268958449363708,,,,
14299,45,0.8110315203666687,,,,
14349,45,0.7068690657615662,,,,
14351,45,,0.7494000196456909,0.9568018317222595,,
14351,45,,,,0.8530148267745972,0.8700000047683716
14399,46,0.8212324976921082,,,,
14449,46,0.8313770890235901,,,,
14499,46,0.57932049036026,,,,
14549,46,0.6001749038696289,,,,
14599,46,0.6854991316795349,,,,
14649,46,0.8447282910346985,,,,
14663,46,,0.7490000128746033,0.9637662172317505,,
14663,46,,,,0.8550680875778198,0.8639000058174133
14699,47,0.8051488995552063,,,,
14749,47,0.7268586158752441,,,,
14799,47,0.4936583638191223,,,,
14849,47,0.7023645639419556,,,,
14899,47,0.8389083743095398,,,,
14949,47,0.575167179107666,,,,
14975,47,,0.746999979019165,0.9632530212402344,,
14975,47,,,,0.8557191491127014,0.8616999983787537
14999,48,0.7242023944854736,,,,
15049,48,0.5402960777282715,,,,
15099,48,0.6375513076782227,,,,
15149,48,0.6670678853988647,,,,
15199,48,0.6801190376281738,,,,
15249,48,0.53432297706604,,,,
15287,48,,0.745199978351593,0.9679981470108032,,
15287,48,,,,0.8561698794364929,0.8604000210762024
15299,49,0.7392494678497314,,,,
15349,49,0.7279667854309082,,,,
15399,49,0.6755541563034058,,,,
15449,49,0.9050337672233582,,,,
15499,49,0.8165746927261353,,,,
15549,49,0.7474216222763062,,,,
15599,49,0.8176644444465637,,,,
15599,49,,0.7458999752998352,0.9652894735336304,,
15599,49,,,,0.8573718070983887,0.8622000217437744
15649,50,0.76044762134552,,,,
15699,50,0.6292884945869446,,,,
15749,50,0.7468458414077759,,,,
15799,50,0.6725651621818542,,,,
15849,50,0.7127683162689209,,,,
15899,50,0.7979146242141724,,,,
15911,50,,0.7462999820709229,0.9664491415023804,,
15911,50,,,,0.8600761294364929,0.8607000112533569
15949,51,0.6807090640068054,,,,
15999,51,0.7794113755226135,,,,
16049,51,0.8727640509605408,,,,
16099,51,0.5508618354797363,,,,
16149,51,0.6177595853805542,,,,
16199,51,0.6071341633796692,,,,
16223,51,,0.7455000281333923,0.9696257710456848,,
16223,51,,,,0.8594000339508057,0.8618999719619751
16249,52,0.7379695773124695,,,,
16299,52,0.7522836923599243,,,,
16349,52,0.6778290867805481,,,,
16399,52,0.6323647499084473,,,,
16449,52,0.868301510810852,,,,
16499,52,0.5268567204475403,,,,
16535,52,,0.7465000152587891,0.9697261452674866,,
16535,52,,,,0.8617037534713745,0.8605999946594238
16549,53,0.594974160194397,,,,
16599,53,0.6250526309013367,,,,
16649,53,0.47061771154403687,,,,
16699,53,0.7101485133171082,,,,
16749,53,0.596564769744873,,,,
16799,53,0.5680774450302124,,,,
16847,53,,0.7439000010490417,0.9746935367584229,,
16847,53,,,,0.8631059527397156,0.86080002784729
16849,54,0.7212846875190735,,,,
16899,54,0.6889007091522217,,,,
16949,54,0.586679220199585,,,,
16999,54,0.5636248588562012,,,,
17049,54,0.6240720152854919,,,,
17099,54,0.6609800457954407,,,,
17149,54,0.7160101532936096,,,,
17159,54,,0.7447999715805054,0.975108802318573,,
17159,54,,,,0.8645582795143127,0.8611000180244446
17199,55,0.5382704734802246,,,,
17249,55,0.5832313895225525,,,,
17299,55,0.5142871737480164,,,,
17349,55,0.7909446954727173,,,,
17399,55,0.5917969346046448,,,,
17449,55,0.8573745489120483,,,,
17471,55,,0.7436000108718872,0.9747207164764404,,
17471,55,,,,0.8647335767745972,0.8561999797821045
17499,56,0.7685426473617554,,,,
17549,56,0.5248981714248657,,,,
17599,56,0.6462119817733765,,,,
17649,56,0.5220834612846375,,,,
17699,56,0.6339601278305054,,,,
17749,56,0.605649471282959,,,,
17783,56,,0.7440999746322632,0.9789191484451294,,
17783,56,,,,0.8668118715286255,0.8535000085830688
17799,57,0.7257983088493347,,,,
17849,57,0.7479511499404907,,,,
17899,57,0.5805691480636597,,,,
17949,57,0.7145734429359436,,,,
17999,57,0.6450598239898682,,,,
18049,57,0.5277250409126282,,,,
18095,57,,0.7411999702453613,0.9847367405891418,,
18095,57,,,,0.8661108016967773,0.8560000061988831
18099,58,0.7176223993301392,,,,
18149,58,0.6019320487976074,,,,
18199,58,0.6890257596969604,,,,
18249,58,0.6225430965423584,,,,
18299,58,0.6423746347427368,,,,
18349,58,0.6362722516059875,,,,
18399,58,0.605065107345581,,,,
18407,58,,0.7426000237464905,0.9829559326171875,,
18407,58,,,,0.8667367696762085,0.8543000221252441
18449,59,0.6778384447097778,,,,
18499,59,0.5732403993606567,,,,
18549,59,0.7286221981048584,,,,
