train_loss2,epoch,step,train_loss1,val_acc2,val_acc1,train_acc2,test_acc,train_acc1
0.013690951280295849,0,49,0.014063284732401371,,,,,
0.015200896188616753,0,99,0.015345575287938118,,,,,
0.013331620022654533,0,149,0.013037907890975475,,,,,
0.013156293891370296,0,199,0.012731602415442467,,,,,
0.013264752924442291,0,249,0.013632183894515038,,,,,
0.012300788424909115,0,299,0.013509972020983696,,,,,
,0,311,,0.4406999945640564,0.4180000126361847,,,
,0,311,,,,0.34552785754203796,0.4609000086784363,0.3381410241127014
0.012396525591611862,1,349,0.013132188469171524,,,,,
0.012922441586852074,1,399,0.012581594288349152,,,,,
0.012264341115951538,1,449,0.012939540669322014,,,,,
0.012756826356053352,1,499,0.011611435562372208,,,,,
0.0100641380995512,1,549,0.009874505922198296,,,,,
0.013099843636155128,1,599,0.01354915089905262,,,,,
,1,623,,0.5245000123977661,0.5175999999046326,,,
,1,623,,,,0.4704276919364929,0.5633000135421753,0.47906652092933655
0.01002090610563755,2,649,0.009960237890481949,,,,,
0.0094350790604949,2,699,0.009431547485291958,,,,,
0.010033557191491127,2,749,0.009572498500347137,,,,,
0.010834755375981331,2,799,0.00949997827410698,,,,,
0.0112631656229496,2,849,0.01100943237543106,,,,,
0.010894997045397758,2,899,0.011252917349338531,,,,,
,2,935,,0.5508999824523926,0.5457000136375427,,,
,2,935,,,,0.5353816151618958,0.6144000291824341,0.5464743375778198
0.00951182097196579,3,949,0.009716671891510487,,,,,
0.008410856127738953,3,999,0.008218977600336075,,,,,
0.007347876206040382,3,1049,0.007710650097578764,,,,,
0.007258016616106033,3,1099,0.007089559454470873,,,,,
0.00902552716434002,3,1149,0.00869140774011612,,,,,
0.007419923786073923,3,1199,0.00655036186799407,,,,,
,3,1247,,0.5636000037193298,0.5895000100135803,,,
,3,1247,,,,0.5776993036270142,0.6717000007629395,0.5902944803237915
0.009758672676980495,4,1249,0.008731508627533913,,,,,
0.007184039801359177,4,1299,0.007477753795683384,,,,,
0.007694864645600319,4,1349,0.007412029430270195,,,,,
0.007890522480010986,4,1399,0.00783246848732233,,,,,
0.006955090910196304,4,1449,0.006471399683505297,,,,,
0.0068740746937692165,4,1499,0.006755536887794733,,,,,
0.006886560469865799,4,1549,0.006757304538041353,,,,,
,4,1559,,0.6265000104904175,0.6230000257492065,,,
,4,1559,,,,0.6133062839508057,0.7041000127792358,0.6224459409713745
0.006518817041069269,5,1599,0.0058186291716992855,,,,,
0.006828010082244873,5,1649,0.006752551067620516,,,,,
0.00660376250743866,5,1699,0.0062180012464523315,,,,,
0.005954371299594641,5,1749,0.005372678395360708,,,,,
0.004693062510341406,5,1799,0.0049558295868337154,,,,,
