train_loss1,epoch,step,train_loss2,val_acc2,val_acc1,test_acc,train_acc2,train_acc1
0.0178833045065403,0,49,0.017067307606339455,,,,,
0.015761669725179672,0,99,0.014774859882891178,,,,,
0.015089759603142738,0,149,0.014939570799469948,,,,,
0.014478297904133797,0,199,0.014332577586174011,,,,,
0.014908723533153534,0,249,0.014111165888607502,,,,,
0.013944391161203384,0,299,0.01403312012553215,,,,,
,0,311,,0.3508000075817108,0.33809998631477356,,,
,0,311,,,,0.3675830662250519,0.26837942004203796,0.25580930709838867
0.013444822281599045,1,349,0.012445583939552307,,,,,
0.014215701259672642,1,399,0.0138311218470335,,,,,
0.01375646237283945,1,449,0.013745746575295925,,,,,
0.01321391575038433,1,499,0.01267870794981718,,,,,
0.012344310991466045,1,549,0.012876269407570362,,,,,
0.012178855948150158,1,599,0.011831600219011307,,,,,
,1,623,,0.41600000858306885,0.41040000319480896,,,
,1,623,,,,0.4303797483444214,0.38100960850715637,0.3645833432674408
0.013081653043627739,2,649,0.013064499013125896,,,,,
0.012410834431648254,2,699,0.012302062474191189,,,,,
0.010814237408339977,2,749,0.011556544341146946,,,,,
0.012174863368272781,2,799,0.012282902374863625,,,,,
0.010689019225537777,2,849,0.010657253675162792,,,,,
0.011792819015681744,2,899,0.0121056092903018,,,,,
,2,935,,0.4634999930858612,0.4471000134944916,,,
,2,935,,,,0.46598100662231445,0.4263822138309479,0.4167417883872986
0.011388568207621574,3,949,0.011644222773611546,,,,,
0.011055382899940014,3,999,0.011179637163877487,,,,,
0.013428371399641037,3,1049,0.012090208940207958,,,,,
0.011813788674771786,3,1099,0.0120666129514575,,,,,
0.011293690651655197,3,1149,0.011272077448666096,,,,,
0.012880805879831314,3,1199,0.012281201779842377,,,,,
,3,1247,,0.5026000142097473,0.48339998722076416,,,
,3,1247,,,,0.5088014006614685,0.46474358439445496,0.45505309104919434
0.010146133601665497,4,1249,0.009743166156113148,,,,,
0.011264333501458168,4,1299,0.010970947332680225,,,,,
0.009872389025986195,4,1349,0.010170446708798409,,,,,
0.010216212831437588,4,1399,0.009942225180566311,,,,,
0.010404156520962715,4,1449,0.010909976437687874,,,,,
0.009202888235449791,4,1499,0.009127196855843067,,,,,
0.01153989415615797,4,1549,0.011268261820077896,,,,,
,4,1559,,0.5066999793052673,0.5023000240325928,,,
,4,1559,,,,0.5386669039726257,0.4961688816547394,0.49163660407066345
0.009305666200816631,5,1599,0.009532500989735126,,,,,
0.011092156171798706,5,1649,0.01119639165699482,,,,,
0.010460170917212963,5,1699,0.010635250248014927,,,,,
0.009103726595640182,5,1749,0.009594528935849667,,,,,
0.008538633584976196,5,1799,0.008824200369417667,,,,,
0.010357890278100967,5,1849,0.010407241061329842,,,,,
,5,1871,,0.515999972820282,0.5013999938964844,,,
,5,1871,,,,0.5424248576164246,0.5206580758094788,0.5148988366127014
0.009460773319005966,6,1899,0.009434615261852741,,,,,
0.008546263910830021,6,1949,0.009014012292027473,,,,,
0.00879110861569643,6,1999,0.009157710708677769,,,,,
0.009535723365843296,6,2049,0.00888986699283123,,,,,
0.0073572853580117226,6,2099,0.00781157985329628,,,,,
0.009327972307801247,6,2149,0.010342705063521862,,,,,
,6,2183,,0.5774999856948853,0.5623999834060669,,,
,6,2183,,,,0.5958267450332642,0.5396634340286255,0.5411408543586731
0.00861093495041132,7,2199,0.007625840604305267,,,,,
0.011450354009866714,7,2249,0.01087108999490738,,,,,
0.009026224724948406,7,2299,0.009157448075711727,,,,,
0.008855419233441353,7,2349,0.008487612940371037,,,,,
0.009242787957191467,7,2399,0.011087735183537006,,,,,
0.00880460161715746,7,2449,0.009087330661714077,,,,,
,7,2495,,0.5460000038146973,0.5659000277519226,,,
,7,2495,,,,0.608781635761261,0.560546875,0.5589944124221802
0.005241927225142717,8,2499,0.005177969112992287,,,,,
0.009634069167077541,8,2549,0.009437857195734978,,,,,
0.008166315034031868,8,2599,0.009004436433315277,,,,,
0.005769210867583752,8,2649,0.005681560840457678,,,,,
0.007232231087982655,8,2699,0.006925172638148069,,,,,
0.007352711632847786,8,2749,0.008362935855984688,,,,,
0.008498751558363438,8,2799,0.007601352874189615,,,,,
,8,2807,,0.5784000158309937,0.5652999877929688,,,
,8,2807,,,,0.6257911324501038,0.5810797214508057,0.5776492357254028
0.005388643592596054,9,2849,0.006042500492185354,,,,,
0.007850956171751022,9,2899,0.007408383768051863,,,,,
0.008290767669677734,9,2949,0.008291393518447876,,,,,
0.007874151691794395,9,2999,0.00799707043915987,,,,,
0.006455106195062399,9,3049,0.006974767427891493,,,,,
0.01001285482198,9,3099,0.010059859603643417,,,,,
,9,3119,,0.5698000192642212,0.5307999849319458,,,
,9,3119,,,,0.593156635761261,0.5886418223381042,0.5863631963729858
0.006435148883610964,10,3149,0.006829169113188982,,,,,
0.005900735966861248,10,3199,0.006847815588116646,,,,,
0.0070920782163739204,10,3249,0.00756481010466814,,,,,
0.00632709264755249,10,3299,0.0067651835270226,,,,,
0.007546741049736738,10,3349,0.005825517233461142,,,,,
0.00580386770889163,10,3399,0.005099462810903788,,,,,
,10,3431,,0.5812000036239624,0.5770999789237976,,,
,10,3431,,,,0.6378560066223145,0.6012620329856873,0.5992337465286255
0.005455797538161278,11,3449,0.005803454201668501,,,,,
0.0056792148388922215,11,3499,0.006237071007490158,,,,,
0.006263592280447483,11,3549,0.005765790585428476,,,,,
0.006886355113238096,11,3599,0.00786587130278349,,,,,
0.005691468715667725,11,3649,0.005636303685605526,,,,,
0.007738800719380379,11,3699,0.0069881947711110115,,,,,
