train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
2.324469566345215,0,49,,,,
2.285019874572754,0,99,,,,
2.138260841369629,0,149,,,,
2.0605127811431885,0,199,,,,
2.0482177734375,0,249,,,,
1.9820733070373535,0,299,,,,
,0,311,2.050509214401245,0.24160000681877136,,
,0,311,,,0.17710837721824646,0.25270000100135803
1.9997304677963257,1,349,,,,
2.040281295776367,1,399,,,,
1.7398293018341064,1,449,,,,
1.7573637962341309,1,499,,,,
1.770387887954712,1,549,,,,
1.714552402496338,1,599,,,,
,1,623,1.8289408683776855,0.33219999074935913,,
,1,623,,,0.3000550866127014,0.36719998717308044
1.7135225534439087,2,649,,,,
1.7017661333084106,2,699,,,,
1.845185399055481,2,749,,,,
1.7873671054840088,2,799,,,,
1.6898891925811768,2,849,,,,
1.6267173290252686,2,899,,,,
,2,935,1.7094478607177734,0.3910999894142151,,
,2,935,,,0.36420774459838867,0.428600013256073
1.671297550201416,3,949,,,,
1.668383002281189,3,999,,,,
1.7947876453399658,3,1049,,,,
1.719016671180725,3,1099,,,,
1.6175684928894043,3,1149,,,,
1.5325573682785034,3,1199,,,,
,3,1247,1.6345189809799194,0.4361000061035156,,
,3,1247,,,0.41508913040161133,0.4699000120162964
1.506881594657898,4,1249,,,,
1.416275978088379,4,1299,,,,
1.5070708990097046,4,1349,,,,
1.4414474964141846,4,1399,,,,
1.5614697933197021,4,1449,,,,
1.5516976118087769,4,1499,,,,
1.5657597780227661,4,1549,,,,
,4,1559,1.5099937915802002,0.48559999465942383,,
,4,1559,,,0.46013620495796204,0.5299999713897705
1.366370677947998,5,1599,,,,
1.3722567558288574,5,1649,,,,
1.3957288265228271,5,1699,,,,
1.4570319652557373,5,1749,,,,
1.40488862991333,5,1799,,,,
1.5232430696487427,5,1849,,,,
,5,1871,1.4588619470596313,0.5063999891281128,,
,5,1871,,,0.5040565133094788,0.5638999938964844
1.5512771606445312,6,1899,,,,
1.4007844924926758,6,1949,,,,
1.3661590814590454,6,1999,,,,
1.3716994524002075,6,2049,,,,
1.3480615615844727,6,2099,,,,
1.4502570629119873,6,2149,,,,
,6,2183,1.3220899105072021,0.5619999766349792,,
,6,2183,,,0.5386868715286255,0.6287000179290771
1.4777902364730835,7,2199,,,,
1.3333704471588135,7,2249,,,,
1.2344926595687866,7,2299,,,,
1.3900256156921387,7,2349,,,,
1.2309199571609497,7,2399,,,,
1.2176716327667236,7,2449,,,,
,7,2495,1.2806408405303955,0.5867000222206116,,
,7,2495,,,0.5665565133094788,0.6546000242233276
1.0378313064575195,8,2499,,,,
1.4827532768249512,8,2549,,,,
1.1991668939590454,8,2599,,,,
1.1057716608047485,8,2649,,,,
1.500410795211792,8,2699,,,,
1.3546316623687744,8,2749,,,,
1.3424386978149414,8,2799,,,,
,8,2807,1.297431230545044,0.5856999754905701,,
