step,train_loss,epoch,val_acc,test_acc,train_acc
49,0.46407267451286316,0,,,
99,0.48353704810142517,0,,,
149,0.3736225962638855,0,,,
199,0.37157076597213745,0,,,
249,0.4044265151023865,0,,,
299,0.25658974051475525,0,,,
311,,0,0.2847000062465668,,
311,,0,,0.34540000557899475,0.26246994733810425
349,0.30742910504341125,1,,,
399,0.32910066843032837,1,,,
449,0.35594260692596436,1,,,
499,0.30470430850982666,1,,,
549,0.318372905254364,1,,,
599,0.24083569645881653,1,,,
623,,1,0.38040000200271606,,
623,,1,,0.4805000126361847,0.34515222907066345
649,0.33073461055755615,2,,,
699,0.3357138931751251,2,,,
749,0.2664507031440735,2,,,
799,0.3652806878089905,2,,,
849,0.2613542675971985,2,,,
899,0.24163104593753815,2,,,
935,,2,0.4083999991416931,,
935,,2,,0.5418000221252441,0.3898988366127014
949,0.3383326530456543,3,,,
999,0.2920462489128113,3,,,
1049,0.31397682428359985,3,,,
1099,0.27985620498657227,3,,,
1149,0.32082322239875793,3,,,
1199,0.1694762408733368,3,,,
1247,,3,0.41749998927116394,,
1247,,3,,0.5407999753952026,0.4151642620563507
1249,0.24399174749851227,4,,,
1299,0.21661144495010376,4,,,
1349,0.2791516184806824,4,,,
1399,0.20047059655189514,4,,,
1449,0.21735984086990356,4,,,
1499,0.06468445807695389,4,,,
1549,0.22527571022510529,4,,,
1559,,4,0.42489999532699585,,
1559,,4,,0.593500018119812,0.43865182995796204
1599,0.21585187315940857,5,,,
1649,0.22780652344226837,5,,,
1699,0.16842950880527496,5,,,
1749,0.20091021060943604,5,,,
1799,0.1732494980096817,5,,,
1849,0.047373976558446884,5,,,
1871,,5,0.46470001339912415,,
1871,,5,,0.6333000063896179,0.45620492100715637
1899,0.16138425469398499,6,,,
1949,0.15304769575595856,6,,,
1999,0.15066492557525635,6,,,
2049,0.19779497385025024,6,,,
2099,0.2030569314956665,6,,,
2149,0.1602005809545517,6,,,
2183,,6,0.48010000586509705,,
2183,,6,,0.6449000239372253,0.4739082455635071
2199,0.08994604647159576,7,,,
2249,0.20405207574367523,7,,,
2299,0.09158582985401154,7,,,
2349,0.13246457278728485,7,,,
2399,0.14160658419132233,7,,,
2449,0.22497183084487915,7,,,
2495,,7,0.4887000024318695,,
2495,,7,,0.6759999990463257,0.48975861072540283
2499,0.1626148372888565,8,,,
2549,0.12608283758163452,8,,,
2599,0.17117053270339966,8,,,
2649,0.22747981548309326,8,,,
2699,0.12189716100692749,8,,,
2749,0.09724875539541245,8,,,
