train_loss,epoch,step,val_acc,val_loss,test_acc,train_acc
1.853818416595459,10,3149,,,,
1.6780697107315063,10,3199,,,,
1.8327754735946655,10,3249,,,,
1.7052570581436157,10,3299,,,,
1.777446985244751,10,3349,,,,
1.6868752241134644,10,3399,,,,
,10,3431,0.43149998784065247,1.6975058317184448,,
,10,3431,,,0.5839999914169312,0.43852663040161133
1.5257666110992432,11,3449,,,,
1.350746512413025,11,3499,,,,
1.4152345657348633,11,3549,,,,
1.6068159341812134,11,3599,,,,
1.601935625076294,11,3649,,,,
1.7064929008483887,11,3699,,,,
,11,3743,0.41600000858306885,1.7800101041793823,,
,11,3743,,,0.551800012588501,0.44598859548568726
1.3352640867233276,12,3749,,,,
1.2478435039520264,12,3799,,,,
1.4110057353973389,12,3849,,,,
1.161585807800293,12,3899,,,,
1.2666244506835938,12,3949,,,,
1.2220996618270874,12,3999,,,,
1.062874674797058,12,4049,,,,
,12,4055,0.4120999872684479,1.9810237884521484,,
,12,4055,,,0.5561000108718872,0.4540264308452606
1.2961931228637695,13,4099,,,,
1.0759291648864746,13,4149,,,,
0.9910624623298645,13,4199,,,,
0.9205372929573059,13,4249,,,,
0.9309583902359009,13,4299,,,,
0.6473933458328247,13,4349,,,,
,13,4367,0.4415999948978424,1.8717148303985596,,
,13,4367,,,0.5896999835968018,0.45407652854919434
0.7766720056533813,14,4399,,,,
0.2374662160873413,14,4449,,,,
0.8537886142730713,14,4499,,,,
0.8487390279769897,14,4549,,,,
0.35539281368255615,14,4599,,,,
0.710098147392273,14,4649,,,,
,14,4679,0.44359999895095825,1.9819393157958984,,
,14,4679,,,0.576200008392334,0.4577574133872986
0.4872889518737793,15,4699,,,,
0.02782762050628662,15,4749,,,,
0.22403299808502197,15,4799,,,,
0.07312405109405518,15,4849,,,,
-0.07374632358551025,15,4899,,,,
0.2358872890472412,15,4949,,,,
,15,4991,0.438400000333786,2.4903149604797363,,
,15,4991,,,0.6013000011444092,0.46376702189445496
-0.1122596263885498,16,4999,,,,
-0.5512471199035645,16,5049,,,,
-0.3690052032470703,16,5099,,,,
-0.5505003929138184,16,5149,,,,
-0.386138916015625,16,5199,,,,
0.45202183723449707,16,5249,,,,
0.03435873985290527,16,5299,,,,
,16,5303,0.46380001306533813,2.609797239303589,,
,16,5303,,,0.6528000235557556,0.47393327951431274
-0.630084753036499,17,5349,,,,
-0.48380494117736816,17,5399,,,,
-1.1569234132766724,17,5449,,,,
-0.6031348705291748,17,5499,,,,
-0.6631851196289062,17,5549,,,,
-0.9426653385162354,17,5599,,,,
,17,5615,0.43209999799728394,2.8969311714172363,,
,17,5615,,,0.5615000128746033,0.47954225540161133
-1.390162706375122,18,5649,,,,
-1.0939512252807617,18,5699,,,,
-0.5965433120727539,18,5749,,,,
-2.1006925106048584,18,5799,,,,
-1.216397762298584,18,5849,,,,
-1.4214081764221191,18,5899,,,,
,18,5927,0.3797000050544739,3.844611644744873,,
,18,5927,,,0.46970000863075256,0.4865284562110901
-1.7535710334777832,19,5949,,,,
-1.2370038032531738,19,5999,,,,
-1.9477448463439941,19,6049,,,,
-1.855870246887207,19,6099,,,,
-1.5888452529907227,19,6149,,,,
-1.241180181503296,19,6199,,,,
,19,6239,0.4740000069141388,3.1162259578704834,,
,19,6239,,,0.6470999717712402,0.4895082116127014
-2.0359528064727783,20,6249,,,,
-2.4981911182403564,20,6299,,,,
-2.558130979537964,20,6349,,,,
-2.693300485610962,20,6399,,,,
-2.201249837875366,20,6449,,,,
-2.557914972305298,20,6499,,,,
-2.466641902923584,20,6549,,,,
,20,6551,0.46799999475479126,3.1637043952941895,,
,20,6551,,,0.628600001335144,0.4930889308452606
-3.101900100708008,21,6599,,,,
-2.763641595840454,21,6649,,,,
-2.8819446563720703,21,6699,,,,
-3.619866371154785,21,6749,,,,
-2.323364734649658,21,6799,,,,
-3.8269338607788086,21,6849,,,,
,21,6863,0.4715999960899353,3.32673716545105,,
,21,6863,,,0.6488000154495239,0.4992988705635071
-3.114285469055176,22,6899,,,,
-4.055145263671875,22,6949,,,,
-3.2321584224700928,22,6999,,,,
-3.4718406200408936,22,7049,,,,
-3.638056993484497,22,7099,,,,
-3.3627548217773438,22,7149,,,,
,22,7175,0.5001000165939331,3.356323480606079,,
,22,7175,,,0.695900022983551,0.4998748004436493
-3.635985851287842,23,7199,,,,
-3.679208278656006,23,7249,,,,
-3.717771530151367,23,7299,,,,
