epoch,step,train_loss,test_acc,train_acc
0,49,2.175549030303955,,
0,99,2.0649425983428955,,
0,149,1.913872480392456,,
0,199,1.9194514751434326,,
0,249,1.8776259422302246,,
0,299,1.882135272026062,,
0,349,1.685633897781372,,
0,389,,0.4805000126361847,0.33968350291252136
1,399,1.66317880153656,,
1,449,1.6151326894760132,,
1,499,1.6369495391845703,,
1,549,1.5538878440856934,,
1,599,1.6420282125473022,,
1,649,1.7022838592529297,,
1,699,1.7007005214691162,,
1,749,1.557761788368225,,
1,779,,0.5029000043869019,0.478084921836853
2,799,1.6774368286132812,,
2,849,1.5918911695480347,,
2,899,1.5025293827056885,,
2,949,1.5223557949066162,,
2,999,1.4906959533691406,,
2,1049,1.5194460153579712,,
2,1099,1.3924280405044556,,
2,1149,1.5116361379623413,,
2,1169,,0.6114000082015991,0.5503004789352417
3,1199,1.4456039667129517,,
3,1249,1.4122117757797241,,
3,1299,1.3818713426589966,,
3,1349,1.4064545631408691,,
3,1399,1.3376373052597046,,
3,1449,1.4777098894119263,,
3,1499,1.3331856727600098,,
3,1549,1.2913857698440552,,
3,1559,,0.6621000170707703,0.6072716116905212
4,1599,1.2238128185272217,,
4,1649,1.1981751918792725,,
4,1699,1.3047423362731934,,
4,1749,1.4740095138549805,,
4,1799,1.3585906028747559,,
4,1849,1.2453967332839966,,
4,1899,1.307453989982605,,
4,1949,1.3296736478805542,,
4,1949,,0.7383000254631042,0.6431089639663696
5,1999,1.3557783365249634,,
5,2049,1.3386104106903076,,
5,2099,1.1913880109786987,,
5,2149,1.2385022640228271,,
5,2199,1.1502659320831299,,
5,2249,1.2522608041763306,,
5,2299,1.233065128326416,,
5,2339,,0.7063999772071838,0.6666466593742371
6,2349,1.2078888416290283,,
6,2399,1.1257349252700806,,
6,2449,1.1815897226333618,,
6,2499,1.2384527921676636,,
6,2549,1.3285150527954102,,
6,2599,1.1721184253692627,,
6,2649,1.183322787284851,,
6,2699,1.2255369424819946,,
6,2729,,0.7657999992370605,0.6831530332565308
7,2749,1.095780849456787,,
7,2799,1.2474168539047241,,
7,2849,1.1477787494659424,,
7,2899,1.1693249940872192,,
7,2949,1.2488287687301636,,
7,2999,1.1947258710861206,,
7,3049,1.0877695083618164,,
7,3099,1.186105728149414,,
7,3119,,0.7630000114440918,0.6997796297073364
8,3149,1.2707692384719849,,
8,3199,1.1266146898269653,,
8,3249,1.0356115102767944,,
8,3299,1.0939288139343262,,
8,3349,1.0293048620224,,
8,3399,1.1914781332015991,,
8,3449,1.194456696510315,,
8,3499,1.1803417205810547,,
8,3509,,0.7595000267028809,0.7079527378082275
9,3549,1.056820273399353,,
9,3599,0.992834746837616,,
9,3649,0.9989250898361206,,
9,3699,1.2032698392868042,,
9,3749,1.0706299543380737,,
9,3799,1.0332238674163818,,
9,3849,1.137756586074829,,
9,3899,1.0737788677215576,,
9,3899,,0.814300000667572,0.7188501358032227
10,3949,1.0931707620620728,,
10,3999,1.0997697114944458,,
10,4049,1.1832528114318848,,
10,4099,1.0666333436965942,,
10,4149,0.9180728197097778,,
10,4199,1.0099643468856812,,
10,4249,1.15316641330719,,
10,4289,,0.8240000009536743,0.7258813977241516
11,4299,1.2963390350341797,,
11,4349,0.9680559635162354,,
11,4399,0.9673410654067993,,
11,4449,0.9723923206329346,,
11,4499,1.1097909212112427,,
11,4549,0.8893612027168274,,
11,4599,1.0424797534942627,,
11,4649,0.9372031092643738,,
11,4679,,0.8216000199317932,0.7350961565971375
12,4699,1.0945156812667847,,
12,4749,0.9917476177215576,,
12,4799,0.9630790948867798,,
12,4849,0.9715045690536499,,
12,4899,0.904457151889801,,
12,4949,1.1419322490692139,,
12,4999,0.9263272285461426,,
12,5049,0.8784914016723633,,
12,5069,,0.8240000009536743,0.7393028736114502
13,5099,1.0193326473236084,,
13,5149,1.0395805835723877,,
13,5199,0.8641704320907593,,
13,5249,0.9002097845077515,,
13,5299,1.0534324645996094,,
13,5349,0.8076100945472717,,
13,5399,1.0540462732315063,,
13,5449,0.8538103103637695,,
13,5459,,0.8163999915122986,0.7457131147384644
14,5499,0.8605676293373108,,
14,5549,0.9423213601112366,,
14,5599,0.9633663892745972,,
14,5649,0.9157310128211975,,
14,5699,0.8666666746139526,,
14,5749,1.0049161911010742,,
14,5799,0.9013031721115112,,
14,5849,0.8371903896331787,,
14,5849,,0.8321999907493591,0.7535055875778198
15,5899,1.0103670358657837,,
15,5949,1.0381901264190674,,
15,5999,0.9817590713500977,,
15,6049,0.9600169062614441,,
15,6099,0.9295343160629272,,
15,6149,0.9533537030220032,,
15,6199,1.0400317907333374,,
