train_loss2,train_loss1,step,epoch,train_acc1,train_acc2,test_acc
0.015447353012859821,0.015416567213833332,49,0,,,
0.014460881240665913,0.014987440779805183,99,0,,,
0.014267660677433014,0.014208109118044376,149,0,,,
0.014099197462201118,0.014092079363763332,199,0,,,
0.012910213321447372,0.012400980107486248,249,0,,,
0.014041147194802761,0.01303799171000719,299,0,,,
0.014599282294511795,0.01450743991881609,349,0,,,
,,389,0,0.3462740480899811,0.33776041865348816,0.5051000118255615
0.012138388119637966,0.01190982386469841,399,1,,,
0.012084987945854664,0.01104393508285284,449,1,,,
0.01182438712567091,0.011752028949558735,499,1,,,
0.011432802304625511,0.011196788400411606,549,1,,,
0.011922490783035755,0.012163124047219753,599,1,,,
0.010363861918449402,0.009777420200407505,649,1,,,
0.011697056703269482,0.011458086781203747,699,1,,,
0.011046499013900757,0.011274153366684914,749,1,,,
,,779,1,0.4813701808452606,0.47399839758872986,0.5623000264167786
0.010024224407970905,0.010312073864042759,799,2,,,
0.009598427452147007,0.010080325417220592,849,2,,,
0.009629144333302975,0.00906230416148901,899,2,,,
0.010425268672406673,0.009909815154969692,949,2,,,
0.009388171136379242,0.009158664382994175,999,2,,,
0.009336170740425587,0.009408556856215,1049,2,,,
0.010214234702289104,0.010765542276203632,1099,2,,,
0.008912865072488785,0.008953751996159554,1149,2,,,
,,1169,2,0.5494992136955261,0.5442307591438293,0.6234999895095825
0.009061317890882492,0.009153946302831173,1199,3,,,
0.008897127583622932,0.00862851832062006,1249,3,,,
0.008609279058873653,0.00812689308077097,1299,3,,,
0.007650081533938646,0.007241375744342804,1349,3,,,
0.008280068635940552,0.007830283604562283,1399,3,,,
0.010102754458785057,0.01088776532560587,1449,3,,,
0.008119058795273304,0.007826174609363079,1499,3,,,
0.007199487648904324,0.00728034321218729,1549,3,,,
,,1559,3,0.589262843132019,0.5865785479545593,0.6877999901771545
0.007441943511366844,0.005885419435799122,1599,4,,,
0.007265495602041483,0.007555992808192968,1649,4,,,
0.00668373191729188,0.006319237872958183,1699,4,,,
0.009340968914330006,0.008962779305875301,1749,4,,,
0.006577542517334223,0.006851269863545895,1799,4,,,
0.007297661621123552,0.006743391510099173,1849,4,,,
0.008000560104846954,0.008238133043050766,1899,4,,,
0.005920522380620241,0.005758434999734163,1949,4,,,
,,1949,4,0.6211137771606445,0.6193309426307678,0.7024000287055969
0.006053449120372534,0.0060824500396847725,1999,5,,,
0.007927948608994484,0.007959301583468914,2049,5,,,
0.006779079791158438,0.006797277834266424,2099,5,,,
0.0072007388807833195,0.0074149975553154945,2149,5,,,
0.00722010200843215,0.00681048259139061,2199,5,,,
0.0065072462894022465,0.006984264589846134,2249,5,,,
0.006654825992882252,0.006667646113783121,2299,5,,,
,,2339,5,0.6512820720672607,0.6462339758872986,0.7533000111579895
0.004892251919955015,0.005172070115804672,2349,6,,,
0.006843716371804476,0.0062085785903036594,2399,6,,,
0.005582646932452917,0.005826754495501518,2449,6,,,
0.003766022389754653,0.0037747507449239492,2499,6,,,
0.0066604926250875,0.005585961975157261,2549,6,,,
0.005512041971087456,0.004977700766175985,2599,6,,,
0.0037167968694120646,0.004444097634404898,2649,6,,,
0.006386972032487392,0.005738719832152128,2699,6,,,
,,2729,6,0.671294093132019,0.662419855594635,0.7483000159263611
0.004823342896997929,0.004966861568391323,2749,7,,,
0.004088905639946461,0.003194062504917383,2799,7,,,
0.006217243615537882,0.006031834054738283,2849,7,,,
0.0065831891261041164,0.006800004281103611,2899,7,,,
0.00643612165004015,0.00626813480630517,2949,7,,,
0.00288087478838861,0.0031675430946052074,2999,7,,,
0.004629916045814753,0.003911192063242197,3049,7,,,
0.00511142099276185,0.00556311197578907,3099,7,,,
,,3119,7,0.6890023946762085,0.6836137771606445,0.7843999862670898
0.002869255840778351,0.002390052191913128,3149,8,,,
0.0030316191259771585,0.003294085618108511,3199,8,,,
0.0030644021462649107,0.0034169519785791636,3249,8,,,
0.0087484335526824,0.006621303036808968,3299,8,,,
0.005648134276270866,0.00446786405518651,3349,8,,,
0.002642329316586256,0.0027639500331133604,3399,8,,,
0.0031651691533625126,0.003180683823302388,3449,8,,,
0.003490154631435871,0.0036106607876718044,3499,8,,,
,,3509,8,0.7005007863044739,0.6898638010025024,0.7972999811172485
0.006089864764362574,0.005476736929267645,3549,9,,,
0.005305331200361252,0.004881671629846096,3599,9,,,
0.005001010373234749,0.004561000969260931,3649,9,,,
0.0039437515661120415,0.003798702033236623,3699,9,,,
0.0036976805422455072,0.0033676496241241693,3749,9,,,
0.003121246350929141,0.0026453910395503044,3799,9,,,
0.0029977564699947834,0.0032770023681223392,3849,9,,,
0.0028699494432657957,0.003021389013156295,3899,9,,,
,,3899,9,0.7095752954483032,0.7061498165130615,0.8033000230789185
0.0021954893600195646,0.002111301524564624,3949,10,,,
0.0028705578297376633,0.002854264108464122,3999,10,,,
0.002721852622926235,0.002507277764379978,4049,10,,,
0.0031966399401426315,0.002512318082153797,4099,10,,,
0.0036224303767085075,0.003993692342191935,4149,10,,,
0.002983396640047431,0.0026381302159279585,4199,10,,,
0.0021429299376904964,0.002801641821861267,4249,10,,,
,,4289,10,0.7168669700622559,0.7156850695610046,0.7839999794960022
0.001960484078153968,0.0013657319359481335,4299,11,,,
0.0021348416339606047,0.002133068162947893,4349,11,,,
0.0022720959968864918,0.0024550172965973616,4399,11,,,
0.00335307908244431,0.0038613465148955584,4449,11,,,
0.004724092315882444,0.004020067863166332,4499,11,,,
0.0020807022228837013,0.002247036434710026,4549,11,,,
0.001872238819487393,0.002664388157427311,4599,11,,,
0.005293221212923527,0.004124145023524761,4649,11,,,
,,4679,11,0.7247996926307678,0.7239382863044739,0.8217999935150146
0.0016416901489719748,0.002021654974669218,4699,12,,,
0.001763480482622981,0.0015024958411231637,4749,12,,,
0.0015344569692388177,0.0015761398244649172,4799,12,,,
0.0023568859323859215,0.002322316402569413,4849,12,,,
0.002242189599201083,0.002822133246809244,4899,12,,,
0.004165356513112783,0.003982506226748228,4949,12,,,
0.001993692247197032,0.0019357200944796205,4999,12,,,
0.005149895325303078,0.003720363136380911,5049,12,,,
,,5069,12,0.73046875,0.7189503312110901,0.8320000171661377
0.003032649401575327,0.002238938817754388,5099,13,,,
0.0026634237729012966,0.00256606237962842,5149,13,,,
0.003458597231656313,0.0029148440808057785,5199,13,,,
0.0026664205361157656,0.002415773458778858,5249,13,,,
0.0017545003211125731,0.0020432837773114443,5299,13,,,
0.0034115721937268972,0.003170652547851205,5349,13,,,
0.0036437164526432753,0.003266913117840886,5399,13,,,
0.004275638610124588,0.003528279485180974,5449,13,,,
,,5459,13,0.739963948726654,0.7276442050933838,0.8325999975204468
0.0010893391445279121,0.0013394851703196764,5499,14,,,
0.002149062231183052,0.002226472133770585,5549,14,,,
0.0018258675700053573,0.0017806460382416844,5599,14,,,
0.0015966140199452639,0.0016552943270653486,5649,14,,,
0.002713802270591259,0.0022797270212322474,5699,14,,,
0.002799451816827059,0.0025847081560641527,5749,14,,,
0.003886708291247487,0.003322832053527236,5799,14,,,
0.0028714339714497328,0.0025723772123456,5849,14,,,
,,5849,14,0.7428686022758484,0.7411859035491943,0.8270000219345093
0.002054426586255431,0.002129459520801902,5899,15,,,
0.0013669038889929652,0.0010149105219170451,5949,15,,,
0.0032619882840663195,0.0031192712485790253,5999,15,,,
0.001970977522432804,0.0015876971883699298,6049,15,,,
0.0014521636767312884,0.0010414482094347477,6099,15,,,
0.001571976114064455,0.001236782525666058,6149,15,,,
0.0017078552627936006,0.002196515677496791,6199,15,,,
,,6239,15,0.7482972741127014,0.7467347979545593,0.8513000011444092
0.0012771269539371133,0.0010384495835751295,6249,16,,,
0.0020066590514034033,0.0018190740374848247,6299,16,,,
