train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc,mix_match_loss
1.5342363119125366,2199,7,,,,,
1.7390687465667725,2249,7,,,,,
1.8297544717788696,2299,7,,,,,
1.4577938318252563,2349,7,,,,,
1.4917871952056885,2399,7,,,,,
1.457551121711731,2449,7,,,,,
,2495,7,0.47540000081062317,1.6164591312408447,,,
,2495,7,,,0.46454328298568726,0.6392999887466431,
1.6018704175949097,2499,8,,,,,
1.497151494026184,2549,8,,,,,
1.6714231967926025,2599,8,,,,,
1.742260217666626,2649,8,,,,,
1.5227869749069214,2699,8,,,,,
1.5959060192108154,2749,8,,,,,
1.5381696224212646,2799,8,,,,,
,2807,8,0.49309998750686646,1.5747816562652588,,,
,2807,8,,,0.4967948794364929,0.6818000078201294,
1.5093028545379639,2849,9,,,,,
1.6058440208435059,2899,9,,,,,
1.6228621006011963,2949,9,,,,,
1.4977953433990479,2999,9,,,,,
1.4156532287597656,3049,9,,,,,
1.4398664236068726,3099,9,,,,,
,3119,9,0.5056999921798706,1.5491557121276855,,,
,3119,9,,,0.5112930536270142,0.6991999745368958,
1.4731944799423218,3149,10,,,,,
1.3647207021713257,3199,10,,,,,
1.751251220703125,3249,10,,,,,
1.4892709255218506,3299,10,,,,,
1.3576538562774658,3349,10,,,,,
1.4719136953353882,3399,10,,,,,
,3431,10,0.5146999955177307,1.5413641929626465,,,
,3431,10,,,0.5182041525840759,0.7271000146865845,
1.3113150596618652,3449,11,,,,,
1.2673429250717163,3499,11,,,,,
1.4214104413986206,3549,11,,,,,
1.5617470741271973,3599,11,,,,,
1.4627327919006348,3649,11,,,,,
1.4927828311920166,3699,11,,,,,
,3743,11,0.5027999877929688,1.5635355710983276,,,
,3743,11,,,0.5272185206413269,0.708899974822998,
1.4680241346359253,3749,12,,,,,
1.5125038623809814,3799,12,,,,,
1.5200070142745972,3849,12,,,,,
1.5263113975524902,3899,12,,,,,
1.329888105392456,3949,12,,,,,
