train_loss,step,epoch,val_acc,val_loss,test_acc,train_acc
2.1087417602539062,49,0,,,,
1.7213460206985474,99,0,,,,
1.7816187143325806,149,0,,,,
1.3715764284133911,199,0,,,,
1.442672610282898,249,0,,,,
1.4395272731781006,299,0,,,,
,311,0,0.4250999987125397,1.693881630897522,,
,311,0,,,0.4740000069141388,0.32379308342933655
0.9448566436767578,349,1,,,,
1.0400002002716064,399,1,,,,
0.9655483961105347,449,1,,,,
0.7482108473777771,499,1,,,,
0.8962670564651489,549,1,,,,
0.8399064540863037,599,1,,,,
,623,1,0.4618000090122223,1.7172536849975586,,
,623,1,,,0.5120000243186951,0.46697214245796204
0.5866737365722656,649,2,,,,
0.4446502923965454,699,2,,,,
0.40606367588043213,749,2,,,,
0.6511808037757874,799,2,,,,
0.22111225128173828,849,2,,,,
0.5491328239440918,899,2,,,,
,935,2,0.5360999703407288,1.563704252243042,,
,935,2,,,0.5963000059127808,0.5421925187110901
-0.12494421005249023,949,3,,,,
-0.1353212594985962,999,3,,,,
0.03339278697967529,1049,3,,,,
-0.0453723669052124,1099,3,,,,
-0.14889323711395264,1149,3,,,,
-0.3633708953857422,1199,3,,,,
,1247,3,0.5978999733924866,1.481550693511963,,
,1247,3,,,0.6693999767303467,0.5922976732254028
-0.8302426338195801,1249,4,,,,
-0.8034476041793823,1299,4,,,,
-0.5369353294372559,1349,4,,,,
-0.5384299755096436,1399,4,,,,
-1.136345624923706,1449,4,,,,
-0.9646322727203369,1499,4,,,,
-0.6571563482284546,1549,4,,,,
,1559,4,0.6133000254631042,1.455095648765564,,
,1559,4,,,0.6880000233650208,0.6331380009651184
-1.6005319356918335,1599,5,,,,
-1.3949071168899536,1649,5,,,,
-1.6214386224746704,1699,5,,,,
-1.5301101207733154,1749,5,,,,
-1.2967593669891357,1799,5,,,,
-1.452133059501648,1849,5,,,,
,1871,5,0.6492000222206116,1.439405083656311,,
,1871,5,,,0.7419000267982483,0.6652894616127014
-2.33417010307312,1899,6,,,,
-2.0928473472595215,1949,6,,,,
-1.7735799551010132,1999,6,,,,
-1.6868737936019897,2049,6,,,,
-2.425666570663452,2099,6,,,,
-1.8953057527542114,2149,6,,,,
,2183,6,0.661300003528595,1.4592753648757935,,
,2183,6,,,0.7580000162124634,0.6875250339508057
-2.6793479919433594,2199,7,,,,
-2.6656742095947266,2249,7,,,,
-2.794461250305176,2299,7,,,,
-2.564479351043701,2349,7,,,,
-3.0280256271362305,2399,7,,,,
-2.857573986053467,2449,7,,,,
,2495,7,0.6948000192642212,1.3900401592254639,,
,2495,7,,,0.7904999852180481,0.7080328464508057
-3.6656856536865234,2499,8,,,,
-3.496377468109131,2549,8,,,,
-3.60606050491333,2599,8,,,,
-3.8257880210876465,2649,8,,,,
-3.61118745803833,2699,8,,,,
-3.9350993633270264,2749,8,,,,
-3.416132926940918,2799,8,,,,
,2807,8,0.7160999774932861,1.3554356098175049,,
,2807,8,,,0.820900022983551,0.7253355383872986
-4.728548049926758,2849,9,,,,
-4.019528388977051,2899,9,,,,
-4.100228309631348,2949,9,,,,
-4.922520160675049,2999,9,,,,
-4.433809280395508,3049,9,,,,
-4.9002461433410645,3099,9,,,,
,3119,9,0.7207000255584717,1.3918192386627197,,
,3119,9,,,0.830299973487854,0.7397335767745972
-2.4793848991394043,3149,10,,,,
-3.411461353302002,3199,10,,,,
-3.260328769683838,3249,10,,,,
-3.864565849304199,3299,10,,,,
-3.656975746154785,3349,10,,,,
-4.01893424987793,3399,10,,,,
,3431,10,0.6446999907493591,1.806041955947876,,
,3431,10,,,0.7311000227928162,0.6284304857254028
-5.022454261779785,3449,11,,,,
-4.915053367614746,3499,11,,,,
-4.612419128417969,3549,11,,,,
-5.13348388671875,3599,11,,,,
-4.03706169128418,3649,11,,,,
-4.340816020965576,3699,11,,,,
,3743,11,0.6360999941825867,1.861852765083313,,
,3743,11,,,0.7239000201225281,0.6767828464508057
-4.809567451477051,3749,12,,,,
-5.867978572845459,3799,12,,,,
-4.729681968688965,3849,12,,,,
-4.421750068664551,3899,12,,,,
-5.013630390167236,3949,12,,,,
-5.63810920715332,3999,12,,,,
-5.172281265258789,4049,12,,,,
,4055,12,0.6980000138282776,1.673075795173645,,
,4055,12,,,0.7897999882698059,0.6969651579856873
-5.608180046081543,4099,13,,,,
-5.192330837249756,4149,13,,,,
-6.235552787780762,4199,13,,,,
-5.7942609786987305,4249,13,,,,
-5.428219795227051,4299,13,,,,
-6.541871070861816,4349,13,,,,
,4367,13,0.7037000060081482,1.6956382989883423,,
,4367,13,,,0.7986999750137329,0.7116386294364929
-5.640322685241699,4399,14,,,,
-6.688177585601807,4449,14,,,,
-5.909391403198242,4499,14,,,,
-6.754654407501221,4549,14,,,,
-6.603713035583496,4599,14,,,,
-7.152169227600098,4649,14,,,,
,4679,14,0.7102000117301941,1.7238874435424805,,
,4679,14,,,0.8044000267982483,0.725661039352417
-7.438333511352539,4699,15,,,,
-6.507815837860107,4749,15,,,,
-7.086832046508789,4799,15,,,,
-7.342727184295654,4849,15,,,,
-7.262007236480713,4899,15,,,,
-7.163556098937988,4949,15,,,,
,4991,15,0.7196999788284302,1.666795253753662,,
,4991,15,,,0.829200029373169,0.735276460647583
-8.4890775680542,4999,16,,,,
-7.589193344116211,5049,16,,,,
-7.768582344055176,5099,16,,,,
-8.631999015808105,5149,16,,,,
-7.752558708190918,5199,16,,,,
-8.068349838256836,5249,16,,,,
-7.216083526611328,5299,16,,,,
,5303,16,0.7357000112533569,1.6721439361572266,,
,5303,16,,,0.8500999808311462,0.7497245669364929
-8.203704833984375,5349,17,,,,
-8.681885719299316,5399,17,,,,
-9.446194648742676,5449,17,,,,
-8.949058532714844,5499,17,,,,
-8.897223472595215,5549,17,,,,
-8.880598068237305,5599,17,,,,
,5615,17,0.7412999868392944,1.6859091520309448,,
,5615,17,,,0.8501999974250793,0.7586137652397156
-10.19597339630127,5649,18,,,,
-9.711908340454102,5699,18,,,,
-8.710124969482422,5749,18,,,,
-8.837820053100586,5799,18,,,,
-9.695852279663086,5849,18,,,,
-9.197636604309082,5899,18,,,,
,5927,18,0.7490000128746033,1.659056305885315,,
,5927,18,,,0.8593000173568726,0.7646484375
-10.623442649841309,5949,19,,,,
-11.068714141845703,5999,19,,,,
-9.510998725891113,6049,19,,,,
-10.171582221984863,6099,19,,,,
-8.985607147216797,6149,19,,,,
-11.07737922668457,6199,19,,,,
,6239,19,0.7505999803543091,1.6870671510696411,,
,6239,19,,,0.8659999966621399,0.7734375
-9.387866973876953,6249,20,,,,
-8.291420936584473,6299,20,,,,
-8.021123886108398,6349,20,,,,
-9.33473014831543,6399,20,,,,
-8.69144058227539,6449,20,,,,
-8.623517990112305,6499,20,,,,
-8.998543739318848,6549,20,,,,
,6551,20,0.6844000220298767,2.1806259155273438,,
,6551,20,,,0.7684000134468079,0.6734775900840759
-9.257204055786133,6599,21,,,,
-9.762192726135254,6649,21,,,,
-9.705450057983398,6699,21,,,,
-8.608080863952637,6749,21,,,,
-9.13884162902832,6799,21,,,,
-9.28131103515625,6849,21,,,,
,6863,21,0.6879000067710876,2.125164747238159,,
,6863,21,,,0.7767999768257141,0.706129789352417
-9.263099670410156,6899,22,,,,
-10.717079162597656,6949,22,,,,
-8.359540939331055,6999,22,,,,
-9.619256019592285,7049,22,,,,
-9.8804349899292,7099,22,,,,
-9.578121185302734,7149,22,,,,
,7175,22,0.7111999988555908,1.9764429330825806,,
,7175,22,,,0.8183000087738037,0.7240334749221802
-9.674845695495605,7199,23,,,,
-9.673253059387207,7249,23,,,,
-9.328523635864258,7299,23,,,,
-10.683269500732422,7349,23,,,,
-10.347354888916016,7399,23,,,,
-10.611167907714844,7449,23,,,,
,7487,23,0.7129999995231628,2.0215001106262207,,
,7487,23,,,0.8097000122070312,0.7368789911270142
-10.286904335021973,7499,24,,,,
-10.234302520751953,7549,24,,,,
-12.13824462890625,7599,24,,,,
-9.576607704162598,7649,24,,,,
-10.426072120666504,7699,24,,,,
-10.031030654907227,7749,24,,,,
-10.234066009521484,7799,24,,,,
,7799,24,0.7347000241279602,1.8578115701675415,,
,7799,24,,,0.8439000248908997,0.747971773147583
-12.09321403503418,7849,25,,,,
-11.025498390197754,7899,25,,,,
-10.463456153869629,7949,25,,,,
-10.47327995300293,7999,25,,,,
-11.598943710327148,8049,25,,,,
-10.40230941772461,8099,25,,,,
,8111,25,0.7364000082015991,1.8610769510269165,,
