step,train_loss2,epoch,train_loss1,train_acc1,test_acc,train_acc2
49,0.015622248873114586,0,0.016301045194268227,,,
99,0.013814925216138363,0,0.013687106780707836,,,
149,0.014655759558081627,0,0.013483673334121704,,,
199,0.014096289873123169,0,0.013889914378523827,,,
249,0.013253285549581051,0,0.012656965292990208,,,
299,0.013428145088255405,0,0.013461794704198837,,,
349,0.013331069611012936,0,0.01370098628103733,,,
389,,0,,0.3610977530479431,0.44940000772476196,0.35154247283935547
399,0.013290627859532833,1,0.01345911156386137,,,
449,0.011703613214194775,1,0.011872535571455956,,,
499,0.011744707822799683,1,0.011304891668260098,,,
549,0.011355194263160229,1,0.010817253030836582,,,
599,0.011398120783269405,1,0.011539500206708908,,,
649,0.011345719918608665,1,0.010920755565166473,,,
699,0.008336410857737064,1,0.008544258773326874,,,
749,0.009859168902039528,1,0.009705333039164543,,,
779,,1,,0.5102764368057251,0.5814999938011169,0.5003004670143127
799,0.010480291210114956,2,0.010443625040352345,,,
849,0.009697051718831062,2,0.010440497659146786,,,
899,0.007785404566675425,2,0.007527606561779976,,,
949,0.008778765797615051,2,0.00831883680075407,,,
999,0.008211000822484493,2,0.008563912473618984,,,
1049,0.0070587992668151855,2,0.006828638259321451,,,
1099,0.009324395097792149,2,0.00945147406309843,,,
1149,0.010197495110332966,2,0.009843300096690655,,,
1169,,2,,0.575120210647583,0.661899983882904,0.5693109035491943
1199,0.007993059232831001,3,0.007397364359349012,,,
1249,0.008319217711687088,3,0.0077138496562838554,,,
1299,0.008190627209842205,3,0.007853643037378788,,,
1349,0.006443172227591276,3,0.005637358408421278,,,
1399,0.007519632112234831,3,0.008267293684184551,,,
1449,0.005874013993889093,3,0.005949697457253933,,,
1499,0.007665347773581743,3,0.006895592901855707,,,
1549,0.006957018747925758,3,0.007178888656198978,,,
1559,,3,,0.6180288195610046,0.6626999974250793,0.6114382743835449
1599,0.009895424358546734,4,0.01018223911523819,,,
1649,0.008469300344586372,4,0.007845262065529823,,,
1699,0.007621448487043381,4,0.008049488998949528,,,
1749,0.006278481800109148,4,0.007181516848504543,,,
1799,0.00771293556317687,4,0.00732787000015378,,,
1849,0.005350254010409117,4,0.006116427015513182,,,
1899,0.008594741113483906,4,0.008554221130907536,,,
1949,0.0056939986534416676,4,0.006647680886089802,,,
1949,,4,,0.6472756266593933,0.7275000214576721,0.6441506147384644
1999,0.0037426326889544725,5,0.003672841703519225,,,
2049,0.006035814061760902,5,0.005688724108040333,,,
2099,0.005708906799554825,5,0.00510410824790597,,,
2149,0.005668179132044315,5,0.005920535884797573,,,
2199,0.00433610612526536,5,0.004089200869202614,,,
2249,0.004579004365950823,5,0.0041970680467784405,,,
2299,0.00773355457931757,5,0.007282956037670374,,,
2339,,5,,0.6717948913574219,0.7638999819755554,0.6677283644676208
2349,0.0036290474236011505,6,0.0036612097173929214,,,
2399,0.005875138565897942,6,0.004998897667974234,,,
2449,0.006577290594577789,6,0.006179347634315491,,,
2499,0.004864349961280823,6,0.004265141673386097,,,
2549,0.004306718707084656,6,0.004762071650475264,,,
2599,0.005144497379660606,6,0.004597067832946777,,,
2649,0.00592856714501977,6,0.006758652161806822,,,
2699,0.0049421899020671844,6,0.004323124419897795,,,
2729,,6,,0.6868589520454407,0.7730000019073486,0.6859976053237915
2749,0.004777634982019663,7,0.004815236199647188,,,
2799,0.004696905147284269,7,0.00543312169611454,,,
2849,0.0046309251338243484,7,0.004485167562961578,,,
2899,0.005378288682550192,7,0.00522469962015748,,,
2949,0.003657243913039565,7,0.00363181228749454,,,
2999,0.0036698193289339542,7,0.003949758596718311,,,
3049,0.005195647943764925,7,0.0047722929157316685,,,
3099,0.004271313082426786,7,0.0048852949403226376,,,
3119,,7,,0.6998196840286255,0.8051999807357788,0.6996394395828247
3149,0.0025879312306642532,8,0.0029933734331279993,,,
3199,0.0025030854158103466,8,0.0033171072136610746,,,
3249,0.0024019500706344843,8,0.0023724425118416548,,,
3299,0.004996457137167454,8,0.004650460556149483,,,
3349,0.002457632217556238,8,0.0025506019592285156,,,
3399,0.005030304193496704,8,0.003740260610356927,,,
3449,0.0030627702362835407,8,0.0029919780790805817,,,
3499,0.0035639668349176645,8,0.004053495824337006,,,
3509,,8,,0.7106770873069763,0.7975000143051147,0.7099559307098389
3549,0.002648603403940797,9,0.004094145726412535,,,
3599,0.0049827490001916885,9,0.004255308769643307,,,
3649,0.0032168258912861347,9,0.0032661408185958862,,,
3699,0.002924807369709015,9,0.0031786204781383276,,,
3749,0.002170391846448183,9,0.002229398814961314,,,
3799,0.00320452731102705,9,0.00395651301369071,,,
3849,0.0027335938066244125,9,0.002521166345104575,,,
3899,0.0040344903245568275,9,0.0039896550588309765,,,
3899,,9,,0.7164663672447205,0.8047000169754028,0.7173076868057251
3949,0.0037717344239354134,10,0.004407666623592377,,,
