train_loss,epoch,step,val_loss,val_acc,test_acc,train_acc,mix_match_loss
2.3953821659088135,0,49,,,,,
2.8134231567382812,0,99,,,,,
2.5523879528045654,0,149,,,,,
2.2915329933166504,0,199,,,,,
2.2210240364074707,0,249,,,,,
2.1565017700195312,0,299,,,,,
,0,312,2.0666282176971436,0.2362000048160553,,,
,0,312,,,0.23130933940410614,0.1586499959230423,
2.071295738220215,1,349,,,,,
1.9798872470855713,1,399,,,,,
2.042125940322876,1,449,,,,,
1.916988492012024,1,499,,,,,
1.8776819705963135,1,549,,,,,
1.8410788774490356,1,599,,,,,
,1,625,1.7325550317764282,0.33730000257492065,,,
,1,625,,,0.3460245132446289,0.2680499851703644,
1.9059187173843384,2,649,,,,,
1.7110084295272827,2,699,,,,,
1.8004717826843262,2,749,,,,,
1.641110897064209,2,799,,,,,
1.5886365175247192,2,849,,,,,
1.6390223503112793,2,899,,,,,
,2,938,1.616615653038025,0.390500009059906,,,
,2,938,,,0.41060125827789307,0.3483999967575073,
1.666882038116455,3,949,,,,,
1.603203296661377,3,999,,,,,
1.6070293188095093,3,1049,,,,,
1.5069000720977783,3,1099,,,,,
1.6143120527267456,3,1149,,,,,
1.5461008548736572,3,1199,,,,,
1.4897136688232422,3,1249,,,,,
,3,1251,1.5098450183868408,0.43720000982284546,,,
,3,1251,,,0.4492681920528412,0.4032000005245209,
1.5344698429107666,4,1299,,,,,
1.5362656116485596,4,1349,,,,,
1.636907696723938,4,1399,,,,,
1.5596809387207031,4,1449,,,,,
1.537664771080017,4,1499,,,,,
1.3724256753921509,4,1549,,,,,
,4,1564,1.3963184356689453,0.48890000581741333,,,
,4,1564,,,0.4948576092720032,0.450300008058548,
1.4678192138671875,5,1599,,,,,
1.4935089349746704,5,1649,,,,,
1.32109534740448,5,1699,,,,,
1.437798261642456,5,1749,,,,,
1.4326815605163574,5,1799,,,,,
1.39364492893219,5,1849,,,,,
,5,1877,1.3024981021881104,0.525600016117096,,,
,5,1877,,,0.5211629867553711,0.4848249852657318,
1.3826278448104858,6,1899,,,,,
1.120082139968872,6,1949,,,,,
1.4142452478408813,6,1999,,,,,
1.135053277015686,6,2049,,,,,
1.2436738014221191,6,2099,,,,,
1.3295254707336426,6,2149,,,,,
,6,2190,1.260467767715454,0.5472999811172485,,,
,6,2190,,,0.5648733973503113,0.522475004196167,
1.1082414388656616,7,2199,,,,,
1.3597502708435059,7,2249,,,,,
1.2893187999725342,7,2299,,,,,
1.3366197347640991,7,2349,,,,,
1.2550116777420044,7,2399,,,,,
1.185029149055481,7,2449,,,,,
1.2190241813659668,7,2499,,,,,
,7,2503,1.1716035604476929,0.5792999863624573,,,
,7,2503,,,0.5915743708610535,0.5583249926567078,
1.3839349746704102,8,2549,,,,,
0.9332367181777954,8,2599,,,,,
1.1782547235488892,8,2649,,,,,
1.3145318031311035,8,2699,,,,,
1.1673780679702759,8,2749,,,,,
1.056627869606018,8,2799,,,,,
,8,2816,1.092293620109558,0.6173999905586243,,,
,8,2816,,,0.6180775165557861,0.5913249850273132,
1.112351655960083,9,2849,,,,,
0.9446218013763428,9,2899,,,,,
1.1867151260375977,9,2949,,,,,
0.9724360108375549,9,2999,,,,,
1.0333690643310547,9,3049,,,,,
1.099295973777771,9,3099,,,,,
,9,3129,1.0733637809753418,0.6274999976158142,,,
,9,3129,,,0.6338014006614685,0.6188499927520752,
0.9844416975975037,10,3149,,,,,
1.1719800233840942,10,3199,,,,,
0.8870313763618469,10,3249,,,,,
1.2055456638336182,10,3299,,,,,
1.079770803451538,10,3349,,,,,
