train_loss,step,epoch,val_loss,val_acc,train_acc,test_acc,mix_match_loss
2.402592420578003,49,0,,,,,
2.134936571121216,99,0,,,,,
2.067460060119629,149,0,,,,,
1.9958107471466064,199,0,,,,,
1.9473429918289185,249,0,,,,,
1.9919369220733643,299,0,,,,,
,311,0,1.9020806550979614,0.30329999327659607,,,
,311,0,,,0.19834235310554504,0.3100999891757965,
1.9307218790054321,349,1,,,,,
1.8786413669586182,399,1,,,,,
1.788090467453003,449,1,,,,,
1.8740280866622925,499,1,,,,,
1.8510140180587769,549,1,,,,,
1.6004010438919067,599,1,,,,,
,623,1,1.768601417541504,0.33739998936653137,,,
,623,1,,,0.31122297048568726,0.3440000116825104,
1.7954111099243164,649,2,,,,,
1.6738250255584717,699,2,,,,,
1.7281585931777954,749,2,,,,,
1.5425372123718262,799,2,,,,,
1.7843877077102661,849,2,,,,,
1.734439492225647,899,2,,,,,
,935,2,1.7497285604476929,0.3824999928474426,,,
,935,2,,,0.3805338442325592,0.3968000113964081,
1.7121139764785767,949,3,,,,,
1.5931434631347656,999,3,,,,,
1.574989914894104,1049,3,,,,,
1.3326607942581177,1099,3,,,,,
1.6358388662338257,1149,3,,,,,
1.4334043264389038,1199,3,,,,,
,1247,3,1.488814115524292,0.4602999985218048,,,
,1247,3,,,0.44045472145080566,0.4781000018119812,
1.515954852104187,1249,4,,,,,
1.5996077060699463,1299,4,,,,,
1.3259979486465454,1349,4,,,,,
1.3685288429260254,1399,4,,,,,
1.44083571434021,1449,4,,,,,
1.4656249284744263,1499,4,,,,,
1.4456331729888916,1549,4,,,,,
,1559,4,1.343691349029541,0.5249999761581421,,,
,1559,4,,,0.48830628395080566,0.5489000082015991,
1.350823998451233,1599,5,,,,,
1.3032267093658447,1649,5,,,,,
1.2198972702026367,1699,5,,,,,
1.4165849685668945,1749,5,,,,,
1.137773036956787,1799,5,,,,,
1.3366791009902954,1849,5,,,,,
,1871,5,1.4459882974624634,0.4973999857902527,,,
,1871,5,,,0.5334535241127014,0.5138999819755554,
1.212120532989502,1899,6,,,,,
1.2265881299972534,1949,6,,,,,
1.339300274848938,1999,6,,,,,
1.4041718244552612,2049,6,,,,,
1.2033333778381348,2099,6,,,,,
1.1824536323547363,2149,6,,,,,
,2183,6,1.2972363233566284,0.5575000047683716,,,
,2183,6,,,0.5762219429016113,0.5735999941825867,
1.230625867843628,2199,7,,,,,
1.0815482139587402,2249,7,,,,,
1.1440666913986206,2299,7,,,,,
1.2237614393234253,2349,7,,,,,
1.2480919361114502,2399,7,,,,,
1.3255541324615479,2449,7,,,,,
,2495,7,1.2115073204040527,0.6051999926567078,,,
,2495,7,,,0.611403226852417,0.6190999746322632,
1.3067909479141235,2499,8,,,,,
1.0852781534194946,2549,8,,,,,
1.0092101097106934,2599,8,,,,,
1.1052364110946655,2649,8,,,,,
1.144750714302063,2699,8,,,,,
0.912804365158081,2749,8,,,,,
0.8901976943016052,2799,8,,,,,
,2807,8,1.072190523147583,0.6500999927520752,,,
,2807,8,,,0.6459084749221802,0.6751000285148621,
1.0307042598724365,2849,9,,,,,
0.938335120677948,2899,9,,,,,
0.8888455629348755,2949,9,,,,,
0.9813476204872131,2999,9,,,,,
0.8832667469978333,3049,9,,,,,
0.9244775176048279,3099,9,,,,,
,3119,9,1.144643783569336,0.6301000118255615,,,
,3119,9,,,0.6731019616127014,0.6464999914169312,
0.8867305517196655,3149,10,,,,,
0.8074727058410645,3199,10,,,,,
0.8598929643630981,3249,10,,,,,
1.038298487663269,3299,10,,,,,
1.0179989337921143,3349,10,,,,,
0.9317436814308167,3399,10,,,,,
,3431,10,0.9424844980239868,0.701200008392334,,,
,3431,10,,,0.698167085647583,0.7304999828338623,
0.7623600959777832,3449,11,,,,,
0.9566401243209839,3499,11,,,,,
0.930155873298645,3549,11,,,,,
0.7669884562492371,3599,11,,,,,
0.7130968570709229,3649,11,,,,,
0.9290482997894287,3699,11,,,,,
,3743,11,0.9868948459625244,0.6913999915122986,,,
,3743,11,,,0.7170222401618958,0.7200999855995178,
0.7611760497093201,3749,12,,,,,
0.8067651391029358,3799,12,,,,,
0.5836420655250549,3849,12,,,,,
0.6929253339767456,3899,12,,,,,
0.8546332716941833,3949,12,,,,,
0.6627181172370911,3999,12,,,,,
0.6829569935798645,4049,12,,,,,
,4055,12,0.870032012462616,0.725600004196167,,,
,4055,12,,,0.7297425866127014,0.7605000138282776,
0.7835163474082947,4099,13,,,,,
0.8692444562911987,4149,13,,,,,
0.6344847083091736,4199,13,,,,,
0.8617705702781677,4249,13,,,,,
0.6839001774787903,4299,13,,,,,
0.8122947216033936,4349,13,,,,,
,4367,13,0.9828866124153137,0.6996999979019165,,,
,4367,13,,,0.7446414232254028,0.7305999994277954,
0.7667825222015381,4399,14,,,,,
0.9036925435066223,4449,14,,,,,
0.6399475336074829,4499,14,,,,,
0.8584015965461731,4549,14,,,,,
0.7948390245437622,4599,14,,,,,
0.7536439895629883,4649,14,,,,,
,4679,14,0.8924129605293274,0.7181000113487244,,,
,4679,14,,,0.7495743036270142,0.7455999851226807,
0.8053263425827026,4699,15,,,,,
0.7530645728111267,4749,15,,,,,
0.7703275680541992,4799,15,,,,,
0.8191984295845032,4849,15,,,,,
0.7618386149406433,4899,15,,,,,
0.6176251769065857,4949,15,,,,,
,4991,15,1.2091786861419678,0.6334999799728394,,,
,4991,15,,,0.7565605044364929,0.6456000208854675,
0.6329404711723328,4999,16,,,,,
0.7877708673477173,5049,16,,,,,
0.9269348978996277,5099,16,,,,,
0.7070629000663757,5149,16,,,,,
0.8237056732177734,5199,16,,,,,
0.7827129364013672,5249,16,,,,,
0.7704054713249207,5299,16,,,,,
,5303,16,0.9587223529815674,0.6983000040054321,,,
,5303,16,,,0.7634965777397156,0.723800003528595,
0.5945382714271545,5349,17,,,,,
0.7249256372451782,5399,17,,,,,
0.5595261454582214,5449,17,,,,,
0.7854116559028625,5499,17,,,,,
0.7686037421226501,5549,17,,,,,
0.7358478903770447,5599,17,,,,,
,5615,17,1.22218656539917,0.6313999891281128,,,
,5615,17,,,0.7689303159713745,0.6485999822616577,
0.827436089515686,5649,18,,,,,
0.7133331894874573,5699,18,,,,,
0.9993022084236145,5749,18,,,,,
0.7231806516647339,5799,18,,,,,
0.6802650690078735,5849,18,,,,,
0.6361860632896423,5899,18,,,,,
,5927,18,0.818748414516449,0.7505999803543091,,,
,5927,18,,,0.7767928838729858,0.7800999879837036,
0.8393891453742981,5949,19,,,,,
0.6215085387229919,5999,19,,,,,
0.7168216109275818,6049,19,,,,,
0.5297471880912781,6099,19,,,,,
0.881631076335907,6149,19,,,,,
0.7806247472763062,6199,19,,,,,
,6239,19,0.7951297163963318,0.7533000111579895,,,
,6239,19,,,0.775390625,0.7904999852180481,
,6249,20,,,,,1.7964072227478027
,6299,20,,,,,nan
,6349,20,,,,,nan
,6399,20,,,,,nan
,6449,20,,,,,nan
,6499,20,,,,,nan
,6549,20,,,,,nan
,6557,20,nan,0.10790000110864639,,,
1.2118043899536133,6557,20,,,0.7595252394676208,0.10000000149011612,
,6599,21,,,,,nan
,6649,21,,,,,nan
,6699,21,,,,,nan
,6749,21,,,,,nan
,6799,21,,,,,nan
,6849,21,,,,,nan
,6899,21,,,,,nan
,6949,21,,,,,nan
,6999,21,,,,,nan
,7049,21,,,,,nan
,7099,21,,,,,nan
,7115,21,nan,0.10790000110864639,,,
,7115,21,,,,0.10000000149011612,
,7149,22,,,,,nan
,7199,22,,,,,nan
,7249,22,,,,,nan
,7299,22,,,,,nan
,7349,22,,,,,nan
,7399,22,,,,,nan
,7449,22,,,,,nan
,7499,22,,,,,nan
,7549,22,,,,,nan
,7599,22,,,,,nan
,7649,22,,,,,nan
,7673,22,nan,0.10790000110864639,,,
,7673,22,,,,0.10000000149011612,
,7699,23,,,,,nan
,7749,23,,,,,nan
,7799,23,,,,,nan
,7849,23,,,,,nan
,7899,23,,,,,nan
,7949,23,,,,,nan
,7999,23,,,,,nan
,8049,23,,,,,nan
,8099,23,,,,,nan
,8149,23,,,,,nan
,8199,23,,,,,nan
,8231,23,nan,0.10790000110864639,,,
,8231,23,,,,0.10000000149011612,
,8249,24,,,,,nan
,8299,24,,,,,nan
,8349,24,,,,,nan
,8399,24,,,,,nan
,8449,24,,,,,nan
,8499,24,,,,,nan
,8549,24,,,,,nan
,8599,24,,,,,nan
,8649,24,,,,,nan
,8699,24,,,,,nan
,8749,24,,,,,nan
,8789,24,nan,0.10790000110864639,,,
,8789,24,,,,0.10000000149011612,
,8799,25,,,,,nan
,8849,25,,,,,nan
,8899,25,,,,,nan
,8949,25,,,,,nan
,8999,25,,,,,nan
,9049,25,,,,,nan
,9099,25,,,,,nan
,9149,25,,,,,nan
,9199,25,,,,,nan
,9249,25,,,,,nan
,9299,25,,,,,nan
,9347,25,nan,0.10790000110864639,,,
,9347,25,,,,0.10000000149011612,
,9349,26,,,,,nan
,9399,26,,,,,nan
,9449,26,,,,,nan
,9499,26,,,,,nan
,9549,26,,,,,nan
,9599,26,,,,,nan
,9649,26,,,,,nan
,9699,26,,,,,nan
,9749,26,,,,,nan
,9799,26,,,,,nan
,9849,26,,,,,nan
,9899,26,,,,,nan
,9905,26,nan,0.10790000110864639,,,
,9905,26,,,,0.10000000149011612,
,9949,27,,,,,nan
,9999,27,,,,,nan
,10049,27,,,,,nan
,10099,27,,,,,nan
,10149,27,,,,,nan
,10199,27,,,,,nan
,10249,27,,,,,nan
,10299,27,,,,,nan
,10349,27,,,,,nan
,10399,27,,,,,nan
,10449,27,,,,,nan
,10463,27,nan,0.10790000110864639,,,
,10463,27,,,,0.10000000149011612,
,10499,28,,,,,nan
,10549,28,,,,,nan
,10599,28,,,,,nan
,10649,28,,,,,nan
,10699,28,,,,,nan
,10749,28,,,,,nan
,10799,28,,,,,nan
,10849,28,,,,,nan
,10899,28,,,,,nan
,10949,28,,,,,nan
,10999,28,,,,,nan
,11021,28,nan,0.10790000110864639,,,
,11021,28,,,,0.10000000149011612,
,11049,29,,,,,nan
,11099,29,,,,,nan
,11149,29,,,,,nan
,11199,29,,,,,nan
,11249,29,,,,,nan
,11299,29,,,,,nan
,11349,29,,,,,nan
,11399,29,,,,,nan
,11449,29,,,,,nan
,11499,29,,,,,nan
,11549,29,,,,,nan
,11579,29,nan,0.10790000110864639,,,
,11579,29,,,,0.10000000149011612,
,11599,30,,,,,nan
,11649,30,,,,,nan
,11699,30,,,,,nan
,11749,30,,,,,nan
,11799,30,,,,,nan
,11849,30,,,,,nan
,11899,30,,,,,nan
,11949,30,,,,,nan
,11999,30,,,,,nan
,12049,30,,,,,nan
,12099,30,,,,,nan
,12137,30,nan,0.10790000110864639,,,
,12137,30,,,,0.10000000149011612,
,12149,31,,,,,nan
,12199,31,,,,,nan
,12249,31,,,,,nan
,12299,31,,,,,nan
,12349,31,,,,,nan
,12399,31,,,,,nan
,12449,31,,,,,nan
,12499,31,,,,,nan
,12549,31,,,,,nan
,12599,31,,,,,nan
,12649,31,,,,,nan
,12695,31,nan,0.10790000110864639,,,
,12695,31,,,,0.10000000149011612,
,12699,32,,,,,nan
,12749,32,,,,,nan
,12799,32,,,,,nan
,12849,32,,,,,nan
,12899,32,,,,,nan
,12949,32,,,,,nan
,12999,32,,,,,nan
,13049,32,,,,,nan
,13099,32,,,,,nan
,13149,32,,,,,nan
,13199,32,,,,,nan
,13249,32,,,,,nan
,13253,32,nan,0.10790000110864639,,,
,13253,32,,,,0.10000000149011612,
,13299,33,,,,,nan
,13349,33,,,,,nan
,13399,33,,,,,nan
,13449,33,,,,,nan
,13499,33,,,,,nan
,13549,33,,,,,nan
,13599,33,,,,,nan
,13649,33,,,,,nan
,13699,33,,,,,nan
,13749,33,,,,,nan
,13799,33,,,,,nan
,13811,33,nan,0.10790000110864639,,,
,13811,33,,,,0.10000000149011612,
,13849,34,,,,,nan
,13899,34,,,,,nan
,13949,34,,,,,nan
,13999,34,,,,,nan
,14049,34,,,,,nan
,14099,34,,,,,nan
,14149,34,,,,,nan
,14199,34,,,,,nan
,14249,34,,,,,nan
,14299,34,,,,,nan
,14349,34,,,,,nan
,14369,34,nan,0.10790000110864639,,,
,14369,34,,,,0.10000000149011612,
,14399,35,,,,,nan
,14449,35,,,,,nan
,14499,35,,,,,nan
,14549,35,,,,,nan
,14599,35,,,,,nan
,14649,35,,,,,nan
,14699,35,,,,,nan
,14749,35,,,,,nan
,14799,35,,,,,nan
,14849,35,,,,,nan
,14899,35,,,,,nan
,14927,35,nan,0.10790000110864639,,,
,14927,35,,,,0.10000000149011612,
,14949,36,,,,,nan
,14999,36,,,,,nan
,15049,36,,,,,nan
,15099,36,,,,,nan
,15149,36,,,,,nan
,15199,36,,,,,nan
,15249,36,,,,,nan
,15299,36,,,,,nan
,15349,36,,,,,nan
,15399,36,,,,,nan
,15449,36,,,,,nan
,15485,36,nan,0.10790000110864639,,,
,15485,36,,,,0.10000000149011612,
,15499,37,,,,,nan
,15549,37,,,,,nan
,15599,37,,,,,nan
,15649,37,,,,,nan
,15699,37,,,,,nan
,15749,37,,,,,nan
,15799,37,,,,,nan
,15849,37,,,,,nan
,15899,37,,,,,nan
,15949,37,,,,,nan
,15999,37,,,,,nan
,16043,37,nan,0.10790000110864639,,,
,16043,37,,,,0.10000000149011612,
,16049,38,,,,,nan
,16099,38,,,,,nan
,16149,38,,,,,nan
,16199,38,,,,,nan
