epoch,train_loss1,step,train_loss2,test_acc,train_acc1,train_acc2
0,0.014738435856997967,49,0.01513435784727335,,,
0,0.01420966163277626,99,0.015255329199135303,,,
0,0.01396577525883913,149,0.013730454258620739,,,
0,0.01346070971339941,199,0.01387049164623022,,,
0,0.01334507018327713,249,0.012975340709090233,,,
0,0.012581294402480125,299,0.012331053614616394,,,
0,0.012721647508442402,349,0.013173261657357216,,,
0,,389,,0.49729999899864197,0.37175479531288147,0.3513421416282654
1,0.010487759485840797,399,0.011140466667711735,,,
1,0.011597915552556515,449,0.011940705589950085,,,
1,0.010865814983844757,499,0.010496605187654495,,,
1,0.010680826380848885,549,0.010622058063745499,,,
1,0.012136701494455338,599,0.011562971398234367,,,
1,0.01133818831294775,649,0.011187042109668255,,,
1,0.009588970802724361,699,0.0094872135668993,,,
1,0.009747300297021866,749,0.00987944845110178,,,
1,,779,,0.6085000038146973,0.5082331895828247,0.49264824390411377
2,0.00946048740297556,799,0.009936735965311527,,,
2,0.010650908574461937,849,0.010678968392312527,,,
2,0.008728827349841595,899,0.008908774703741074,,,
2,0.008478827774524689,949,0.008694990538060665,,,
2,0.00861860066652298,999,0.009150762110948563,,,
2,0.010075322352349758,1049,0.010279295034706593,,,
2,0.007824519649147987,1099,0.007971042767167091,,,
2,0.00898386724293232,1149,0.008945097215473652,,,
2,,1169,,0.659500002861023,0.5713140964508057,0.5641226172447205
3,0.007048433646559715,1199,0.007684206590056419,,,
3,0.007996508851647377,1249,0.007685072720050812,,,
3,0.009840787388384342,1299,0.009876814670860767,,,
3,0.008177326992154121,1349,0.008821563795208931,,,
3,0.00845856498926878,1399,0.008654427714645863,,,
3,0.0062559801153838634,1449,0.00565084395930171,,,
3,0.007690603844821453,1499,0.008635048754513264,,,
3,0.00757617736235261,1549,0.008166393265128136,,,
3,,1559,,0.703000009059906,0.6132011413574219,0.6081730723381042
4,0.008600416593253613,1599,0.008203772827982903,,,
4,0.006905992515385151,1649,0.00663389079272747,,,
4,0.006462957244366407,1699,0.006649148650467396,,,
4,0.004522354807704687,1749,0.005288259591907263,,,
4,0.006965016946196556,1799,0.007033973466604948,,,
4,0.005546738393604755,1849,0.005430150311440229,,,
4,0.007353992201387882,1899,0.007691960781812668,,,
4,0.0067807952873408794,1949,0.006744578946381807,,,
4,,1949,,0.7346000075340271,0.6450320482254028,0.6412860751152039
5,0.005747698247432709,1999,0.005778301507234573,,,
5,0.008572171442210674,2049,0.009014932438731194,,,
5,0.005664355121552944,2099,0.005704740062355995,,,
5,0.006300055421888828,2149,0.005685106851160526,,,
5,0.006707451306283474,2199,0.00700260978192091,,,
5,0.0047952281311154366,2249,0.004491653759032488,,,
