epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
30,0.9247526526451111,9399,,,,
30,0.8135358095169067,9449,,,,
30,0.8816065788269043,9499,,,,
30,0.9554765820503235,9549,,,,
30,0.8372429013252258,9599,,,,
30,0.819374680519104,9649,,,,
30,,9671,0.8410000205039978,0.8199117183685303,,
30,,9671,,,0.8932999968528748,0.8308543562889099
31,0.720302402973175,9699,,,,
31,0.9256404042243958,9749,,,,
31,0.8330020904541016,9799,,,,
31,0.8291032910346985,9849,,,,
31,0.7573390007019043,9899,,,,
31,1.010564923286438,9949,,,,
31,,9983,0.838699996471405,0.8619834780693054,,
31,,9983,,,0.8942000269889832,0.8287635445594788
32,0.7895822525024414,9999,,,,
32,0.6771111488342285,10049,,,,
32,0.9106303453445435,10099,,,,
32,0.9368917346000671,10149,,,,
32,0.8796149492263794,10199,,,,
32,0.7333298921585083,10249,,,,
32,,10295,0.8429999947547913,0.8912792801856995,,
32,,10295,,,0.8942000269889832,0.8291265964508057
33,0.8262677192687988,10299,,,,
33,0.8846212029457092,10349,,,,
33,0.8585891723632812,10399,,,,
33,0.7092612981796265,10449,,,,
33,0.6967639923095703,10499,,,,
33,0.78055739402771,10549,,,,
33,0.7830657958984375,10599,,,,
33,,10607,0.8521999716758728,0.9015666842460632,,
33,,10607,,,0.9024999737739563,0.8325070142745972
34,0.8534972667694092,10649,,,,
34,0.695182204246521,10699,,,,
34,1.0558363199234009,10749,,,,
34,0.849448561668396,10799,,,,
34,0.8733277916908264,10849,,,,
34,0.8153184056282043,10899,,,,
34,,10919,0.8508999943733215,0.9055071473121643,,
34,,10919,,,0.90420001745224,0.8333708643913269
35,0.7624757885932922,10949,,,,
35,0.8782880306243896,10999,,,,
35,0.7599806785583496,11049,,,,
35,0.7914716005325317,11099,,,,
35,1.051092505455017,11149,,,,
35,0.7476978302001953,11199,,,,
35,,11231,0.8553000092506409,0.8376383781433105,,
35,,11231,,,0.9050999879837036,0.8342097401618958
36,0.9124428629875183,11249,,,,
36,0.7792959809303284,11299,,,,
36,0.7114295959472656,11349,,,,
36,0.775726318359375,11399,,,,
36,0.7770929336547852,11449,,,,
36,0.7455930709838867,11499,,,,
36,,11543,0.8514000177383423,0.8944682478904724,,
36,,11543,,,0.8945000171661377,0.8348733186721802
37,0.8078184127807617,11549,,,,
37,0.774867057800293,11599,,,,
37,0.7023659944534302,11649,,,,
37,0.9380722045898438,11699,,,,
37,0.7301479578018188,11749,,,,
37,0.849213719367981,11799,,,,
37,0.9130778908729553,11849,,,,
37,,11855,0.8551999926567078,0.8684869408607483,,
37,,11855,,,0.8967000246047974,0.8341096043586731
38,0.8076234459877014,11899,,,,
38,0.8268906474113464,11949,,,,
38,0.8555771112442017,11999,,,,
38,0.8147242069244385,12049,,,,
38,0.8119217753410339,12099,,,,
38,0.7974376082420349,12149,,,,
38,,12167,0.8119000196456909,0.9194931387901306,,
38,,12167,,,0.8526999950408936,0.8362630009651184
39,0.7938195466995239,12199,,,,
39,0.7885873317718506,12249,,,,
39,0.7039368748664856,12299,,,,
39,0.8234328031539917,12349,,,,
39,1.0763213634490967,12399,,,,
39,0.7690662145614624,12449,,,,
39,,12479,0.84170001745224,0.9024748206138611,,
39,,12479,,,0.8928999900817871,0.8367387652397156
40,0.7303730249404907,12499,,,,
40,0.8378722667694092,12549,,,,
40,0.9175369143486023,12599,,,,
40,0.6046974062919617,12649,,,,
40,0.7796499729156494,12699,,,,
40,0.8679936528205872,12749,,,,
40,,12791,0.8580999970436096,0.8321534991264343,,
40,,12791,,,0.904699981212616,0.83642578125
41,0.9925189018249512,12799,,,,
41,0.7299647331237793,12849,,,,
41,0.8799313306808472,12899,,,,
41,0.8332210779190063,12949,,,,
41,0.7868944406509399,12999,,,,
41,0.882075309753418,13049,,,,
41,0.8806204199790955,13099,,,,
41,,13103,0.845300018787384,0.9233382940292358,,
41,,13103,,,0.8948000073432922,0.8393429517745972
42,0.8220363855361938,13149,,,,
42,0.8873820304870605,13199,,,,
42,0.932593822479248,13249,,,,
42,0.899172306060791,13299,,,,
42,0.7554581165313721,13349,,,,
42,0.8566186428070068,13399,,,,
42,,13415,0.848800003528595,0.8531969785690308,,
42,,13415,,,0.8934000134468079,0.8398187160491943
43,0.7804460525512695,13449,,,,
43,0.6613636016845703,13499,,,,
43,0.9031218886375427,13549,,,,
43,0.824272632598877,13599,,,,
43,0.6667150259017944,13649,,,,
43,0.895794153213501,13699,,,,
43,,13727,0.847000002861023,0.8644564747810364,,
43,,13727,,,0.901199996471405,0.8414838910102844
44,0.6495113968849182,13749,,,,
44,0.9716610908508301,13799,,,,
44,0.6943149566650391,13849,,,,
44,0.80695641040802,13899,,,,
44,0.8661799430847168,13949,,,,
44,0.8396644592285156,13999,,,,
44,,14039,0.8567000031471252,0.8879625201225281,,
44,,14039,,,0.9061999917030334,0.8401066660881042
45,0.8264036178588867,14049,,,,
45,0.780921459197998,14099,,,,
45,0.8190675973892212,14149,,,,
45,0.9115873575210571,14199,,,,
45,0.7224117517471313,14249,,,,
45,1.0135085582733154,14299,,,,
45,0.7746058702468872,14349,,,,
45,,14351,0.8511000275611877,0.8039940595626831,,
45,,14351,,,0.9041000008583069,0.8395307660102844
46,0.8108423948287964,14399,,,,
46,0.6929529905319214,14449,,,,
46,0.6915299892425537,14499,,,,
46,0.8813513517379761,14549,,,,
46,0.6616179347038269,14599,,,,
46,0.8333303928375244,14649,,,,
46,,14663,0.852400004863739,0.842519223690033,,
46,,14663,,,0.8962000012397766,0.8418469429016113
47,0.5737928748130798,14699,,,,
47,0.7715929746627808,14749,,,,
47,0.7506930828094482,14799,,,,
47,0.8792917728424072,14849,,,,
47,0.5916845798492432,14899,,,,
47,0.8268511295318604,14949,,,,
47,,14975,0.857200026512146,0.8597416877746582,,
47,,14975,,,0.9100000262260437,0.84228515625
48,0.8178603649139404,14999,,,,
48,0.7429243326187134,15049,,,,
48,0.8071565628051758,15099,,,,
48,0.7410905361175537,15149,,,,
48,0.8229581117630005,15199,,,,
48,0.6992638111114502,15249,,,,
48,,15287,0.8187000155448914,1.022592544555664,,
48,,15287,,,0.8697999715805054,0.8417092561721802
49,0.8223046064376831,15299,,,,
49,0.7640403509140015,15349,,,,
49,0.9190984964370728,15399,,,,
49,0.7378116250038147,15449,,,,
49,0.7638717889785767,15499,,,,
49,0.7620577216148376,15549,,,,
49,0.7505354881286621,15599,,,,
49,,15599,0.8410000205039978,0.9309579133987427,,
49,,15599,,,0.8949000239372253,0.8439002633094788
50,0.7352632284164429,15649,,,,
50,0.9289346933364868,15699,,,,
50,0.965155839920044,15749,,,,
50,0.757168173789978,15799,,,,
50,0.7491879463195801,15849,,,,
50,0.7980812788009644,15899,,,,
50,,15911,0.8532000184059143,0.874702513217926,,
50,,15911,,,0.9017999768257141,0.8439503312110901
51,0.8917341232299805,15949,,,,
51,0.921424388885498,15999,,,,
51,0.8137317299842834,16049,,,,
51,0.6876160502433777,16099,,,,
51,0.6319715976715088,16149,,,,
51,0.7326056957244873,16199,,,,
51,,16223,0.8508999943733215,0.8606542944908142,,
51,,16223,,,0.897599995136261,0.8426356911659241
52,0.6339727640151978,16249,,,,
52,0.7426095008850098,16299,,,,
52,0.8558040261268616,16349,,,,
52,0.8806387186050415,16399,,,,
52,0.7530003786087036,16449,,,,
52,0.8267571330070496,16499,,,,
52,,16535,0.8500000238418579,0.9227668046951294,,
52,,16535,,,0.9045000076293945,0.8446139097213745
53,0.6671064496040344,16549,,,,
53,0.8881334066390991,16599,,,,
53,0.8586834669113159,16649,,,,
53,0.7454924583435059,16699,,,,
53,0.7687434554100037,16749,,,,
53,0.858440637588501,16799,,,,
53,,16847,0.8460000157356262,0.9454463124275208,,
53,,16847,,,0.8924000263214111,0.8435371518135071
54,0.6169288158416748,16849,,,,
54,0.835932731628418,16899,,,,
54,0.7435259819030762,16949,,,,
54,0.8010256886482239,16999,,,,
54,0.7941768169403076,17049,,,,
54,0.8314906358718872,17099,,,,
54,0.6944324374198914,17149,,,,
54,,17159,0.8458999991416931,0.9331239461898804,,
