epoch,step,test_acc,train_acc,train_loss
0,49,,,3.0642733573913574
0,99,,,3.0749590396881104
0,149,,,3.102933883666992
0,199,,,2.781808853149414
0,249,,,2.832484006881714
0,299,,,2.633039951324463
0,349,,,2.5155489444732666
0,389,0.4560999870300293,0.3882211446762085,
1,399,,,2.2573647499084473
1,449,,,2.5618772506713867
1,499,,,2.189453601837158
1,549,,,2.4309561252593994
1,599,,,2.1639695167541504
1,649,,,2.238687515258789
1,699,,,1.9405114650726318
1,749,,,1.806444525718689
1,779,0.607699990272522,0.5609976053237915,
2,799,,,1.3663861751556396
2,849,,,1.5124964714050293
2,899,,,1.591157078742981
2,949,,,1.529410719871521
2,999,,,1.4904143810272217
2,1049,,,1.7469451427459717
2,1099,,,1.2966004610061646
2,1149,,,1.3940403461456299
2,1169,0.631600022315979,0.671294093132019,
3,1199,,,1.2408429384231567
3,1249,,,1.4164226055145264
3,1299,,,1.4161885976791382
3,1349,,,1.2568825483322144
3,1399,,,1.3790093660354614
3,1449,,,1.0157428979873657
3,1499,,,1.2217761278152466
3,1549,,,1.3110404014587402
3,1559,0.7577000260353088,0.745232343673706,
4,1599,,,0.9431254863739014
4,1649,,,0.9703806638717651
4,1699,,,1.6173222064971924
4,1749,,,1.0115729570388794
4,1799,,,1.0504815578460693
4,1849,,,1.002980351448059
4,1899,,,1.1187469959259033
4,1949,,,0.7670724391937256
4,1949,0.7437000274658203,0.7863982319831848,
5,1999,,,0.9664959907531738
5,2049,,,1.1456685066223145
5,2099,,,1.0309274196624756
5,2149,,,1.0008338689804077
5,2199,,,0.9434208273887634
5,2249,,,0.949681282043457
5,2299,,,0.8804330825805664
5,2339,0.8050000071525574,0.8131210207939148,
6,2349,,,0.6214236617088318
6,2399,,,0.8195034265518188
6,2449,,,0.9819017052650452
6,2499,,,0.8646843433380127
6,2549,,,0.6222143769264221
6,2599,,,0.8992084264755249
6,2649,,,0.7793692350387573
6,2699,,,0.7336550951004028
6,2729,0.7914999723434448,0.8309695720672607,
7,2749,,,0.7583078742027283
7,2799,,,1.0225999355316162
7,2849,,,0.7186211347579956
7,2899,,,0.8498654961585999
7,2949,,,0.7951461672782898
7,2999,,,1.0609561204910278
7,3049,,,0.6831297874450684
7,3099,,,0.9040487408638
7,3119,0.8428999781608582,0.8503004908561707,
8,3149,,,0.49584829807281494
8,3199,,,0.5374115705490112
8,3249,,,0.5987536907196045
8,3299,,,0.5852762460708618
8,3349,,,0.7826590538024902
8,3399,,,0.5801370739936829
8,3449,,,0.7668057680130005
8,3499,,,0.6406570672988892
8,3509,0.8307999968528748,0.8607372045516968,
9,3549,,,0.6107996702194214
9,3599,,,0.6787929534912109
9,3649,,,0.5999000072479248
9,3699,,,0.4962731599807739
9,3749,,,0.5696274042129517
9,3799,,,0.8429428339004517
9,3849,,,0.6428937315940857
9,3899,,,0.631211519241333
9,3899,0.8198000192642212,0.8676682710647583,
10,3949,,,0.6368582248687744
10,3999,,,0.5660718083381653
10,4049,,,0.4910140335559845
10,4099,,,0.7459583282470703
10,4149,,,0.45046743750572205
10,4199,,,0.8517848253250122
10,4249,,,0.6654963493347168
10,4289,0.8543999791145325,0.8784855604171753,
11,4299,,,0.634274959564209
11,4349,,,0.5052107572555542
11,4399,,,0.7592544555664062
11,4449,,,0.3715708553791046
11,4499,,,0.3570072650909424
11,4549,,,0.37045571208000183
11,4599,,,0.6715838313102722
11,4649,,,0.5324164628982544
11,4679,0.8605999946594238,0.8847556114196777,
12,4699,,,0.47187918424606323
12,4749,,,0.740933895111084
12,4799,,,0.4086064100265503
12,4849,,,0.48075172305107117
12,4899,,,0.4458574652671814
12,4949,,,0.46486490964889526
12,4999,,,0.5294065475463867
12,5049,,,0.33062535524368286
12,5069,0.8550999760627747,0.8902043104171753,
13,5099,,,0.41843241453170776
13,5149,,,0.41552650928497314
13,5199,,,0.38244664669036865
13,5249,,,0.5806108117103577
13,5299,,,0.5654462575912476
13,5349,,,0.6727483868598938
13,5399,,,0.4725375175476074
13,5449,,,0.39756283164024353
13,5459,0.8623999953269958,0.8956129550933838,
14,5499,,,0.39835694432258606
14,5549,,,0.4305073022842407
14,5599,,,0.4374622702598572
14,5649,,,0.33545395731925964
14,5699,,,0.3742544949054718
14,5749,,,0.5405092835426331
14,5799,,,0.33026450872421265
14,5849,,,0.47144806385040283
14,5849,0.8485000133514404,0.8999799489974976,
15,5899,,,0.3665982782840729
15,5949,,,0.4585922956466675
15,5999,,,0.32070833444595337
15,6049,,,0.4153311848640442
15,6099,,,0.40826648473739624
15,6149,,,0.5412296652793884
15,6199,,,0.26919063925743103
15,6239,0.8646000027656555,0.9064303040504456,
