train_loss,step,epoch,test_acc,train_acc
4.1030144691467285,49,0,,
3.8336379528045654,99,0,,
3.5129001140594482,149,0,,
3.7347469329833984,199,0,,
3.3546805381774902,249,0,,
3.3396668434143066,299,0,,
3.536195993423462,349,0,,
,389,0,0.49239999055862427,0.2796574532985687
3.289402484893799,399,1,,
3.3622472286224365,449,1,,
3.365910530090332,499,1,,
3.3970816135406494,549,1,,
3.227553606033325,599,1,,
2.9327340126037598,649,1,,
2.8838443756103516,699,1,,
3.2807140350341797,749,1,,
,779,1,0.5669999718666077,0.3693309426307678
3.7241885662078857,799,2,,
2.918318510055542,849,2,,
2.996082305908203,899,2,,
3.0178041458129883,949,2,,
3.084890604019165,999,2,,
3.01846981048584,1049,2,,
2.828726053237915,1099,2,,
3.0506856441497803,1149,2,,
,1169,2,0.5774000287055969,0.4113181233406067
3.447044610977173,1199,3,,
3.0035228729248047,1249,3,,
3.1227917671203613,1299,3,,
3.274346113204956,1349,3,,
3.2272891998291016,1399,3,,
3.0105156898498535,1449,3,,
2.8593192100524902,1499,3,,
2.8529200553894043,1549,3,,
,1559,3,0.6101999878883362,0.44524237513542175
2.7843008041381836,1599,4,,
3.025172472000122,1649,4,,
2.7014927864074707,1699,4,,
2.65777850151062,1749,4,,
3.088198184967041,1799,4,,
3.0065414905548096,1849,4,,
2.8584282398223877,1899,4,,
2.477238655090332,1949,4,,
,1949,4,0.7006000280380249,0.4698517620563507
2.572939872741699,1999,5,,
2.8132874965667725,2049,5,,
2.760002374649048,2099,5,,
2.7373576164245605,2149,5,,
2.704740285873413,2199,5,,
2.734715461730957,2249,5,,
2.8274474143981934,2299,5,,
,2339,5,0.7204999923706055,0.48430487513542175
3.031269073486328,2349,6,,
2.664585828781128,2399,6,,
2.756591320037842,2449,6,,
2.7442712783813477,2499,6,,
2.8654353618621826,2549,6,,
2.620598077774048,2599,6,,
3.2195699214935303,2649,6,,
2.539203405380249,2699,6,,
,2729,6,0.7501999735832214,0.4978465437889099
2.291041135787964,2749,7,,
2.6118946075439453,2799,7,,
2.615346908569336,2849,7,,
2.8799948692321777,2899,7,,
2.9432055950164795,2949,7,,
2.8289356231689453,2999,7,,
2.7124080657958984,3049,7,,
2.9705541133880615,3099,7,,
,3119,7,0.6434999704360962,0.5033954381942749
2.945058584213257,3149,8,,
2.3197810649871826,3199,8,,
2.8360085487365723,3249,8,,
2.615807294845581,3299,8,,
