epoch,step,train_loss,val_acc2,val_acc1,test_acc,train_acc2,train_acc1
0,49,0.4805641770362854,,,,,
0,99,0.457749605178833,,,,,
0,149,0.45133209228515625,,,,,
0,199,0.43797895312309265,,,,,
0,249,0.4321438670158386,,,,,
0,299,0.39630788564682007,,,,,
0,311,,0.30250000953674316,0.3093999922275543,,,
0,311,,,,0.34450000524520874,0.21238982677459717,0.2184244841337204
1,349,0.38593578338623047,,,,,
1,399,0.3935772180557251,,,,,
1,449,0.3836361765861511,,,,,
1,499,0.3725050985813141,,,,,
1,549,0.357902854681015,,,,,
1,599,0.36617225408554077,,,,,
1,623,,0.36250001192092896,0.36880001425743103,,,
1,623,,,,0.4043000042438507,0.3309294879436493,0.3295522928237915
2,649,0.34873491525650024,,,,,
2,699,0.34528788924217224,,,,,
2,749,0.32970210909843445,,,,,
2,799,0.33760255575180054,,,,,
2,849,0.3432784676551819,,,,,
2,899,0.3496812880039215,,,,,
2,935,,0.3741999864578247,0.38179999589920044,,,
2,935,,,,0.4275999963283539,0.3806089758872986,0.3795572817325592
3,949,0.3348241448402405,,,,,
3,999,0.314663290977478,,,,,
3,1049,0.32086098194122314,,,,,
3,1099,0.3780370056629181,,,,,
3,1149,0.32906636595726013,,,,,
3,1199,0.3248997628688812,,,,,
3,1247,,0.4277999997138977,0.43309998512268066,,,
3,1247,,,,0.48500001430511475,0.40607473254203796,0.4036959111690521
4,1249,0.31254175305366516,,,,,
4,1299,0.3120228946208954,,,,,
4,1349,0.2983620762825012,,,,,
4,1399,0.27936476469039917,,,,,
4,1449,0.27063223719596863,,,,,
4,1499,0.3121028244495392,,,,,
4,1549,0.30886366963386536,,,,,
4,1559,,0.4611999988555908,0.4562999904155731,,,
4,1559,,,,0.5027999877929688,0.4382261633872986,0.4387519955635071
5,1599,0.2618210017681122,,,,,
5,1649,0.29199856519699097,,,,,
5,1699,0.2547341287136078,,,,,
5,1749,0.28105539083480835,,,,,
5,1799,0.24767959117889404,,,,,
5,1849,0.318034291267395,,,,,
5,1871,,0.4496999979019165,0.4596000015735626,,,
5,1871,,,,0.5059000253677368,0.4622395932674408,0.4630158245563507
6,1899,0.31139492988586426,,,,,
6,1949,0.2709391117095947,,,,,
6,1999,0.2650776207447052,,,,,
6,2049,0.2598154842853546,,,,,
6,2099,0.2699906826019287,,,,,
6,2149,0.2943195104598999,,,,,
6,2183,,0.491100013256073,0.4936999976634979,,,
6,2183,,,,0.5508999824523926,0.47443410754203796,0.47528547048568726
7,2199,0.2535962760448456,,,,,
7,2249,0.2516447603702545,,,,,
7,2299,0.24431303143501282,,,,,
7,2349,0.29186874628067017,,,,,
7,2399,0.22356711328029633,,,,,
7,2449,0.2675052881240845,,,,,
7,2495,,0.5002999901771545,0.49380001425743103,,,
7,2495,,,,0.5590999722480774,0.4889823794364929,0.49123597145080566
8,2499,0.28076326847076416,,,,,
8,2549,0.27527347207069397,,,,,
