epoch,step,train_loss,train_acc,test_acc
0,49,3.5699994564056396,,
0,99,3.4934515953063965,,
0,149,3.1461539268493652,,
0,199,3.074228286743164,,
0,249,2.9963150024414062,,
0,299,3.01898193359375,,
0,349,3.0750627517700195,,
0,389,,0.3138020932674408,0.46140000224113464
1,399,2.7595198154449463,,
1,449,3.098264217376709,,
1,499,2.8673319816589355,,
1,549,3.0200016498565674,,
1,599,3.0383245944976807,,
1,649,2.887944221496582,,
1,699,2.6711339950561523,,
1,749,3.0108518600463867,,
1,779,,0.40643027424812317,0.5443000197410583
2,799,3.0207810401916504,,
2,849,2.925281286239624,,
2,899,2.4080255031585693,,
2,949,2.6735355854034424,,
2,999,2.7509498596191406,,
2,1049,2.643641471862793,,
2,1099,2.6191940307617188,,
2,1149,2.8833582401275635,,
2,1169,,0.44625401496887207,0.604200005531311
3,1199,2.888620376586914,,
3,1249,2.4938254356384277,,
3,1299,2.6737985610961914,,
3,1349,2.9398043155670166,,
3,1399,3.0403494834899902,,
3,1449,2.913783073425293,,
3,1499,2.833472967147827,,
3,1549,2.7792108058929443,,
3,1559,,0.4716145694255829,0.6345999836921692
4,1599,2.43165922164917,,
4,1649,2.5323286056518555,,
4,1699,2.466254711151123,,
4,1749,2.5088467597961426,,
4,1799,2.7462308406829834,,
4,1849,2.919074773788452,,
4,1899,2.3955368995666504,,
4,1949,2.6768031120300293,,
4,1949,,0.49268829822540283,0.710099995136261
5,1999,2.7201075553894043,,
5,2049,2.5655906200408936,,
5,2099,2.616837501525879,,
5,2149,2.611114740371704,,
5,2199,2.3868839740753174,,
5,2249,2.12241268157959,,
5,2299,2.8040459156036377,,
5,2339,,0.5092548131942749,0.6776999831199646
6,2349,2.3789610862731934,,
6,2399,2.6325838565826416,,
6,2449,2.060056209564209,,
6,2499,2.457047939300537,,
6,2549,1.9855608940124512,,
6,2599,2.284820795059204,,
6,2649,2.562065601348877,,
6,2699,2.361699104309082,,
6,2729,,0.5213942527770996,0.7214999794960022
7,2749,2.2538881301879883,,
7,2799,2.4760842323303223,,
7,2849,2.5266120433807373,,
7,2899,2.2012476921081543,,
7,2949,2.3353161811828613,,
7,2999,2.2135679721832275,,
7,3049,2.479684829711914,,
7,3099,2.3137834072113037,,
7,3119,,0.5315504670143127,0.7526999711990356
8,3149,2.387502670288086,,
8,3199,2.3862733840942383,,
8,3249,2.2773971557617188,,
8,3299,2.3786489963531494,,
8,3349,2.115175247192383,,
8,3399,2.360269069671631,,
8,3449,2.1540255546569824,,
8,3499,2.521775722503662,,
8,3509,,0.5373397469520569,0.7455000281333923
9,3549,2.16707706451416,,
9,3599,2.0051639080047607,,
9,3649,2.0413780212402344,,
9,3699,2.215456008911133,,
9,3749,2.315450668334961,,
9,3799,1.972296118736267,,
9,3849,1.9365191459655762,,
9,3899,1.9686148166656494,,
9,3899,,0.5419671535491943,0.7174000144004822
10,3949,1.9153790473937988,,
10,3999,1.5786504745483398,,
10,4049,2.195125102996826,,
10,4099,2.153007984161377,,
10,4149,2.0675365924835205,,
10,4199,1.675311803817749,,
10,4249,2.0351274013519287,,
10,4289,,0.5463942289352417,0.7681999802589417
11,4299,1.4099825620651245,,
11,4349,1.5977153778076172,,
11,4399,1.8848516941070557,,
11,4449,1.716085433959961,,
11,4499,1.9144784212112427,,
11,4549,1.8631324768066406,,
11,4599,1.3584321737289429,,
11,4649,1.8447014093399048,,
11,4679,,0.5530248284339905,0.7480000257492065
12,4699,1.7982269525527954,,
12,4749,1.8171656131744385,,
12,4799,1.6364169120788574,,
12,4849,1.7105791568756104,,
12,4899,1.7499589920043945,,
12,4949,2.0176568031311035,,
12,4999,1.3661309480667114,,
12,5049,1.5887937545776367,,
12,5069,,0.5575921535491943,0.7491000294685364
13,5099,1.382454514503479,,
13,5149,1.6473407745361328,,
13,5199,1.4408965110778809,,
13,5249,1.6344857215881348,,
13,5299,1.513612985610962,,
13,5349,1.6900906562805176,,
13,5399,1.7223811149597168,,
13,5449,1.470062017440796,,
13,5459,,0.5613381266593933,0.7425000071525574
14,5499,1.3903865814208984,,
14,5549,1.6175572872161865,,
14,5599,1.269167423248291,,
14,5649,1.6555113792419434,,
14,5699,1.6481232643127441,,
14,5749,1.4830992221832275,,
14,5799,1.4496309757232666,,
14,5849,1.3845431804656982,,
14,5849,,0.5644831657409668,0.7799999713897705
15,5899,1.1612162590026855,,
15,5949,1.6075246334075928,,
15,5999,1.4183707237243652,,
15,6049,1.2101801633834839,,
15,6099,1.3097286224365234,,
15,6149,1.111783504486084,,
15,6199,1.456773281097412,,
15,6239,,0.5699519515037537,0.7818999886512756
16,6249,1.2633570432662964,,
16,6299,1.633720874786377,,
16,6349,1.2573034763336182,,
16,6399,1.276606798171997,,
16,6449,1.4154809713363647,,
16,6499,1.1834535598754883,,
16,6549,1.3707716464996338,,
16,6599,1.285733699798584,,
16,6629,,0.5722756385803223,0.7649999856948853
17,6649,1.1839526891708374,,
17,6699,1.0463628768920898,,
17,6749,1.2689182758331299,,
17,6799,1.247751235961914,,
17,6849,1.2636451721191406,,
17,6899,1.1458847522735596,,
17,6949,1.3675167560577393,,
17,6999,1.3395979404449463,,
17,7019,,0.5764623284339905,0.7894999980926514
18,7049,1.0133055448532104,,
18,7099,1.3026597499847412,,
18,7149,1.2949638366699219,,
18,7199,1.2226463556289673,,
18,7249,1.3334863185882568,,
18,7299,1.3016419410705566,,
18,7349,1.2071738243103027,,
18,7399,1.276688575744629,,
18,7409,,0.5834335088729858,0.7573999762535095
19,7449,0.867397129535675,,
19,7499,1.1717115640640259,,
19,7549,1.1381231546401978,,
19,7599,1.2784638404846191,,
19,7649,1.2027535438537598,,
19,7699,1.4874818325042725,,
19,7749,1.2915353775024414,,
19,7799,1.270750641822815,,
