train_loss,epoch,step,val_acc,train_acc,test_acc
0.40687668323516846,0,49,,,
0.40694522857666016,0,99,,,
0.3896093964576721,0,149,,,
0.3610369861125946,0,199,,,
0.25236672163009644,0,249,,,
0.225973978638649,0,299,,,
,0,311,0.3910999894142151,,
,0,311,,0.3145282566547394,0.4334999918937683
0.27552205324172974,1,349,,,
0.15283261239528656,1,399,,,
0.15544074773788452,1,449,,,
0.11703240126371384,1,499,,,
0.14523860812187195,1,549,,,
0.23427268862724304,1,599,,,
,1,623,0.46219998598098755,,
,1,623,,0.43960335850715637,0.5116999745368958
0.07973302900791168,2,649,,,
0.10172034054994583,2,699,,,
0.1639219969511032,2,749,,,
0.13467836380004883,2,799,,,
0.1390444040298462,2,849,,,
0.1153159812092781,2,899,,,
,2,935,0.5001000165939331,,
,2,935,,0.5039563179016113,0.5605000257492065
0.08611983060836792,3,949,,,
0.03818260133266449,3,999,,,
0.004769584164023399,3,1049,,,
-0.05070572346448898,3,1099,,,
0.05709492042660713,3,1149,,,
-0.022411609068512917,3,1199,,,
,3,1247,0.5230000019073486,,
,3,1247,,0.5477514266967773,0.5795000195503235
0.049545563757419586,4,1249,,,
-0.1020728349685669,4,1299,,,
0.09290099143981934,4,1349,,,
0.0498989038169384,4,1399,,,
-0.04498528689146042,4,1449,,,
0.005141071043908596,4,1499,,,
-0.015561787411570549,4,1549,,,
,4,1559,0.5738000273704529,,
,4,1559,,0.5798777937889099,0.650600016117096
0.08077427744865417,5,1599,,,
0.016619520261883736,5,1649,,,
-0.0810883417725563,5,1699,,,
0.05612889304757118,5,1749,,,
-0.0652482733130455,5,1799,,,
0.020015910267829895,5,1849,,,
,5,1871,0.5928000211715698,,
,5,1871,,0.6031650900840759,0.6639000177383423
-0.08036963641643524,6,1899,,,
-0.09479525685310364,6,1949,,,
0.017285745590925217,6,1999,,,
0.07585057616233826,6,2049,,,
-0.08865269273519516,6,2099,,,
0.02243509143590927,6,2149,,,
,6,2183,0.6424000263214111,,
,6,2183,,0.6332381963729858,0.7260000109672546
-0.023503953590989113,7,2199,,,
-0.09196411073207855,7,2249,,,
-0.08677550405263901,7,2299,,,
-0.08928097784519196,7,2349,,,
-0.05304337665438652,7,2399,,,
-0.06299515068531036,7,2449,,,
,7,2495,0.5785999894142151,,
,7,2495,,0.6472606062889099,0.6456999778747559
-0.11164271831512451,8,2499,,,
-0.02483741194009781,8,2549,,,
-0.08268531411886215,8,2599,,,
-0.08047250658273697,8,2649,,,
