step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc,mix_match_loss
49,0,2.399768590927124,,,,,
99,0,2.3638813495635986,,,,,
149,0,2.321619749069214,,,,,
199,0,1.8768738508224487,,,,,
249,0,1.94719660282135,,,,,
299,0,2.0071518421173096,,,,,
312,0,,2.2069246768951416,0.23440000414848328,,,
312,0,,,,0.2741297483444214,0.21032500267028809,
349,1,1.8209134340286255,,,,,
399,1,1.833303689956665,,,,,
449,1,1.6795464754104614,,,,,
499,1,1.942552924156189,,,,,
549,1,1.7465097904205322,,,,,
599,1,1.708635687828064,,,,,
625,1,,1.6918327808380127,0.3537999987602234,,,
625,1,,,,0.3785601258277893,0.31619998812675476,
649,2,1.6340949535369873,,,,,
699,2,1.625571846961975,,,,,
749,2,1.6038477420806885,,,,,
799,2,1.705565094947815,,,,,
849,2,1.6495527029037476,,,,,
899,2,1.595536470413208,,,,,
938,2,,1.6353604793548584,0.3889000117778778,,,
938,2,,,,0.4222705662250519,0.3853999972343445,
949,3,1.546015977859497,,,,,
999,3,1.5353237390518188,,,,,
1049,3,1.4679588079452515,,,,,
1099,3,1.4477189779281616,,,,,
1149,3,1.5763238668441772,,,,,
1199,3,1.582855224609375,,,,,
1249,3,1.5128275156021118,,,,,
1251,3,,1.4205726385116577,0.48649999499320984,,,
1251,3,,,,0.4758702516555786,0.4251750111579895,
1299,4,1.4712498188018799,,,,,
1349,4,1.4361371994018555,,,,,
1399,4,1.4832813739776611,,,,,
1449,4,1.4702426195144653,,,,,
1499,4,1.3674112558364868,,,,,
1549,4,1.4833464622497559,,,,,
1564,4,,1.3894785642623901,0.49559998512268066,,,
1564,4,,,,0.5047468543052673,0.46837499737739563,
1599,5,1.284906029701233,,,,,
1649,5,1.3644353151321411,,,,,
1699,5,1.268662452697754,,,,,
1749,5,1.3685551881790161,,,,,
1799,5,1.187964916229248,,,,,
1849,5,1.3446811437606812,,,,,
1877,5,,1.3212767839431763,0.5174000263214111,,,
1877,5,,,,0.5391613841056824,0.5092499852180481,
1899,6,1.295538306236267,,,,,
1949,6,1.3785094022750854,,,,,
1999,6,1.4545217752456665,,,,,
2049,6,1.287784457206726,,,,,
2099,6,1.3126357793807983,,,,,
2149,6,1.183279037475586,,,,,
2190,6,,1.1867462396621704,0.5724999904632568,,,
2190,6,,,,0.5727847814559937,0.538224995136261,
2199,7,1.1525099277496338,,,,,
2249,7,1.1471887826919556,,,,,
2299,7,1.1858208179473877,,,,,
2349,7,1.186900019645691,,,,,
2399,7,0.9923088550567627,,,,,
2449,7,1.0793075561523438,,,,,
2499,7,1.2984895706176758,,,,,
2503,7,,1.3957003355026245,0.507099986076355,,,
2503,7,,,,0.5786194801330566,0.5716000199317932,
2549,8,1.2345317602157593,,,,,
2599,8,1.2249670028686523,,,,,
2649,8,1.0027939081192017,,,,,
2699,8,1.0851037502288818,,,,,
