train_loss,epoch,step,val_acc,val_loss,train_acc,test_acc
1.9796078205108643,0,49,,,,
1.678238868713379,0,99,,,,
1.9579026699066162,0,149,,,,
1.7289248704910278,0,199,,,,
1.7652325630187988,0,249,,,,
1.5587835311889648,0,299,,,,
,0,311,0.4275999963283539,1.694260597229004,,
,0,311,,,0.34592849016189575,0.47040000557899475
1.5988601446151733,1,349,,,,
1.510846495628357,1,399,,,,
1.5005930662155151,1,449,,,,
1.48578941822052,1,499,,,,
1.4951647520065308,1,549,,,,
1.5585490465164185,1,599,,,,
,1,623,0.5480999946594238,1.3735803365707397,,
,1,623,,,0.48602765798568726,0.6000000238418579
1.1912537813186646,2,649,,,,
1.519313931465149,2,699,,,,
1.4541022777557373,2,749,,,,
1.4241304397583008,2,799,,,,
1.040698528289795,2,849,,,,
1.1960371732711792,2,899,,,,
,2,935,0.5943999886512756,1.2668870687484741,,
,2,935,,,0.5569661259651184,0.6635000109672546
1.395531177520752,3,949,,,,
1.09183931350708,3,999,,,,
1.3269250392913818,3,1049,,,,
1.2016156911849976,3,1099,,,,
1.306717872619629,3,1149,,,,
1.1442713737487793,3,1199,,,,
,3,1247,0.6134999990463257,1.235819935798645,,
,3,1247,,,0.6056690812110901,0.6998999714851379
1.1533629894256592,4,1249,,,,
1.016404390335083,4,1299,,,,
1.2134623527526855,4,1349,,,,
1.1472605466842651,4,1399,,,,
1.1891961097717285,4,1449,,,,
1.307300329208374,4,1499,,,,
1.0182058811187744,4,1549,,,,
,4,1559,0.6383000016212463,1.1724964380264282,,
,4,1559,,,0.6393479704856873,0.7287999987602234
1.0128118991851807,5,1599,,,,
1.0581269264221191,5,1649,,,,
1.0510144233703613,5,1699,,,,
1.0473601818084717,5,1749,,,,
1.1811559200286865,5,1799,,,,
1.1005470752716064,5,1849,,,,
,5,1871,0.6736999750137329,1.098240613937378,,
,5,1871,,,0.6666416525840759,0.7659000158309937
1.1832647323608398,6,1899,,,,
1.170223355293274,6,1949,,,,
0.949306845664978,6,1999,,,,
1.365788221359253,6,2049,,,,
0.9380283355712891,6,2099,,,,
1.0619306564331055,6,2149,,,,
,6,2183,0.6686999797821045,1.0966360569000244,,
,6,2183,,,0.6812649965286255,0.7494999766349792
0.9178521633148193,7,2199,,,,
1.0765488147735596,7,2249,,,,
1.0511696338653564,7,2299,,,,
1.070002555847168,7,2349,,,,
0.9839919805526733,7,2399,,,,
1.2057868242263794,7,2449,,,,
,7,2495,0.6625000238418579,1.096744179725647,,
,7,2495,,,0.6951622366905212,0.7574999928474426
0.9859952926635742,8,2499,,,,
0.8472099900245667,8,2549,,,,
1.0227234363555908,8,2599,,,,
1.0871237516403198,8,2649,,,,
1.0112996101379395,8,2699,,,,
0.9741708040237427,8,2749,,,,
