epoch,train_loss1,train_loss2,step,test_acc,train_acc1,train_acc2
0,0.015471064485609531,0.015325456857681274,49,,,
0,0.015298438258469105,0.015979943796992302,99,,,
0,0.0145757170394063,0.0150138009339571,149,,,
0,0.014283524826169014,0.014639187604188919,199,,,
0,0.01414087601006031,0.014078473672270775,249,,,
0,0.01329963281750679,0.013835054822266102,299,,,
0,0.012771494686603546,0.013221562840044498,349,,,
0,,,389,0.4805000126361847,0.3337339758872986,0.31268027424812317
1,0.01358425710350275,0.01401840802282095,399,,,
1,0.012361403554677963,0.01314335037022829,449,,,
1,0.0110953189432621,0.011538118124008179,499,,,
1,0.012484283186495304,0.012730215676128864,549,,,
1,0.011997595429420471,0.012046207673847675,599,,,
1,0.009418096393346786,0.010497893206775188,649,,,
1,0.011167855933308601,0.011448604054749012,699,,,
1,0.010737104341387749,0.011247215792536736,749,,,
1,,,779,0.5378999710083008,0.465685099363327,0.4463541805744171
2,0.01090705581009388,0.011207551695406437,799,,,
2,0.009252174757421017,0.010334174148738384,849,,,
2,0.01218330953270197,0.012942849658429623,899,,,
2,0.010747997090220451,0.011366816237568855,949,,,
2,0.009587905369699001,0.010320541448891163,999,,,
2,0.009885911829769611,0.010107767768204212,1049,,,
2,0.012162343598902225,0.012407940812408924,1099,,,
2,0.00853438675403595,0.008930410258471966,1149,,,
2,,,1169,0.6477000117301941,0.5383012890815735,0.5227764248847961
3,0.009105912409722805,0.009488055482506752,1199,,,
3,0.011575834825634956,0.011559692211449146,1249,,,
3,0.008213438093662262,0.008473306894302368,1299,,,
3,0.0072975861839950085,0.007551122456789017,1349,,,
3,0.007883459329605103,0.008323341608047485,1399,,,
3,0.009946038015186787,0.009853077121078968,1449,,,
3,0.0076354374177753925,0.008546083234250546,1499,,,
3,0.007787019945681095,0.008599436841905117,1549,,,
3,,,1559,0.6510999798774719,0.5868189334869385,0.5729767680168152
4,0.007844824343919754,0.007906870916485786,1599,,,
4,0.007452470250427723,0.0076553248800337315,1649,,,
4,0.00725879892706871,0.007180619984865189,1699,,,
4,0.007981992326676846,0.008109794929623604,1749,,,
4,0.008134283125400543,0.00837842095643282,1799,,,
