step,train_loss,epoch,val_acc2,val_acc1,test_acc,train_acc2,train_acc1
49,0.447997510433197,0,,,,,
99,0.434492826461792,0,,,,,
149,0.39401423931121826,0,,,,,
199,0.3684890568256378,0,,,,,
249,0.35280540585517883,0,,,,,
299,0.34913432598114014,0,,,,,
311,,0,0.2533000111579895,0.260699987411499,,,
311,,0,,,0.2782999873161316,0.20232371985912323,0.19260817766189575
