epoch,step,train_loss,val_loss,val_acc,test_acc
0,49,-0.3439195156097412,,,
0,99,-0.5355645418167114,,,
0,149,-0.4226815104484558,,,
0,199,-0.5210821032524109,,,
0,249,-0.7226295471191406,,,
0,299,-0.7148253321647644,,,
0,349,-0.8113338351249695,,,
0,389,,1.459583044052124,0.6053000092506409,
0,389,,,,0.625
1,399,-0.5946062803268433,,,
1,449,-0.6791712045669556,,,
1,499,-0.8324943780899048,,,
1,549,-0.7545083165168762,,,
1,599,-0.7657238245010376,,,
1,649,-0.7900671362876892,,,
1,699,-0.9384058117866516,,,
1,749,-0.9329550862312317,,,
1,779,,1.3528472185134888,0.6894999742507935,
1,779,,,,0.7163000106811523
2,799,-0.8781813979148865,,,
2,849,-0.9962078928947449,,,
2,899,-0.9271793365478516,,,
2,949,-0.9805551171302795,,,
2,999,-0.9785754084587097,,,
2,1049,-0.9903774261474609,,,
2,1099,-1.0211211442947388,,,
2,1149,-1.09389328956604,,,
2,1169,,1.2833125591278076,0.7301999926567078,
2,1169,,,,0.760200023651123
3,1199,-1.085187315940857,,,
3,1249,-0.9140642285346985,,,
3,1299,-1.0082424879074097,,,
3,1349,-1.1319880485534668,,,
3,1399,-1.132871150970459,,,
3,1449,-1.0421013832092285,,,
3,1499,-1.1006379127502441,,,
3,1549,-1.1731815338134766,,,
3,1559,,1.2329272031784058,0.7620999813079834,
3,1559,,,,0.7986999750137329
4,1599,-1.1988615989685059,,,
4,1649,-1.0672677755355835,,,
4,1699,-1.0861101150512695,,,
4,1749,-1.1028685569763184,,,
4,1799,-1.0668433904647827,,,
4,1849,-1.2097201347351074,,,
4,1899,-1.109978437423706,,,
4,1949,-1.2020740509033203,,,
4,1949,,1.1788455247879028,0.7800999879837036,
4,1949,,,,0.8241999745368958
5,1999,-1.127806305885315,,,
5,2049,-1.081225872039795,,,
5,2099,-1.1597695350646973,,,
5,2149,-1.19677734375,,,
5,2199,-1.1738364696502686,,,
5,2249,-1.1497704982757568,,,
5,2299,-1.1729092597961426,,,
5,2339,,1.1783311367034912,0.7847999930381775,
5,2339,,,,0.8215000033378601
6,2349,-1.171476125717163,,,
6,2399,-1.1852713823318481,,,
6,2449,-1.1817641258239746,,,
6,2499,-1.2532198429107666,,,
6,2549,-1.1155847311019897,,,
6,2599,-1.1966674327850342,,,
6,2649,-1.2108889818191528,,,
6,2699,-1.220107913017273,,,
6,2729,,1.1336944103240967,0.8026000261306763,
6,2729,,,,0.8526999950408936
7,2749,-1.175398826599121,,,
7,2799,-1.317054271697998,,,
7,2849,-1.1385549306869507,,,
7,2899,-1.149268627166748,,,
7,2949,-1.1742099523544312,,,
7,2999,-1.1674003601074219,,,
7,3049,-1.1848177909851074,,,
7,3099,-1.2135409116744995,,,
7,3119,,1.1453691720962524,0.8120999932289124,
7,3119,,,,0.8586000204086304
8,3149,-1.2369072437286377,,,
8,3199,-1.1718835830688477,,,
8,3249,-1.2220652103424072,,,
8,3299,-1.2400727272033691,,,
8,3349,-1.2174007892608643,,,
8,3399,-1.2590577602386475,,,
8,3449,-1.2907910346984863,,,
8,3499,-1.3296959400177002,,,
8,3509,,1.1408426761627197,0.8125,
8,3509,,,,0.853600025177002
9,3549,-1.2716702222824097,,,
9,3599,-1.327355146408081,,,
9,3649,-1.230870008468628,,,
9,3699,-1.2984225749969482,,,
9,3749,-1.3844982385635376,,,
