step,train_loss2,epoch,train_loss1,val_acc1,val_acc2,train_acc1,train_acc2,test_acc
49,0.01489579863846302,0,0.014484783634543419,,,,,
99,0.01446473691612482,0,0.015226276591420174,,,,,
149,0.012998993508517742,0,0.0123456921428442,,,,,
199,0.0132955526933074,0,0.012982300482690334,,,,,
249,0.014163371175527573,0,0.0140620032325387,,,,,
299,0.012177706696093082,0,0.013424786739051342,,,,,
311,,0,,0.37630000710487366,0.4169999957084656,,,
311,,0,,,,0.3293769955635071,0.33954328298568726,0.41999998688697815
349,0.011376142501831055,1,0.011433952488005161,,,,,
399,0.012104880064725876,1,0.012544693425297737,,,,,
449,0.014009956270456314,1,0.013745405711233616,,,,,
499,0.011703512631356716,1,0.01106043066829443,,,,,
549,0.011282275430858135,1,0.010214744135737419,,,,,
599,0.011786483228206635,1,0.012187839485704899,,,,,
623,,1,,0.5042999982833862,0.5042999982833862,,,
623,,1,,,,0.46404245495796204,0.4742087423801422,0.5565999746322632
649,0.009872988797724247,2,0.009924934245646,,,,,
699,0.009846823289990425,2,0.010461588390171528,,,,,
749,0.01077741477638483,2,0.009602432139217854,,,,,
799,0.008868561126291752,2,0.008637565188109875,,,,,
849,0.01139421109110117,2,0.010566351935267448,,,,,
899,0.009586540050804615,2,0.01005257572978735,,,,,
935,,2,,0.5142999887466431,0.5437999963760376,,,
935,,2,,,,0.5347806215286255,0.5381109714508057,0.5799000263214111
949,0.008488994091749191,3,0.00856146402657032,,,,,
999,0.007982578128576279,3,0.007831882685422897,,,,,
1049,0.00850327406078577,3,0.00841050036251545,,,,,
1099,0.008512560278177261,3,0.00841244775801897,,,,,
1149,0.008952828124165535,3,0.008503705263137817,,,,,
1199,0.009562895633280277,3,0.009610582143068314,,,,,
1247,,3,,0.5483999848365784,0.5702999830245972,,,
1247,,3,,,,0.5769481062889099,0.5748196840286255,0.6062999963760376
1249,0.00889535527676344,4,0.009249580092728138,,,,,
1299,0.009253346361219883,4,0.009509941563010216,,,,,
1349,0.008685844019055367,4,0.009258117526769638,,,,,
1399,0.009770912118256092,4,0.009228604845702648,,,,,
1449,0.008050206117331982,4,0.008143525570631027,,,,,
1499,0.007048745173960924,4,0.006759633310139179,,,,,
1549,0.006834675092250109,4,0.006922954227775335,,,,,
1559,,4,,0.6184999942779541,0.6262000203132629,,,
1559,,4,,,,0.6125801205635071,0.6091997027397156,0.6967999935150146
1599,0.007797197438776493,5,0.00824256893247366,,,,,
1649,0.006076773162931204,5,0.006086978130042553,,,,,
1699,0.007425992283970118,5,0.007187113631516695,,,,,
1749,0.006199263501912355,5,0.0055590225383639336,,,,,
1799,0.007241121958941221,5,0.006962654180824757,,,,,
1849,0.005292550660669804,5,0.005445897113531828,,,,,
1871,,5,,0.6126999855041504,0.618399977684021,,,
1871,,5,,,,0.6430789232254028,0.6364182829856873,0.6970999836921692
1899,0.005768278148025274,6,0.0058164759539067745,,,,,
1949,0.005037427879869938,6,0.004937564488500357,,,,,
1999,0.005370552651584148,6,0.005558886099606752,,,,,
2049,0.007803759537637234,6,0.007285426836460829,,,,,
2099,0.0070121921598911285,6,0.00702423183247447,,,,,
2149,0.006643881555646658,6,0.005915474146604538,,,,,
2183,,6,,0.6402000188827515,0.649399995803833,,,
2183,,6,,,,0.6576272249221802,0.6578525900840759,0.7221999764442444
2199,0.004305207636207342,7,0.004594699013978243,,,,,
2249,0.005012703128159046,7,0.0053889877162873745,,,,,
2299,0.00552014447748661,7,0.005283570848405361,,,,,
2349,0.004193597007542849,7,0.004141505341976881,,,,,
2399,0.0057062492705881596,7,0.005354196298867464,,,,,
2449,0.00532802939414978,7,0.0059429663233459,,,,,
2495,,7,,0.65829998254776,0.663100004196167,,,
2495,,7,,,,0.6756059527397156,0.6763821840286255,0.7516999840736389
2499,0.003647155361250043,8,0.0035470626316964626,,,,,
2549,0.003217529272660613,8,0.0029716005083173513,,,,,
2599,0.006998526863753796,8,0.005778654012829065,,,,,
2649,0.0026719276793301105,8,0.002585809910669923,,,,,
2699,0.00564239826053381,8,0.0061639947816729546,,,,,
2749,0.0041199964471161366,8,0.004857048857957125,,,,,
2799,0.0040801456198096275,8,0.004478898365050554,,,,,
2807,,8,,0.6822999715805054,0.6848000288009644,,,
2807,,8,,,,0.6859225034713745,0.6889022588729858,0.7768999934196472
2849,0.0025918479077517986,9,0.0027227303944528103,,,,,
2899,0.003965584095567465,9,0.0038444465026259422,,,,,
2949,0.003395270323380828,9,0.003780777333304286,,,,,
2999,0.0027414606884121895,9,0.00315009243786335,,,,,
3049,0.0032865330576896667,9,0.003887517610564828,,,,,
3099,0.004545419476926327,9,0.004346958827227354,,,,,
3119,,9,,0.7024999856948853,0.6963000297546387,,,
3119,,9,,,,0.698167085647583,0.6954377293586731,0.7998999953269958
3149,0.0038752753753215075,10,0.003824270563200116,,,,,
3199,0.0025903682690113783,10,0.002860766602680087,,,,,
3249,0.0030059327837079763,10,0.0025834287516772747,,,,,
3299,0.0035477394703775644,10,0.003896828042343259,,,,,
3349,0.003329216968268156,10,0.0041483985260128975,,,,,
3399,0.0035814756993204355,10,0.0033749244175851345,,,,,
3431,,10,,0.6966999769210815,0.6884999871253967,,,
3431,,10,,,,0.7056540250778198,0.7082582116127014,0.79339998960495
3449,0.0027344003319740295,11,0.003078195033594966,,,,,
3499,0.003072903724387288,11,0.003320246236398816,,,,,
3549,0.003367730649188161,11,0.002597681013867259,,,,,
3599,0.0020641351584345102,11,0.001857516705058515,,,,,
3649,0.004749733489006758,11,0.004148205742239952,,,,,
3699,0.003782344749197364,11,0.0033782394602894783,,,,,
3743,,11,,0.6980000138282776,0.7160999774932861,,,
3743,,11,,,,0.7137419581413269,0.7175731062889099,0.7925999760627747
3749,0.0028627337887883186,12,0.0035540780518203974,,,,,
3799,0.0034614740870893,12,0.002354186959564686,,,,,
3849,0.0025650111492723227,12,0.0019698699470609426,,,,,
3899,0.0015684658428654075,12,0.002152159111574292,,,,,
3949,0.0035040283109992743,12,0.004246310796588659,,,,,
3999,0.0020041686948388815,12,0.0020845255348831415,,,,,
4049,0.0016463687643408775,12,0.001916344277560711,,,,,
4055,,12,,0.7131999731063843,0.7168999910354614,,,
4055,,12,,,,0.7221053838729858,0.7216546535491943,0.8077999949455261
4099,0.003313269466161728,13,0.004029783420264721,,,,,
4149,0.0029847598634660244,13,0.002721669152379036,,,,,
4199,0.0020421298686414957,13,0.0020614643581211567,,,,,
4249,0.0032707583159208298,13,0.0029344267677515745,,,,,
4299,0.0022098582703620195,13,0.0018820916302502155,,,,,
4349,0.004905241541564465,13,0.0048023974522948265,,,,,
4367,,13,,0.7161999940872192,0.7056000232696533,,,
4367,,13,,,,0.7280648946762085,0.7291416525840759,0.8122000098228455
4399,0.0008770374115556479,14,0.0013167998986318707,,,,,
4449,0.0018092229729518294,14,0.0017282949993386865,,,,,
4499,0.00470182579010725,14,0.004372874740511179,,,,,
4549,0.0035825984086841345,14,0.0031740383710712194,,,,,
4599,0.0018381030531600118,14,0.0021975345443934202,,,,,
4649,0.0035571446642279625,14,0.003011709777638316,,,,,
4679,,14,,0.679099977016449,0.7031999826431274,,,
4679,,14,,,,0.7356770634651184,0.7337489724159241,0.7738000154495239
4699,0.0033139365259557962,15,0.003530726069584489,,,,,
4749,0.0024824088905006647,15,0.002577992156147957,,,,,
4799,0.002735360059887171,15,0.0035119284875690937,,,,,
4849,0.0017069100867956877,15,0.002601620042696595,,,,,
4899,0.0022828064393252134,15,0.0026751672849059105,,,,,
4949,0.0027668941766023636,15,0.0026409390848129988,,,,,
4991,,15,,0.725600004196167,0.7279000282287598,,,
4991,,15,,,,0.7396584749221802,0.7419371008872986,0.8357999920845032
