epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc,mix_match_loss
0,3.6186318397521973,49,,,,,
0,2.611161470413208,99,,,,,
0,2.2658350467681885,149,,,,,
0,2.2213382720947266,199,,,,,
0,2.145780563354492,249,,,,,
0,2.037759304046631,299,,,,,
0,,312,2.0200257301330566,0.2159000039100647,,,
0,,312,,,0.2255735695362091,0.1691250056028366,
1,2.0163605213165283,349,,,,,
1,1.8975603580474854,399,,,,,
1,1.8473823070526123,449,,,,,
1,1.8357019424438477,499,,,,,
1,1.846935749053955,549,,,,,
1,1.7707136869430542,599,,,,,
1,,625,1.8318041563034058,0.3041999936103821,,,
1,,625,,,0.33346518874168396,0.26695001125335693,
2,1.7692232131958008,649,,,,,
2,1.79832923412323,699,,,,,
2,1.8465697765350342,749,,,,,
2,1.6402430534362793,799,,,,,
2,1.664952039718628,849,,,,,
2,1.761476755142212,899,,,,,
2,,938,1.6597248315811157,0.3813999891281128,,,
2,,938,,,0.41159018874168396,0.3510249853134155,
3,1.6644738912582397,949,,,,,
3,1.693145751953125,999,,,,,
3,1.5625532865524292,1049,,,,,
3,1.5158931016921997,1099,,,,,
3,1.6977932453155518,1149,,,,,
3,1.578551173210144,1199,,,,,
3,1.3775355815887451,1249,,,,,
3,,1251,1.540569543838501,0.44909998774528503,,,
3,,1251,,,0.46370649337768555,0.41065001487731934,
4,1.641456961631775,1299,,,,,
4,1.536926507949829,1349,,,,,
4,1.4433268308639526,1399,,,,,
4,1.4285048246383667,1449,,,,,
4,1.42657470703125,1499,,,,,
4,1.44875168800354,1549,,,,,
4,,1564,1.3687951564788818,0.49309998750686646,,,
4,,1564,,,0.5105814933776855,0.4629000127315521,
5,1.3366459608078003,1599,,,,,
5,1.405587077140808,1649,,,,,
5,1.2124367952346802,1699,,,,,
5,1.37496018409729,1749,,,,,
5,1.1813169717788696,1799,,,,,
5,1.398057222366333,1849,,,,,
5,,1877,1.2819243669509888,0.5284000039100647,,,
5,,1877,,,0.5572587251663208,0.513450026512146,
6,1.1986949443817139,1899,,,,,
6,1.1345843076705933,1949,,,,,
6,1.2939032316207886,1999,,,,,
6,1.135666847229004,2049,,,,,
6,1.2138315439224243,2099,,,,,
