step,train_loss1,train_loss2,epoch,train_acc2,train_acc1,test_acc
49,0.014108988456428051,0.013924101367592812,0,,,
99,0.013913272880017757,0.014118829742074013,0,,,
149,0.012257763184607029,0.012902449816465378,0,,,
199,0.011122602969408035,0.011950256302952766,0,,,
249,0.012111276388168335,0.012703842483460903,0,,,
299,0.011702034622430801,0.011501082219183445,0,,,
349,0.010671336203813553,0.010425476357340813,0,,,
389,,,0,0.39352965354919434,0.3982371687889099,0.545799970626831
399,0.009550677612423897,0.009441313333809376,1,,,
449,0.010666346177458763,0.010258645750582218,1,,,
499,0.007968682795763016,0.008187205530703068,1,,,
549,0.009936930611729622,0.00899935606867075,1,,,
599,0.010149608366191387,0.009778374806046486,1,,,
649,0.00894213281571865,0.008622623048722744,1,,,
699,0.00789778120815754,0.007995476014912128,1,,,
749,0.008839493617415428,0.009237314574420452,1,,,
779,,,1,0.5722756385803223,0.566245973110199,0.5910000205039978
799,0.007031618617475033,0.006911329925060272,2,,,
849,0.0064521594904363155,0.006830292753875256,2,,,
899,0.006546327844262123,0.0070864539593458176,2,,,
949,0.00813144538551569,0.007993682287633419,2,,,
999,0.007773412857204676,0.007820787839591503,2,,,
1049,0.006488403771072626,0.007120233960449696,2,,,
1099,0.007847360335290432,0.007693528663367033,2,,,
1149,0.0071999989449977875,0.007621285039931536,2,,,
1169,,,2,0.641486406326294,0.6415064334869385,0.6830000281333923
1199,0.006724616512656212,0.005823937710374594,3,,,
1249,0.006358676590025425,0.006664404179900885,3,,,
1299,0.00685969227924943,0.006772252731025219,3,,,
1349,0.007051412016153336,0.006857681088149548,3,,,
1399,0.005824354011565447,0.0055025662295520306,3,,,
1449,0.006378589663654566,0.007156229577958584,3,,,
1499,0.004697352182120085,0.005485852714627981,3,,,
1549,0.0052105821669101715,0.005828324239701033,3,,,
1559,,,3,0.6904847621917725,0.6938501596450806,0.7311999797821045
1599,0.005484599154442549,0.0060513680800795555,4,,,
1649,0.003707644995301962,0.004594219848513603,4,,,
1699,0.004589807242155075,0.004755729343742132,4,,,
1749,0.004180161282420158,0.003947183024138212,4,,,
1799,0.005971191450953484,0.005906855687499046,4,,,
1849,0.0038805510848760605,0.0037304635625332594,4,,,
1899,0.0056935143657028675,0.004918043501675129,4,,,
1949,0.0070579154416918755,0.006519721355289221,4,,,
1949,,,4,0.7273237109184265,0.7279447317123413,0.7630000114440918
1999,0.0043341233395040035,0.0034175280015915632,5,,,
2049,0.0045652007684111595,0.0034358655102550983,5,,,
2099,0.0034375551622360945,0.0031790107022970915,5,,,
2149,0.0037217296194285154,0.003043673001229763,5,,,
2199,0.003427274292334914,0.003445337526500225,5,,,
2249,0.0027710755821317434,0.0026331786066293716,5,,,
2299,0.003862084588035941,0.0035110570024698973,5,,,
2339,,,5,0.7461938858032227,0.746254026889801,0.7788000106811523
