epoch,train_loss1,train_loss2,step,train_acc2,train_acc1,test_acc
0,0.016301045194268227,0.015622248873114586,49,,,
0,0.013687106780707836,0.013814925216138363,99,,,
0,0.013483673334121704,0.014655759558081627,149,,,
0,0.013889914378523827,0.014096289873123169,199,,,
0,0.012656965292990208,0.013253285549581051,249,,,
0,0.013461794704198837,0.013428145088255405,299,,,
0,0.01370098628103733,0.013331069611012936,349,,,
0,,,389,0.35154247283935547,0.3610977530479431,0.44940000772476196
1,0.01345911156386137,0.013290627859532833,399,,,
1,0.011872535571455956,0.011703613214194775,449,,,
1,0.011304891668260098,0.011744707822799683,499,,,
1,0.010817253030836582,0.011355194263160229,549,,,
1,0.011539500206708908,0.011398120783269405,599,,,
1,0.010920755565166473,0.011345719918608665,649,,,
1,0.008544258773326874,0.008336410857737064,699,,,
1,0.009705333039164543,0.009859168902039528,749,,,
1,,,779,0.5003004670143127,0.5102764368057251,0.5814999938011169
2,0.010443625040352345,0.010480291210114956,799,,,
2,0.010440497659146786,0.009697051718831062,849,,,
2,0.007527606561779976,0.007785404566675425,899,,,
2,0.00831883680075407,0.008778765797615051,949,,,
2,0.008563912473618984,0.008211000822484493,999,,,
2,0.006828638259321451,0.0070587992668151855,1049,,,
2,0.00945147406309843,0.009324395097792149,1099,,,
2,0.009843300096690655,0.010197495110332966,1149,,,
2,,,1169,0.5693109035491943,0.575120210647583,0.661899983882904
3,0.007397364359349012,0.007993059232831001,1199,,,
3,0.0077138496562838554,0.008319217711687088,1249,,,
3,0.007853643037378788,0.008190627209842205,1299,,,
3,0.005637358408421278,0.006443172227591276,1349,,,
3,0.008267293684184551,0.007519632112234831,1399,,,
3,0.005949697457253933,0.005874013993889093,1449,,,
3,0.006895592901855707,0.007665347773581743,1499,,,
3,0.007178888656198978,0.006957018747925758,1549,,,
3,,,1559,0.6114382743835449,0.6180288195610046,0.6626999974250793
4,0.01018223911523819,0.009895424358546734,1599,,,
4,0.007845262065529823,0.008469300344586372,1649,,,
4,0.008049488998949528,0.007621448487043381,1699,,,
4,0.007181516848504543,0.006278481800109148,1749,,,
4,0.00732787000015378,0.00771293556317687,1799,,,
4,0.006116427015513182,0.005350254010409117,1849,,,
4,0.008554221130907536,0.008594741113483906,1899,,,
4,0.006647680886089802,0.0056939986534416676,1949,,,
4,,,1949,0.6441506147384644,0.6472756266593933,0.7275000214576721
5,0.003672841703519225,0.0037426326889544725,1999,,,
5,0.005688724108040333,0.006035814061760902,2049,,,
5,0.00510410824790597,0.005708906799554825,2099,,,
5,0.005920535884797573,0.005668179132044315,2149,,,
5,0.004089200869202614,0.00433610612526536,2199,,,
5,0.0041970680467784405,0.004579004365950823,2249,,,
5,0.007282956037670374,0.00773355457931757,2299,,,
5,,,2339,0.6677283644676208,0.6717948913574219,0.7638999819755554
6,0.0036612097173929214,0.0036290474236011505,2349,,,
6,0.004998897667974234,0.005875138565897942,2399,,,
6,0.006179347634315491,0.006577290594577789,2449,,,
6,0.004265141673386097,0.004864349961280823,2499,,,
6,0.004762071650475264,0.004306718707084656,2549,,,
6,0.004597067832946777,0.005144497379660606,2599,,,
6,0.006758652161806822,0.00592856714501977,2649,,,
6,0.004323124419897795,0.0049421899020671844,2699,,,
6,,,2729,0.6859976053237915,0.6868589520454407,0.7730000019073486
7,0.004815236199647188,0.004777634982019663,2749,,,
7,0.00543312169611454,0.004696905147284269,2799,,,
7,0.004485167562961578,0.0046309251338243484,2849,,,
7,0.00522469962015748,0.005378288682550192,2899,,,
7,0.00363181228749454,0.003657243913039565,2949,,,
7,0.003949758596718311,0.0036698193289339542,2999,,,
7,0.0047722929157316685,0.005195647943764925,3049,,,
7,0.0048852949403226376,0.004271313082426786,3099,,,
7,,,3119,0.6996394395828247,0.6998196840286255,0.8051999807357788
8,0.0029933734331279993,0.0025879312306642532,3149,,,
8,0.0033171072136610746,0.0025030854158103466,3199,,,
8,0.0023724425118416548,0.0024019500706344843,3249,,,
8,0.004650460556149483,0.004996457137167454,3299,,,
8,0.0025506019592285156,0.002457632217556238,3349,,,
8,0.003740260610356927,0.005030304193496704,3399,,,
8,0.0029919780790805817,0.0030627702362835407,3449,,,
8,0.004053495824337006,0.0035639668349176645,3499,,,
8,,,3509,0.7099559307098389,0.7106770873069763,0.7975000143051147
9,0.004094145726412535,0.002648603403940797,3549,,,
9,0.004255308769643307,0.0049827490001916885,3599,,,
9,0.0032661408185958862,0.0032168258912861347,3649,,,
9,0.0031786204781383276,0.002924807369709015,3699,,,
9,0.002229398814961314,0.002170391846448183,3749,,,
9,0.00395651301369071,0.00320452731102705,3799,,,
9,0.002521166345104575,0.0027335938066244125,3849,,,
9,0.0039896550588309765,0.0040344903245568275,3899,,,
9,,,3899,0.7173076868057251,0.7164663672447205,0.8047000169754028
