step,epoch,train_loss,test_acc,train_acc
49,0,3.8202033042907715,,
99,0,3.2333297729492188,,
149,0,2.839028835296631,,
199,0,3.067902088165283,,
249,0,2.787411689758301,,
299,0,2.7262260913848877,,
349,0,2.6491994857788086,,
389,0,,0.5909000039100647,0.40091145038604736
399,1,2.359450578689575,,
449,1,2.6406590938568115,,
499,1,2.749072551727295,,
549,1,2.4541730880737305,,
599,1,2.1834917068481445,,
649,1,2.2411816120147705,,
699,1,2.325537919998169,,
749,1,2.105299711227417,,
779,1,,0.6622999906539917,0.5670372843742371
799,2,2.312455892562866,,
849,2,2.2825303077697754,,
899,2,1.933355450630188,,
949,2,1.7283399105072021,,
999,2,1.8909379243850708,,
1049,2,1.758386492729187,,
1099,2,1.8874461650848389,,
1149,2,1.8794623613357544,,
1169,2,,0.7562000155448914,0.6454126834869385
1199,3,1.958099126815796,,
1249,3,2.0814714431762695,,
1299,3,1.7765624523162842,,
1349,3,1.8977211713790894,,
1399,3,1.970211148262024,,
1449,3,1.8986022472381592,,
1499,3,2.113474130630493,,
1549,3,2.1621477603912354,,
1559,3,,0.7735000252723694,0.6905649304389954
1599,4,1.8383668661117554,,
1649,4,1.822630763053894,,
1699,4,1.5999979972839355,,
1749,4,1.616326093673706,,
1799,4,1.6969516277313232,,
1849,4,1.628594160079956,,
1899,4,1.8524541854858398,,
1949,4,1.7965086698532104,,
1949,4,,0.7978000044822693,0.7148838043212891
1999,5,1.5785877704620361,,
2049,5,1.286246657371521,,
2099,5,1.8635554313659668,,
2149,5,1.6599918603897095,,
2199,5,1.6818269491195679,,
2249,5,1.5024895668029785,,
2299,5,1.6236070394515991,,
2339,5,,0.8195000290870667,0.7353966236114502
2349,6,1.652054786682129,,
2399,6,1.5837674140930176,,
2449,6,1.5114753246307373,,
2499,6,1.4539580345153809,,
2549,6,1.2906149625778198,,
2599,6,1.6370232105255127,,
2649,6,1.6043721437454224,,
2699,6,1.2071397304534912,,
2729,6,,0.8352000117301941,0.748477578163147
2749,7,1.4672013521194458,,
2799,7,1.4200334548950195,,
2849,7,1.4580926895141602,,
2899,7,1.6646559238433838,,
2949,7,1.578291654586792,,
2999,7,1.361191749572754,,
3049,7,1.2231450080871582,,
3099,7,1.5487408638000488,,
3119,7,,0.8501999974250793,0.7588341236114502
3149,8,1.0620765686035156,,
3199,8,1.1561789512634277,,
3249,8,1.4373440742492676,,
3299,8,1.239933729171753,,
3349,8,1.1950777769088745,,
3399,8,1.1200764179229736,,
3449,8,1.379717230796814,,
3499,8,1.2439696788787842,,
3509,8,,0.8597000241279602,0.7714643478393555
3549,9,1.3369140625,,
3599,9,1.51608407497406,,
3649,9,0.9665590524673462,,
3699,9,1.0378069877624512,,
3749,9,1.217417597770691,,
3799,9,1.5164902210235596,,
3849,9,1.057804822921753,,
3899,9,1.1579279899597168,,
3899,9,,0.8618000149726868,0.777614176273346
3949,10,1.2609180212020874,,
3999,10,1.2696118354797363,,
4049,10,1.3656320571899414,,
4099,10,1.3189606666564941,,
4149,10,0.9986123442649841,,
4199,10,1.0658042430877686,,
4249,10,1.33647620677948,,
4289,10,,0.8571000099182129,0.7852063179016113
4299,11,1.0968048572540283,,
4349,11,0.9712265729904175,,
4399,11,1.3003466129302979,,
4449,11,1.3196425437927246,,
4499,11,1.1589720249176025,,
4549,11,1.2186460494995117,,
4599,11,1.0131151676177979,,
4649,11,1.3331927061080933,,
4679,11,,0.8379999995231628,0.7894431352615356
4699,12,0.9714748859405518,,
4749,12,1.2532013654708862,,
4799,12,1.2315369844436646,,
4849,12,1.1294687986373901,,
4899,12,1.0275800228118896,,
4949,12,1.213316559791565,,
4999,12,1.0203416347503662,,
5049,12,1.0933014154434204,,
5069,12,,0.8755000233650208,0.795973539352417
5099,13,1.2441422939300537,,
5149,13,1.133773684501648,,
5199,13,0.7912826538085938,,
5249,13,1.118079423904419,,
5299,13,1.2502121925354004,,
5349,13,1.0206716060638428,,
5399,13,1.3566607236862183,,
5449,13,0.8640096783638,,
5459,13,,0.8596000075340271,0.8014022707939148
5499,14,0.8675845265388489,,
5549,14,1.1024565696716309,,
5599,14,0.8652766942977905,,
5649,14,0.9922707080841064,,
5699,14,1.092980980873108,,
5749,14,0.8887063264846802,,
5799,14,1.136818289756775,,
5849,14,1.325386643409729,,
5849,14,,0.8889999985694885,0.8048978447914124
5899,15,1.01167893409729,,
5949,15,1.2179641723632812,,
5999,15,1.0487667322158813,,
6049,15,0.9447426795959473,,
6099,15,0.8973028659820557,,
6149,15,0.943023681640625,,
6199,15,1.0296056270599365,,
6239,15,,0.8734999895095825,0.8093149065971375
6249,16,1.0909963846206665,,
6299,16,1.098191261291504,,
6349,16,0.8255673050880432,,
6399,16,0.8735851049423218,,
6449,16,1.1410739421844482,,
6499,16,0.9978258609771729,,
6549,16,1.1334054470062256,,
6599,16,0.9571706056594849,,
6629,16,,0.8766000270843506,0.8127804398536682
6649,17,0.8824419379234314,,
6699,17,1.1110703945159912,,
6749,17,0.8644369840621948,,
6799,17,0.8703425526618958,,
6849,17,0.8230845928192139,,
6899,17,0.9455433487892151,,
6949,17,0.9452126026153564,,
6999,17,0.9743835926055908,,
7019,17,,0.895799994468689,0.8159254789352417
7049,18,0.9329100847244263,,
7099,18,1.429626226425171,,
7149,18,0.8368337750434875,,
7199,18,0.8840123414993286,,
7249,18,1.0410387516021729,,
7299,18,0.817880392074585,,
7349,18,0.8908240795135498,,
7399,18,0.9275217652320862,,
7409,18,,0.8944000005722046,0.8170673251152039
7449,19,0.7219338417053223,,
7499,19,1.1315817832946777,,
7549,19,0.7648175954818726,,
7599,19,0.843732476234436,,
7649,19,0.9724448919296265,,
7699,19,1.1423746347427368,,
7749,19,1.096971035003662,,
7799,19,0.9376593828201294,,
7799,19,,0.8779000043869019,0.8197916746139526
7849,20,1.026138186454773,,
7899,20,0.850860059261322,,
7949,20,0.9360843300819397,,
7999,20,0.6625235080718994,,
8049,20,0.9510906934738159,,
8099,20,1.191485047340393,,
8149,20,0.972172737121582,,
8189,20,,0.8823999762535095,0.824689507484436
8199,21,0.8331897258758545,,
8249,21,0.8678992390632629,,
8299,21,0.8872725963592529,,
8349,21,0.9250863790512085,,
8399,21,0.7680373191833496,,
8449,21,0.8537981510162354,,
8499,21,0.7912496328353882,,
8549,21,0.9273423552513123,,
8579,21,,0.8996000289916992,0.8251903057098389
8599,22,0.864223837852478,,
8649,22,1.0068522691726685,,
8699,22,1.0648036003112793,,
8749,22,0.9991432428359985,,
8799,22,0.9997752904891968,,
8849,22,1.056923270225525,,
8899,22,0.9183314442634583,,
8949,22,0.9959255456924438,,
8969,22,,0.891700029373169,0.8279747366905212
8999,23,1.0033702850341797,,
9049,23,0.9415912628173828,,
9099,23,0.7207525968551636,,
9149,23,0.9029746055603027,,
9199,23,0.8330692648887634,,
9249,23,0.7349359393119812,,
9299,23,0.8704026937484741,,
9349,23,0.8573623895645142,,
9359,23,,0.8910999894142151,0.8304186463356018
9399,24,0.6978283524513245,,
9449,24,0.8943166136741638,,
9499,24,1.0641305446624756,,
9549,24,0.9261474609375,,
9599,24,0.842955470085144,,
9649,24,0.9580116271972656,,
9699,24,1.1181055307388306,,
9749,24,0.8174206018447876,,
9749,24,,0.8939999938011169,0.8285056352615356
9799,25,0.8078108429908752,,
9849,25,0.9391312599182129,,
9899,25,0.7200533747673035,,
9949,25,0.8872038125991821,,
9999,25,1.0041097402572632,,
10049,25,0.9534677267074585,,
10099,25,0.9436748623847961,,
10139,25,,0.9075000286102295,0.8318509459495544
10149,26,0.9257394075393677,,
10199,26,0.7688096761703491,,
10249,26,0.8872787952423096,,
10299,26,0.8939650058746338,,
10349,26,0.8137029409408569,,
10399,26,1.0115761756896973,,
10449,26,0.7712256908416748,,
10499,26,0.7991636991500854,,
10529,26,,0.8974000215530396,0.832612156867981
10549,27,0.9481663703918457,,
10599,27,0.8376851081848145,,
10649,27,0.8450508117675781,,
10699,27,0.9114402532577515,,
10749,27,0.772028386592865,,
10799,27,0.7903845906257629,,
10849,27,0.7623535990715027,,
10899,27,0.9315414428710938,,
10919,27,,0.9043999910354614,0.8346354365348816
10949,28,0.7191239595413208,,
10999,28,0.9001343846321106,,
11049,28,0.6649947166442871,,
11099,28,0.84146648645401,,
11149,28,1.0167840719223022,,
11199,28,0.8596395254135132,,
11249,28,0.7632519006729126,,
11299,28,0.9232378005981445,,
11309,28,,0.9024999737739563,0.8355668783187866
11349,29,0.8847872018814087,,
11399,29,0.9346553683280945,,
11449,29,0.7408093214035034,,
11499,29,0.7611753940582275,,
