train_loss,epoch,step,val_loss,val_acc,test_acc,train_acc
2.0551600456237793,0,49,,,,
1.5496032238006592,0,99,,,,
1.535497784614563,0,149,,,,
1.2146875858306885,0,199,,,,
1.2044289112091064,0,249,,,,
1.2052133083343506,0,299,,,,
,0,311,1.511994481086731,0.4611999988555908,,
,0,311,,,0.4846999943256378,0.36052682995796204
0.6916602253913879,1,349,,,,
0.684611439704895,1,399,,,,
0.6364933848381042,1,449,,,,
0.5116676092147827,1,499,,,,
0.6064882278442383,1,549,,,,
0.47094500064849854,1,599,,,,
,1,623,1.377431035041809,0.5630999803543091,,
,1,623,,,0.5871999859809875,0.5258663892745972
0.010419487953186035,2,649,,,,
-0.22984230518341064,2,699,,,,
0.04414486885070801,2,749,,,,
0.15257799625396729,2,799,,,,
-0.03838193416595459,2,849,,,,
-0.026204705238342285,2,899,,,,
,2,935,1.2368099689483643,0.6389999985694885,,
,2,935,,,0.6678000092506409,0.6232472062110901
-0.5632797479629517,3,949,,,,
-0.9313299655914307,3,999,,,,
-0.43690478801727295,3,1049,,,,
-0.950247585773468,3,1099,,,,
-0.8270270824432373,3,1149,,,,
-0.8544913530349731,3,1199,,,,
,3,1247,1.4491132497787476,0.6348000168800354,,
,3,1247,,,0.6553999781608582,0.6839693784713745
-1.4391350746154785,4,1249,,,,
-1.1141265630722046,4,1299,,,,
-1.2686519622802734,4,1349,,,,
-1.403137445449829,4,1399,,,,
-1.552748203277588,4,1449,,,,
-1.555718183517456,4,1499,,,,
-1.325168251991272,4,1549,,,,
,4,1559,1.0712403059005737,0.7210999727249146,,
,4,1559,,,0.7476999759674072,0.7242337465286255
-2.571188449859619,5,1599,,,,
-1.9634180068969727,5,1649,,,,
-2.229280471801758,5,1699,,,,
-2.3911643028259277,5,1749,,,,
-2.126716136932373,5,1799,,,,
-2.2040786743164062,5,1849,,,,
,5,1871,1.1331520080566406,0.7300000190734863,,
,5,1871,,,0.767300009727478,0.7527043223381042
-3.078066825866699,6,1899,,,,
-2.996479034423828,6,1949,,,,
