train_loss,epoch,step,val_acc,val_loss,train_acc,test_acc
3.9449868202209473,0,49,,,,
3.0208401679992676,0,99,,,,
2.403805732727051,0,149,,,,
2.2139968872070312,0,199,,,,
2.1427364349365234,0,249,,,,
2.2019810676574707,0,299,,,,
,0,312,0.23260000348091125,2.0919225215911865,,
,0,312,,,0.1602499932050705,0.2333860695362091
2.044992446899414,1,349,,,,
1.9548380374908447,1,399,,,,
1.822544813156128,1,449,,,,
1.8458672761917114,1,499,,,,
1.847894310951233,1,549,,,,
1.6963365077972412,1,599,,,,
,1,625,0.31850001215934753,1.808504343032837,,
,1,625,,,0.27652499079704285,0.3565071225166321
1.8647674322128296,2,649,,,,
1.9056028127670288,2,699,,,,
1.6450555324554443,2,749,,,,
1.7686208486557007,2,799,,,,
1.53114652633667,2,849,,,,
1.6765446662902832,2,899,,,,
,2,938,0.41290000081062317,1.576418161392212,,
,2,938,,,0.36272498965263367,0.4208860695362091
1.706275463104248,3,949,,,,
1.4520983695983887,3,999,,,,
1.5127391815185547,3,1049,,,,
1.5741361379623413,3,1099,,,,
1.4874672889709473,3,1149,,,,
1.5147984027862549,3,1199,,,,
1.4474745988845825,3,1249,,,,
,3,1251,0.47200000286102295,1.4578057527542114,,
,3,1251,,,0.42754998803138733,0.4707278609275818
1.4296916723251343,4,1299,,,,
1.3599247932434082,4,1349,,,,
1.4064881801605225,4,1399,,,,
1.418277621269226,4,1449,,,,
1.4106855392456055,4,1499,,,,
1.3853176832199097,4,1549,,,,
,4,1564,0.5026000142097473,1.379307508468628,,
,4,1564,,,0.4882250130176544,0.5215585231781006
1.3427730798721313,5,1599,,,,
1.3707325458526611,5,1649,,,,
1.4161967039108276,5,1699,,,,
1.1519548892974854,5,1749,,,,
1.2467947006225586,5,1799,,,,
1.436787486076355,5,1849,,,,
,5,1877,0.5130000114440918,1.3168604373931885,,
,5,1877,,,0.5217000246047974,0.5466772317886353
1.3486807346343994,6,1899,,,,
1.1888236999511719,6,1949,,,,
1.3371329307556152,6,1999,,,,
1.1525239944458008,6,2049,,,,
1.146837830543518,6,2099,,,,
1.1701197624206543,6,2149,,,,
,6,2190,0.5884000062942505,1.146101713180542,,
,6,2190,,,0.550724983215332,0.593156635761261
1.1274738311767578,7,2199,,,,
1.3174455165863037,7,2249,,,,
1.1399215459823608,7,2299,,,,
1.164908528327942,7,2349,,,,
1.1471666097640991,7,2399,,,,
1.0918926000595093,7,2449,,,,
1.1246031522750854,7,2499,,,,
,7,2503,0.5819000005722046,1.1727317571640015,,
,7,2503,,,0.5756999850273132,0.6135284900665283
1.2006748914718628,8,2549,,,,
1.0317237377166748,8,2599,,,,
1.1547801494598389,8,2649,,,,
1.1319773197174072,8,2699,,,,
1.138613224029541,8,2749,,,,
1.0843833684921265,8,2799,,,,
,8,2816,0.631600022315979,1.0580188035964966,,
,8,2816,,,0.6069250106811523,0.6381527185440063
1.011405110359192,9,2849,,,,
1.0601646900177002,9,2899,,,,
1.02677321434021,9,2949,,,,
0.8963474035263062,9,2999,,,,
