step,epoch,train_loss,val_loss,val_acc,test_acc
49,0,2.259934902191162,,,
99,0,2.05279278755188,,,
149,0,1.7993402481079102,,,
199,0,1.9121636152267456,,,
249,0,1.6854064464569092,,,
299,0,1.9928059577941895,,,
311,0,,1.882680058479309,0.37119999527931213,
311,0,,,,0.4099999964237213
349,1,2.0933144092559814,,,
399,1,2.1308817863464355,,,
449,1,2.080108404159546,,,
499,1,1.937119722366333,,,
549,1,1.9910722970962524,,,
599,1,1.9329780340194702,,,
623,1,,1.6558568477630615,0.4212000072002411,
623,1,,,,0.4648999869823456
649,2,1.658499836921692,,,
699,2,1.828551173210144,,,
749,2,1.8995890617370605,,,
799,2,1.8283629417419434,,,
849,2,1.883429765701294,,,
899,2,1.80936861038208,,,
935,2,,1.5324969291687012,0.4878000020980835,
935,2,,,,0.5426999926567078
949,3,1.857033133506775,,,
999,3,1.4757640361785889,,,
1049,3,1.8120441436767578,,,
1099,3,1.540215015411377,,,
1149,3,1.8539750576019287,,,
1199,3,1.260910153388977,,,
1247,3,,1.5099079608917236,0.4999000132083893,
1247,3,,,,0.5519999861717224
1249,4,1.6741997003555298,,,
1299,4,1.686039686203003,,,
1349,4,1.6028969287872314,,,
1399,4,1.620087742805481,,,
1449,4,1.4966367483139038,,,
1499,4,1.7218626737594604,,,
1549,4,1.7904318571090698,,,
1559,4,,1.4377177953720093,0.5175999999046326,
1559,4,,,,0.5753999948501587
1599,5,1.707856297492981,,,
1649,5,1.7051210403442383,,,
1699,5,1.4569547176361084,,,
1749,5,1.3850641250610352,,,
1799,5,1.6267428398132324,,,
1849,5,1.6139732599258423,,,
1871,5,,2.385864734649658,0.4090000092983246,
1871,5,,,,0.45249998569488525
1899,6,1.0819451808929443,,,
1949,6,1.239058494567871,,,
1999,6,0.722412109375,,,
2049,6,0.933213472366333,,,
2099,6,0.9101535677909851,,,
2149,6,1.1294398307800293,,,
2183,6,,2.280106544494629,0.451200008392334,
2183,6,,,,0.499099999666214
2199,7,1.3566210269927979,,,
2249,7,1.4493029117584229,,,
2299,7,1.2484474182128906,,,
2349,7,0.7073460221290588,,,
2399,7,1.3066437244415283,,,
2449,7,1.5067447423934937,,,
2495,7,,1.300414800643921,0.5807999968528748,
2495,7,,,,0.6510000228881836
2499,8,0.22816932201385498,,,
2549,8,0.6300781965255737,,,
2599,8,1.2070930004119873,,,
2649,8,1.5888181924819946,,,
2699,8,0.44453805685043335,,,
2749,8,1.3215053081512451,,,
2799,8,0.9625078439712524,,,
2807,8,,1.2668063640594482,0.6004999876022339,
2807,8,,,,0.6729000210762024
2849,9,0.7321124076843262,,,
2899,9,0.44986677169799805,,,
2949,9,1.2872240543365479,,,
2999,9,0.44423890113830566,,,
3049,9,0.7038682699203491,,,
3099,9,0.8868963718414307,,,
3119,9,,1.1749083995819092,0.6362000107765198,
3119,9,,,,0.7250999808311462
3149,10,1.2350213527679443,,,
3199,10,-0.18257951736450195,,,
3249,10,0.40052902698516846,,,
3299,10,0.2111189365386963,,,
3349,10,0.02958393096923828,,,
3399,10,0.570670485496521,,,
3431,10,,1.1640708446502686,0.6467000246047974,
3431,10,,,,0.7239000201225281
3449,11,-0.5389125347137451,,,
3499,11,1.0427427291870117,,,
3549,11,0.5288864374160767,,,
3599,11,0.04915940761566162,,,
3649,11,1.258425235748291,,,
3699,11,0.8609027862548828,,,
3743,11,,1.1761794090270996,0.6419000029563904,
3743,11,,,,0.7178000211715698
3749,12,0.6793390512466431,,,
3799,12,0.05358171463012695,,,
3849,12,0.38894641399383545,,,
3899,12,1.2010455131530762,,,
3949,12,1.2963143587112427,,,
3999,12,1.0279083251953125,,,
4049,12,0.3536125421524048,,,
4055,12,,1.1702189445495605,0.6514999866485596,
4055,12,,,,0.7339000105857849
4099,13,0.7170790433883667,,,
4149,13,-0.11173152923583984,,,
4199,13,1.0426433086395264,,,
4249,13,-0.6631560325622559,,,
4299,13,-0.25938403606414795,,,
4349,13,-0.07126188278198242,,,
4367,13,,1.1615588665008545,0.6622999906539917,
4367,13,,,,0.7483000159263611
4399,14,-1.9303163290023804,,,
4449,14,0.9052411317825317,,,
4499,14,0.005569934844970703,,,
4549,14,0.6400476694107056,,,
4599,14,-0.621537446975708,,,
4649,14,-1.392167329788208,,,
4679,14,,1.1267433166503906,0.671500027179718,
4679,14,,,,0.763700008392334
4699,15,-0.2294703722000122,,,
4749,15,0.7739318609237671,,,
4799,15,0.5944410562515259,,,
4849,15,0.46176111698150635,,,
4899,15,0.1635042428970337,,,
4949,15,-1.93326997756958,,,
4991,15,,1.0949838161468506,0.6776999831199646,
4991,15,,,,0.7753000259399414
4999,16,1.0876542329788208,,,
5049,16,0.2789086103439331,,,
5099,16,0.9432740211486816,,,
5149,16,-1.3400428295135498,,,
5199,16,0.12273025512695312,,,
5249,16,0.17086422443389893,,,
5299,16,0.0916588306427002,,,
5303,16,,1.1082172393798828,0.6784999966621399,
5303,16,,,,0.7741000056266785
5349,17,-0.7776236534118652,,,
5399,17,0.570770263671875,,,
5449,17,0.71372389793396,,,
5499,17,0.20681965351104736,,,
5549,17,1.1705126762390137,,,
5599,17,-0.28802943229675293,,,
5615,17,,1.1044645309448242,0.6909999847412109,
5615,17,,,,0.7885000109672546
5649,18,0.5698802471160889,,,
5699,18,-1.6144064664840698,,,
5749,18,0.2550983428955078,,,
5799,18,0.4168041944503784,,,
5849,18,-0.9173486232757568,,,
5899,18,-0.4134814739227295,,,
5927,18,,1.127820611000061,0.691100001335144,
5927,18,,,,0.7814000248908997
5949,19,-0.08590877056121826,,,
5999,19,0.6630017757415771,,,
6049,19,0.08901023864746094,,,
6099,19,-1.547536849975586,,,
6149,19,1.017763376235962,,,
6199,19,0.7336605787277222,,,
6239,19,,1.1161139011383057,0.6949999928474426,
6239,19,,,,0.7858999967575073
6249,20,0.4145698547363281,,,
6299,20,0.5856156349182129,,,
6349,20,-1.8211637735366821,,,
6399,20,-1.5089341402053833,,,
6449,20,-1.2482917308807373,,,
6499,20,-0.9428054094314575,,,
6549,20,-1.1578948497772217,,,
6551,20,,1.0968108177185059,0.7010999917984009,
6551,20,,,,0.7903000116348267
6599,21,0.6466634273529053,,,
6649,21,-1.7313108444213867,,,
6699,21,-0.29274117946624756,,,
6749,21,-0.17235374450683594,,,
6799,21,0.1761941909790039,,,
6849,21,0.6311526298522949,,,
6863,21,,1.1412233114242554,0.6866999864578247,
6863,21,,,,0.7739999890327454
6899,22,-0.5396170616149902,,,
6949,22,0.5602707862854004,,,
6999,22,0.8711881637573242,,,
7049,22,-3.3277289867401123,,,
7099,22,-1.1185225248336792,,,
7149,22,-0.8819918632507324,,,
7175,22,,1.1134063005447388,0.703499972820282,
7175,22,,,,0.8027999997138977
7199,23,-3.881018877029419,,,
7249,23,-2.176774024963379,,,
7299,23,-2.3053646087646484,,,
7349,23,0.4782930612564087,,,
7399,23,0.7372543811798096,,,
7449,23,-1.9746925830841064,,,
7487,23,,1.115189790725708,0.7081999778747559,
7487,23,,,,0.8190000057220459
7499,24,-0.4217207431793213,,,
7549,24,-0.34232890605926514,,,
7599,24,-1.4862812757492065,,,
7649,24,-0.20354056358337402,,,
7699,24,-1.467083215713501,,,
7749,24,-1.722381830215454,,,
7799,24,-2.542414665222168,,,
7799,24,,1.1218061447143555,0.7098000049591064,
7799,24,,,,0.8073999881744385
7849,25,0.6247823238372803,,,
7899,25,-0.04766654968261719,,,
7949,25,-3.0686421394348145,,,
7999,25,0.49996674060821533,,,
8049,25,-0.9781966209411621,,,
8099,25,-2.088289260864258,,,
8111,25,,1.1418330669403076,0.7060999870300293,
8111,25,,,,0.8033000230789185
8149,26,-3.466731548309326,,,
8199,26,0.4317629337310791,,,
8249,26,-1.8336576223373413,,,
8299,26,-3.137118339538574,,,
8349,26,0.6936386823654175,,,
8399,26,-1.470907211303711,,,
8423,26,,1.145652174949646,0.7152000069618225,
8423,26,,,,0.8138999938964844
8449,27,-2.2096378803253174,,,
8499,27,-0.04320049285888672,,,
8549,27,0.1356334686279297,,,
8599,27,-2.3561577796936035,,,
8649,27,-0.7217507362365723,,,
8699,27,-2.962801933288574,,,
8735,27,,1.1193784475326538,0.7240999937057495,
8735,27,,,,0.8270000219345093
8749,28,0.26278436183929443,,,
8799,28,0.7967627048492432,,,
8849,28,-1.930245280265808,,,
8899,28,-2.951486587524414,,,
8949,28,-4.209856033325195,,,
8999,28,0.409351110458374,,,
9047,28,,1.0991300344467163,0.7215999960899353,
9047,28,,,,0.8234000205993652
9049,29,0.2987957000732422,,,
9099,29,-0.8682475090026855,,,
9149,29,-0.6768882274627686,,,
9199,29,-1.7425947189331055,,,
9249,29,0.5146267414093018,,,
9299,29,-2.922318935394287,,,
9349,29,-0.5357694625854492,,,
9359,29,,1.1324747800827026,0.7211999893188477,
9359,29,,,,0.8136000037193298
9399,30,-2.319373846054077,,,
9449,30,-1.778064250946045,,,
9499,30,0.3895750045776367,,,
9549,30,-2.2667908668518066,,,
9599,30,-0.7176992893218994,,,
9649,30,0.32042694091796875,,,
9671,30,,1.139111876487732,0.7250999808311462,
9671,30,,,,0.8259000182151794
9699,31,-1.7889505624771118,,,
9749,31,-1.0895633697509766,,,
9799,31,0.06856560707092285,,,
9849,31,-1.0881867408752441,,,
9899,31,0.1416722536087036,,,
