epoch,step,test_acc,train_loss
0,49,,1.946333408355713
0,99,,1.9602787494659424
0,149,,1.7242923974990845
0,199,,1.5454868078231812
0,249,,1.426479697227478
0,299,,1.8371740579605103
0,349,,1.7655209302902222
0,389,0.5570999979972839,
1,399,,2.2114760875701904
1,449,,1.9365148544311523
1,499,,2.0964291095733643
1,549,,1.8039084672927856
1,599,,1.9271806478500366
1,649,,1.525101900100708
1,699,,1.1465229988098145
1,749,,1.6253490447998047
1,779,0.6064000129699707,
2,799,,0.8777745962142944
2,849,,1.7485730648040771
2,899,,1.7496328353881836
2,949,,0.9406655430793762
2,999,,1.0380878448486328
2,1049,,1.2636744976043701
2,1099,,0.6640316247940063
2,1149,,1.6499521732330322
2,1169,0.6668000221252441,
3,1199,,0.8473977446556091
3,1249,,1.1575223207473755
3,1299,,0.6322298645973206
3,1349,,1.037062644958496
3,1399,,1.3506674766540527
3,1449,,0.23799008131027222
3,1499,,1.3578088283538818
3,1549,,0.12196648120880127
3,1559,0.6866999864578247,
4,1599,,0.7870657444000244
4,1649,,1.3722840547561646
4,1699,,1.0999274253845215
4,1749,,1.3738478422164917
4,1799,,1.2459694147109985
4,1849,,1.2759664058685303
4,1899,,0.6779120564460754
4,1949,,1.013170838356018
4,1949,0.7447999715805054,
5,1999,,1.4338171482086182
5,2049,,1.1222583055496216
5,2099,,0.5978299975395203
5,2149,,0.171164870262146
5,2199,,0.705622673034668
5,2249,,1.2377468347549438
5,2299,,0.503567099571228
5,2339,0.7602999806404114,
6,2349,,1.0550572872161865
6,2399,,-0.38803285360336304
6,2449,,0.9288977384567261
6,2499,,0.3020366430282593
6,2549,,0.9289554357528687
6,2599,,0.49231624603271484
6,2649,,0.5950746536254883
6,2699,,-0.33852648735046387
6,2729,0.7558000087738037,
7,2749,,-0.05529129505157471
7,2799,,0.94276362657547
7,2849,,0.6372075080871582
7,2899,,-0.02921772003173828
7,2949,,-0.9109728336334229
7,2999,,0.228132963180542
7,3049,,-0.8193008899688721
7,3099,,0.7547862529754639
7,3119,0.7864000201225281,
8,3149,,-0.5593571662902832
8,3199,,-0.366510272026062
8,3249,,0.5091787576675415
8,3299,,0.863450288772583
8,3349,,0.8978803753852844
8,3399,,0.3926048278808594
8,3449,,1.0176937580108643
8,3499,,0.6728298664093018
8,3509,0.7950999736785889,
9,3549,,0.21893954277038574
9,3599,,-0.08733701705932617
9,3649,,0.7140063047409058
9,3699,,0.9208341836929321
9,3749,,-0.8090115785598755
9,3799,,0.7858635187149048
9,3849,,-0.29533684253692627
9,3899,,0.7010488510131836
9,3899,0.8029000163078308,
10,3949,,0.1622011661529541
10,3999,,-0.89814293384552
10,4049,,0.8732550144195557
10,4099,,0.5828490257263184
10,4149,,-1.5731232166290283
10,4199,,0.17280101776123047
10,4249,,-0.08907651901245117
10,4289,0.8217999935150146,
11,4299,,0.7695585489273071
11,4349,,-0.01613450050354004
11,4399,,-1.3803746700286865
11,4449,,-0.6970915794372559
11,4499,,-0.1791996955871582
11,4549,,-0.3743480443954468
11,4599,,-1.2082324028015137
11,4649,,0.45311999320983887
11,4679,0.824400007724762,
12,4699,,0.5086979866027832
12,4749,,-1.114051342010498
12,4799,,0.6026637554168701
12,4849,,0.21836447715759277
12,4899,,-0.28343892097473145
12,4949,,-1.2490218877792358
12,4999,,-2.799215316772461
12,5049,,-0.9815609455108643
12,5069,0.8162999749183655,
13,5099,,-0.3082892894744873
13,5149,,-0.669460654258728
13,5199,,-1.3184568881988525
13,5249,,-0.039653778076171875
13,5299,,-1.482330322265625
13,5349,,-1.2679506540298462
13,5399,,-1.3447914123535156
13,5449,,-2.2757341861724854
13,5459,0.820900022983551,
14,5499,,-2.275763988494873
14,5549,,-1.5181466341018677
14,5599,,-2.824357032775879
14,5649,,-0.07689476013183594
14,5699,,0.4913144111633301
14,5749,,0.11513972282409668
14,5799,,-2.537886619567871
14,5849,,-0.11944329738616943
14,5849,0.8170999884605408,
15,5899,,-1.1393861770629883
15,5949,,-0.8249671459197998
15,5999,,0.43613243103027344
15,6049,,-0.051643967628479004
15,6099,,-1.0421217679977417
15,6149,,-1.1254441738128662
15,6199,,-2.161026954650879
15,6239,0.83160001039505,
16,6249,,-0.6640188694000244
16,6299,,0.22043442726135254
16,6349,,-1.101041316986084
16,6399,,-1.8474162817001343
16,6449,,-2.0389132499694824
16,6499,,-2.287853717803955
16,6549,,0.2694164514541626
16,6599,,-2.100440502166748
16,6629,0.8457000255584717,
17,6649,,-2.2504565715789795
17,6699,,-0.4571291208267212
17,6749,,-2.7811057567596436
17,6799,,-2.0548171997070312
17,6849,,0.642371654510498
17,6899,,-1.385443925857544
17,6949,,-1.3594692945480347
17,6999,,-0.1821666955947876
17,7019,0.8403000235557556,
18,7049,,-1.5679593086242676
18,7099,,-3.7529172897338867
18,7149,,-0.6616346836090088
18,7199,,-0.2780170440673828
18,7249,,0.10264134407043457
18,7299,,-0.09865152835845947
18,7349,,-1.3916950225830078
18,7399,,-3.3451972007751465
18,7409,0.8481000065803528,
19,7449,,-4.493722438812256
19,7499,,-3.7191171646118164
19,7549,,-0.9898476600646973
19,7599,,-0.5323063135147095
19,7649,,-0.21253013610839844
19,7699,,-0.016968965530395508
19,7749,,-0.48059773445129395
19,7799,,0.10387718677520752
19,7799,0.8543000221252441,
20,7849,,-1.0759673118591309
20,7899,,-0.051579833030700684
20,7949,,-3.7196524143218994
20,7999,,-4.920447826385498
20,8049,,-1.3556725978851318
20,8099,,-5.001300811767578
20,8149,,-4.3820624351501465
20,8189,0.8550999760627747,
21,8199,,-5.9437761306762695
21,8249,,-2.3072774410247803
21,8299,,-2.6106204986572266
