train_loss1,epoch,train_loss2,step,val_acc1,val_acc2,train_acc1,train_acc2,test_acc
0.01385288592427969,0,0.013671353459358215,49,,,,,
0.014617465436458588,0,0.014865957200527191,99,,,,,
0.014665420167148113,0,0.014619965106248856,149,,,,,
0.013972063548862934,0,0.013768255710601807,199,,,,,
0.014276761561632156,0,0.014290735125541687,249,,,,,
0.012997268699109554,0,0.013434343971312046,299,,,,,
,0,,311,0.33899998664855957,0.390500009059906,,,
,0,,311,,,0.3175080120563507,0.32341745495796204,0.3594000041484833
0.012312239035964012,1,0.012209884822368622,349,,,,,
0.01188032515347004,1,0.011809932067990303,399,,,,,
0.011752262711524963,1,0.011369087733328342,449,,,,,
0.011364768259227276,1,0.011260862462222576,499,,,,,
0.012146666646003723,1,0.011722445487976074,549,,,,,
0.01169771421700716,1,0.011487356387078762,599,,,,,
,1,,623,0.4975000023841858,0.49380001425743103,,,
,1,,623,,,0.43734976649284363,0.4445362687110901,0.5461999773979187
0.012965473346412182,2,0.012964245863258839,649,,,,,
0.010531989857554436,2,0.010879365727305412,699,,,,,
0.010726090520620346,2,0.010721597820520401,749,,,,,
0.01067805290222168,2,0.009752446785569191,799,,,,,
0.009284976869821548,2,0.008834030479192734,849,,,,,
0.009371580556035042,2,0.009526724927127361,899,,,,,
,2,,935,0.5559999942779541,0.524399995803833,,,
,2,,935,,,0.5181540250778198,0.5214343070983887,0.6061000227928162
0.009752754122018814,3,0.009988388046622276,949,,,,,
0.009517036378383636,3,0.010102172382175922,999,,,,,
0.00847062561661005,3,0.009360362775623798,1049,,,,,
0.00869737658649683,3,0.009727426804602146,1099,,,,,
0.0107593834400177,3,0.010570628568530083,1149,,,,,
0.009454659186303616,3,0.009924929589033127,1199,,,,,
,3,,1247,0.5346999764442444,0.5595999956130981,,,
,3,,1247,,,0.5665063858032227,0.5628255009651184,0.5925999879837036
0.007704667281359434,4,0.007725129369646311,1249,,,,,
0.007799276150763035,4,0.007611539214849472,1299,,,,,
0.007668128237128258,4,0.008055375888943672,1349,,,,,
0.009402095340192318,4,0.008944963105022907,1399,,,,,
0.007558794692158699,4,0.007845476269721985,1449,,,,,
0.007652262691408396,4,0.007628204300999641,1499,,,,,
0.006717294454574585,4,0.007296512369066477,1549,,,,,
,4,,1559,0.5838000178337097,0.6050999760627747,,,
,4,,1559,,,0.6017628312110901,0.5951772928237915,0.6549999713897705
0.00782964937388897,5,0.007862339727580547,1599,,,,,
0.006104354280978441,5,0.006399726029485464,1649,,,,,
0.0052709258161485195,5,0.005352092906832695,1699,,,,,
0.008127945475280285,5,0.007962300442159176,1749,,,,,
0.007002288941293955,5,0.0067898062989115715,1799,,,,,
0.005455589387565851,5,0.005646936129778624,1849,,,,,
,5,,1871,0.6021000146865845,0.6258000135421753,,,
,5,,1871,,,0.6269781589508057,0.6207932829856873,0.6848999857902527
0.006444907747209072,6,0.006462812889367342,1899,,,,,
0.00618734210729599,6,0.005533912219107151,1949,,,,,
0.006393240764737129,6,0.006725882645696402,1999,,,,,
0.00830240361392498,6,0.008613521233201027,2049,,,,,
0.005049929488450289,6,0.004994512535631657,2099,,,,,
0.007055502850562334,6,0.00669675599783659,2149,,,,,
,6,,2183,0.6694999933242798,0.6614999771118164,,,
,6,,2183,,,0.6507411599159241,0.6487630009651184,0.7617999911308289
0.0056122723035514355,7,0.005595636088401079,2199,,,,,
0.004802995827049017,7,0.004248070064932108,2249,,,,,
0.004221269860863686,7,0.003907219041138887,2299,,,,,
0.005394941661506891,7,0.0054802363738417625,2349,,,,,
0.004457347095012665,7,0.00486462377011776,2399,,,,,
0.004317526239901781,7,0.004921331070363522,2449,,,,,
,7,,2495,0.6675000190734863,0.656000018119812,,,
,7,,2495,,,0.6677684187889099,0.6666666865348816,0.758400022983551
0.0038192681968212128,8,0.004024440888315439,2499,,,,,
0.006457127630710602,8,0.006283598951995373,2549,,,,,
0.0045686340890824795,8,0.004963809158653021,2599,,,,,
0.004379004240036011,8,0.004287714138627052,2649,,,,,
0.0029539703391492367,8,0.003946466837078333,2699,,,,,
0.001962133217602968,8,0.0024935510009527206,2749,,,,,
0.00463883625343442,8,0.004700982943177223,2799,,,,,
,8,,2807,0.6729000210762024,0.654699981212616,,,
,8,,2807,,,0.6843699812889099,0.6803635954856873,0.7645999789237976
0.006300096865743399,9,0.007360567804425955,2849,,,,,
0.0051405169069767,9,0.004623929969966412,2899,,,,,
0.003931254148483276,9,0.003916607704013586,2949,,,,,
0.0034718841779977083,9,0.004543946124613285,2999,,,,,
0.0025817393325269222,9,0.0024723077658563852,3049,,,,,
0.00273788720369339,9,0.002895917510613799,3099,,,,,
,9,,3119,0.6909000277519226,0.6834999918937683,,,
,9,,3119,,,0.6935597062110901,0.6946614384651184,0.7875000238418579
0.0030464467126876116,10,0.0034604896791279316,3149,,,,,
0.004400778561830521,10,0.004673229996114969,3199,,,,,
0.0034420855809003115,10,0.0033604553900659084,3249,,,,,
0.00210737157613039,10,0.002341712126508355,3299,,,,,
0.004203876480460167,10,0.003309692954644561,3349,,,,,
0.00262805400416255,10,0.002791546517983079,3399,,,,,
,10,,3431,0.6859999895095825,0.6998000144958496,,,
,10,,3431,,,0.7036007642745972,0.701246976852417,0.7853999733924866
0.0028741697315126657,11,0.0029677157290279865,3449,,,,,
0.0019675609655678272,11,0.00243215449154377,3499,,,,,
0.004659934435039759,11,0.003963130991905928,3549,,,,,
0.002506920602172613,11,0.0020783687941730022,3599,,,,,
0.001597413793206215,11,0.002556097460910678,3649,,,,,
0.004968081600964069,11,0.00435815192759037,3699,,,,,
,11,,3743,0.6991000175476074,0.6787999868392944,,,
,11,,3743,,,0.711012601852417,0.7116386294364929,0.7918999791145325
0.005450750235468149,12,0.006071518640965223,3749,,,,,
0.0018522967584431171,12,0.002559197600930929,3799,,,,,
0.001494266907684505,12,0.0016995402984321117,3849,,,,,
0.0038305448833853006,12,0.002446158090606332,3899,,,,,
0.0034536290913820267,12,0.0030629385728389025,3949,,,,,
0.0021838555112481117,12,0.002074912656098604,3999,,,,,
0.003279133467003703,12,0.0032035717740654945,4049,,,,,
,12,,4055,0.7052000164985657,0.7135000228881836,,,
,12,,4055,,,0.7167718410491943,0.7156950831413269,0.8062000274658203
0.0012337022926658392,13,0.0010551208397373557,4099,,,,,
0.0022847019135951996,13,0.00166284607257694,4149,,,,,
0.002412716392427683,13,0.0030345420818775892,4199,,,,,
0.0028248943854123354,13,0.0023789394181221724,4249,,,,,
0.0028370385989546776,13,0.0029689145740121603,4299,,,,,
0.0023702841717749834,13,0.002094620605930686,4349,,,,,
,13,,4367,0.7138000130653381,0.7142999768257141,,,
,13,,4367,,,0.7264122366905212,0.724684476852417,0.8097000122070312
0.0014327829703688622,14,0.0014560837298631668,4399,,,,,
0.0018602332565933466,14,0.002374212723225355,4449,,,,,
0.0036539072170853615,14,0.0033729912247508764,4499,,,,,
0.003657824359834194,14,0.004178893286734819,4549,,,,,
0.0012887807097285986,14,0.0017667729407548904,4599,,,,,
0.003104281611740589,14,0.003272408852353692,4649,,,,,
,14,,4679,0.695900022983551,0.6920999884605408,,,
,14,,4679,,,0.7309695482254028,0.7293669581413269,0.7954000234603882
0.004487605299800634,15,0.004461383912712336,4699,,,,,
0.0020871616434305906,15,0.0029440689831972122,4749,,,,,
0.001238834229297936,15,0.0011511872289702296,4799,,,,,
0.0012788254534825683,15,0.0013215694343671203,4849,,,,,
0.0015911656664684415,15,0.0011973271612077951,4899,,,,,
0.001999335829168558,15,0.00239786459133029,4949,,,,,
