epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
0,49,1.9354963302612305,,,,
0,99,1.8964046239852905,,,,
0,149,1.761889934539795,,,,
0,199,1.5915923118591309,,,,
0,249,1.7748771905899048,,,,
0,299,1.7104285955429077,,,,
0,311,,1.932368516921997,0.32030001282691956,,
0,311,,,,0.2604667544364929,0.4004000127315521
1,349,1.4622093439102173,,,,
1,399,1.484317421913147,,,,
1,449,1.5341932773590088,,,,
1,499,1.288263201713562,,,,
1,549,1.4069322347640991,,,,
1,599,1.679248571395874,,,,
1,623,,1.9013549089431763,0.3637999892234802,,
1,623,,,,0.3432992696762085,0.4788999855518341
2,649,1.173729419708252,,,,
2,699,1.140493631362915,,,,
2,749,1.1086738109588623,,,,
2,799,0.988823652267456,,,,
2,849,1.0326999425888062,,,,
2,899,1.3269107341766357,,,,
2,935,,1.864285945892334,0.39910000562667847,,
2,935,,,,0.38844650983810425,0.5236999988555908
3,949,0.8848195672035217,,,,
3,999,0.6353411674499512,,,,
3,1049,0.626133918762207,,,,
3,1099,0.7125426530838013,,,,
3,1149,0.8586897850036621,,,,
3,1199,0.9674136638641357,,,,
3,1247,,1.7984224557876587,0.4429999887943268,,
3,1247,,,,0.42543068528175354,0.5823000073432922
4,1249,0.5435267686843872,,,,
4,1299,0.7487497329711914,,,,
4,1349,0.10146737098693848,,,,
4,1399,-0.030365824699401855,,,,
4,1449,0.4849127531051636,,,,
4,1499,0.8569177389144897,,,,
4,1549,0.2701002359390259,,,,
4,1559,,1.8820035457611084,0.45879998803138733,,
4,1559,,,,0.4530498683452606,0.6215000152587891
5,1599,0.28891265392303467,,,,
5,1649,0.1390383243560791,,,,
5,1699,0.12066507339477539,,,,
5,1749,-0.42515456676483154,,,,
5,1799,-0.002321958541870117,,,,
5,1849,0.21857106685638428,,,,
5,1871,,1.9600359201431274,0.4652000069618225,,
5,1871,,,,0.4761869013309479,0.6297000050544739
6,1899,-0.860945463180542,,,,
6,1949,-0.34867215156555176,,,,
6,1999,-0.4299558401107788,,,,
6,2049,-0.4654421806335449,,,,
6,2099,-0.4093947410583496,,,,
6,2149,-0.8769702911376953,,,,
6,2183,,1.9680511951446533,0.48809999227523804,,
6,2183,,,,0.49201223254203796,0.6596999764442444
7,2199,-0.8509787321090698,,,,
7,2249,-1.0313172340393066,,,,
7,2299,-1.1510388851165771,,,,
7,2349,-1.4011517763137817,,,,
7,2399,-1.2064354419708252,,,,
7,2449,-0.7141937017440796,,,,
7,2495,,1.9214335680007935,0.517300009727478,,
7,2495,,,,0.5093899965286255,0.7235999703407288
8,2499,-1.426221489906311,,,,
8,2549,-1.811373233795166,,,,
8,2599,-1.2905406951904297,,,,
8,2649,-1.3521301746368408,,,,
8,2699,-1.5733307600021362,,,,
8,2749,-1.6464990377426147,,,,
8,2799,-1.7202908992767334,,,,
8,2807,,2.0174219608306885,0.5278000235557556,,
8,2807,,,,0.5266926884651184,0.732200026512146
9,2849,-1.8340535163879395,,,,
9,2899,-1.5992963314056396,,,,
9,2949,-2.0851545333862305,,,,
9,2999,-2.033111572265625,,,,
9,3049,-1.9925875663757324,,,,
9,3099,-1.8230254650115967,,,,
9,3119,,2.092998743057251,0.5277000069618225,,
9,3119,,,,0.538010835647583,0.7383999824523926
10,3149,-1.2193489074707031,,,,
10,3199,-1.5980119705200195,,,,
10,3249,-1.808298110961914,,,,
10,3299,-1.5587663650512695,,,,
10,3349,-1.7571687698364258,,,,
10,3399,-1.7698252201080322,,,,
10,3431,,2.444425106048584,0.4932999908924103,,
10,3431,,,,0.4677734375,0.6829000115394592
11,3449,-2.480292558670044,,,,
11,3499,-2.0148818492889404,,,,
11,3549,-1.886873722076416,,,,
11,3599,-2.140474319458008,,,,
11,3649,-2.489109754562378,,,,
11,3699,-2.348830223083496,,,,
11,3743,,2.373718023300171,0.5049999952316284,,
11,3743,,,,0.5033053159713745,0.7008000016212463
12,3749,-2.6845712661743164,,,,
12,3799,-2.430341958999634,,,,
