step,train_loss,epoch,test_acc
49,-0.13588237762451172,0,
99,-0.15193212032318115,0,
149,-0.3084564208984375,0,
199,-0.29857468605041504,0,
249,-0.2899218201637268,0,
299,-0.38230574131011963,0,
349,-0.3670124411582947,0,
389,,0,0.5055999755859375
399,-0.38473016023635864,1,
449,-0.44324326515197754,1,
499,-0.3541639447212219,1,
549,-0.37484604120254517,1,
599,-0.3948894739151001,1,
649,-0.40361976623535156,1,
699,-0.42658668756484985,1,
749,-0.36405259370803833,1,
779,,1,0.5681999921798706
799,-0.3202490210533142,2,
849,-0.44048458337783813,2,
899,-0.5559439659118652,2,
949,-0.5545827150344849,2,
999,-0.4512580633163452,2,
1049,-0.3428153395652771,2,
1099,-0.5810583233833313,2,
1149,-0.45345860719680786,2,
1169,,2,0.6384999752044678
1199,-0.4337073564529419,3,
1249,-0.504926323890686,3,
1299,-0.5258505940437317,3,
1349,-0.5493534803390503,3,
1399,-0.539459228515625,3,
1449,-0.5625864267349243,3,
1499,-0.544502854347229,3,
1549,-0.5321425199508667,3,
1559,,3,0.671500027179718
1599,-0.5258429050445557,4,
1649,-0.4904221296310425,4,
1699,-0.5120543837547302,4,
1749,-0.5374810695648193,4,
1799,-0.4915832281112671,4,
1849,-0.4758477807044983,4,
1899,-0.4395301938056946,4,
1949,-0.4426218867301941,4,
1949,,4,0.6956999897956848
1999,-0.5337101817131042,5,
2049,-0.5412135720252991,5,
2099,-0.6926045417785645,5,
2149,-0.5968867540359497,5,
2199,-0.5169923901557922,5,
2249,-0.6054434180259705,5,
2299,-0.5737453699111938,5,
2339,,5,0.7312999963760376
2349,-0.5539620518684387,6,
2399,-0.6392259001731873,6,
2449,-0.5802463293075562,6,
2499,-0.539305567741394,6,
2549,-0.6218518614768982,6,
2599,-0.6636323928833008,6,
2649,-0.5521111488342285,6,
2699,-0.5902942419052124,6,
2729,,6,0.7423999905586243
2749,-0.6220142841339111,7,
2799,-0.6276666522026062,7,
2849,-0.6577553749084473,7,
2899,-0.6371436715126038,7,
2949,-0.5475428700447083,7,
2999,-0.6886789202690125,7,
3049,-0.6191247701644897,7,
3099,-0.6469908356666565,7,
3119,,7,0.7617999911308289
3149,-0.7024795413017273,8,
3199,-0.6707766056060791,8,
3249,-0.6910459399223328,8,
3299,-0.6898654103279114,8,
3349,-0.7251399755477905,8,
3399,-0.6065342426300049,8,
3449,-0.6639766097068787,8,
3499,-0.6180019974708557,8,
3509,,8,0.7875999808311462
3549,-0.6906226873397827,9,
3599,-0.6333691477775574,9,
3649,-0.6021206974983215,9,
3699,-0.6324712038040161,9,
3749,-0.6766279935836792,9,
3799,-0.5089048743247986,9,
3849,-0.6637173891067505,9,
3899,-0.6167993545532227,9,
3899,,9,0.7831000089645386
3949,2.2994723320007324,10,
3999,2.2721445560455322,10,
4049,2.4958653450012207,10,
4099,2.1845107078552246,10,
4149,2.1386797428131104,10,
4199,2.0998663902282715,10,
4249,2.420607805252075,10,
4289,,10,0.7971000075340271
4299,2.343559741973877,11,
4349,2.198847532272339,11,
4399,1.9140968322753906,11,
4449,2.3883376121520996,11,
4499,2.0224385261535645,11,
4549,2.2441680431365967,11,
4599,2.227969169616699,11,
4649,2.4337069988250732,11,
4679,,11,0.8057000041007996
4699,2.163973093032837,12,
4749,2.239985942840576,12,
4799,2.2084147930145264,12,
4849,2.061641216278076,12,
4899,2.0219180583953857,12,
4949,2.1196181774139404,12,
4999,2.120500087738037,12,
5049,2.0579993724823,12,
5069,,12,0.8141000270843506
5099,2.2698826789855957,13,
5149,2.21000337600708,13,
5199,2.2558085918426514,13,
5249,2.142707109451294,13,
5299,2.2092320919036865,13,
5349,2.126626968383789,13,
5399,2.103318929672241,13,
5449,1.9875922203063965,13,
5459,,13,0.8180000185966492
5499,2.14168119430542,14,
5549,2.237323760986328,14,
5599,2.233562469482422,14,
5649,1.5919983386993408,14,
5699,2.285848617553711,14,
5749,2.0303375720977783,14,
5799,2.222780466079712,14,
5849,2.169879913330078,14,
5849,,14,0.8274000287055969
5899,2.1559646129608154,15,
5949,2.1821365356445312,15,
5999,2.203500747680664,15,
6049,1.9854555130004883,15,
6099,2.234673500061035,15,
6149,2.1748099327087402,15,
6199,2.214911699295044,15,
6239,,15,0.8370000123977661
6249,2.1578664779663086,16,
6299,1.8829801082611084,16,
6349,2.1138010025024414,16,
6399,2.1776628494262695,16,
6449,2.150407075881958,16,
6499,2.047077178955078,16,
6549,2.276780366897583,16,
6599,2.0726022720336914,16,
6629,,16,0.836899995803833
6649,2.202895402908325,17,
6699,2.1281540393829346,17,
6749,2.1182987689971924,17,
6799,2.0415563583374023,17,
6849,2.093057632446289,17,
6899,1.603787899017334,17,
6949,2.267214775085449,17,
6999,2.223006248474121,17,
7019,,17,0.8489999771118164
7049,1.9277194738388062,18,
7099,1.9354076385498047,18,
7149,2.2254724502563477,18,
7199,1.8780714273452759,18,
7249,2.0967445373535156,18,
7299,1.8246206045150757,18,
7349,2.118321180343628,18,
7399,2.1046032905578613,18,
7409,,18,0.8514999747276306
7449,2.007671594619751,19,
7499,1.7153775691986084,19,
7549,1.5998561382293701,19,
7599,2.2808120250701904,19,
7649,2.288956642150879,19,
7699,2.0595078468322754,19,
7749,2.1468796730041504,19,
7799,2.2948479652404785,19,
7799,,19,0.8634999990463257
7849,1.9549254179000854,20,
7899,2.129138708114624,20,
7949,1.9630303382873535,20,
7999,1.813777208328247,20,
8049,2.0697476863861084,20,
8099,1.6080946922302246,20,
8149,2.252692222595215,20,
8189,,20,0.8672999739646912
8199,2.032738208770752,21,
8249,2.197923421859741,21,
8299,2.171304225921631,21,
8349,2.105605125427246,21,
8399,2.085799217224121,21,
8449,2.094331979751587,21,
8499,1.8543291091918945,21,
8549,2.0810508728027344,21,
8579,,21,0.8682000041007996
8599,1.7820444107055664,22,
8649,2.0892083644866943,22,
8699,2.2654356956481934,22,
8749,2.284437656402588,22,
8799,2.0545763969421387,22,
8849,1.8974008560180664,22,
8899,2.2191288471221924,22,
8949,2.011286497116089,22,
