step,train_loss,epoch,val_acc,val_loss,train_acc,test_acc
14397,,45,0.7346000075340271,0.8281818628311157,,
14397,,45,,,0.771049976348877,0.7451542615890503
14399,0.4599933326244354,46,,,,
14449,0.36477747559547424,46,,,,
14499,0.5074872970581055,46,,,,
14549,0.49350494146347046,46,,,,
14599,0.484083890914917,46,,,,
14649,0.4681429862976074,46,,,,
14699,0.48243892192840576,46,,,,
14710,,46,0.7524999976158142,0.7580826878547668,,
14710,,46,,,0.7727000117301941,0.7455498576164246
14749,0.10751748085021973,47,,,,
14799,0.526936411857605,47,,,,
14849,0.4068485200405121,47,,,,
14899,0.5448622107505798,47,,,,
14949,0.36681175231933594,47,,,,
14999,0.25357264280319214,47,,,,
15023,,47,0.760200023651123,0.7295145392417908,,
15023,,47,,,0.7737500071525574,0.7574169039726257
15049,0.5394233465194702,48,,,,
15099,0.3467341661453247,48,,,,
15149,0.3448571562767029,48,,,,
15199,0.4837387204170227,48,,,,
15249,0.4541829228401184,48,,,,
15299,0.3821255564689636,48,,,,
15336,,48,0.7556999921798706,0.7229788303375244,,
15336,,48,,,0.7741249799728394,0.774030864238739
15349,0.30743566155433655,49,,,,
15399,0.24693328142166138,49,,,,
15449,0.349612295627594,49,,,,
15499,0.5731961131095886,49,,,,
15549,0.40640348196029663,49,,,,
15599,0.5824039578437805,49,,,,
15649,0.5284931659698486,49,,,,
15649,,49,0.7560999989509583,0.7200877070426941,,
15649,,49,,,0.7751500010490417,0.7521756291389465
15699,0.3088195025920868,50,,,,
15749,0.4277254343032837,50,,,,
15799,0.42447787523269653,50,,,,
15849,0.3572918474674225,50,,,,
15899,0.5524009466171265,50,,,,
15949,0.29503798484802246,50,,,,
15962,,50,0.7365000247955322,0.8215454816818237,,
15962,,50,,,0.7806749939918518,0.7414952516555786
15999,0.3365946412086487,51,,,,
16049,0.3763826787471771,51,,,,
16099,0.3257610499858856,51,,,,
16149,0.31998929381370544,51,,,,
16199,0.36844944953918457,51,,,,
16249,0.24413689970970154,51,,,,
16275,,51,0.7494999766349792,0.750939130783081,,
16275,,51,,,0.7761750221252441,0.7367483973503113
16299,0.4840086102485657,52,,,,
16349,0.2675630450248718,52,,,,
16399,0.314763605594635,52,,,,
16449,0.213981032371521,52,,,,
16499,0.42828670144081116,52,,,,
16549,0.43675464391708374,52,,,,
16588,,52,0.7384999990463257,0.8013690710067749,,
16588,,52,,,0.7805749773979187,0.7592958807945251
16599,0.46580177545547485,53,,,,
16649,0.31769895553588867,53,,,,
16699,0.360054075717926,53,,,,
16749,0.3780026435852051,53,,,,
16799,0.40359681844711304,53,,,,
16849,0.23432350158691406,53,,,,
16899,0.284774512052536,53,,,,
16901,,53,0.7177000045776367,0.8265286087989807,,
16901,,53,,,0.7780249714851379,0.7651305198669434
16949,0.5026292204856873,54,,,,
16999,0.17302954196929932,54,,,,
17049,0.43293967843055725,54,,,,
17099,0.37010031938552856,54,,,,
17149,0.4056277573108673,54,,,,
17199,0.3797648549079895,54,,,,
17214,,54,0.7577000260353088,0.7433240413665771,,
17214,,54,,,0.7800750136375427,0.7536590099334717
17249,0.26930633187294006,55,,,,
17299,0.3502539396286011,55,,,,
17349,0.4316064119338989,55,,,,
17399,0.32929226756095886,55,,,,
17449,0.3467629849910736,55,,,,
17499,0.16688954830169678,55,,,,
17527,,55,0.7602999806404114,0.7391192317008972,,
17527,,55,,,0.7806249856948853,0.7748219966888428
17549,0.33445683121681213,56,,,,
17599,0.4223390221595764,56,,,,
17649,0.17289352416992188,56,,,,
17699,0.4839283227920532,56,,,,
17749,0.43846383690834045,56,,,,
17799,0.5260492563247681,56,,,,
17840,,56,0.7771000266075134,0.6652683615684509,,
17840,,56,,,0.7797999978065491,0.7663172483444214
17849,0.19471514225006104,57,,,,
17899,0.3979792892932892,57,,,,
17949,0.28850632905960083,57,,,,
17999,0.3361923098564148,57,,,,
18049,0.3458085060119629,57,,,,
18099,0.36396634578704834,57,,,,
18149,0.37191110849380493,57,,,,
18153,,57,0.7741000056266785,0.6908462643623352,,
18153,,57,,,0.7806749939918518,0.7678995132446289
18199,0.21898877620697021,58,,,,
18249,0.37632641196250916,58,,,,
18299,0.2461566925048828,58,,,,
18349,0.43803778290748596,58,,,,
18399,0.2716674208641052,58,,,,
18449,0.280193030834198,58,,,,
18466,,58,0.7738000154495239,0.687444269657135,,
18466,,58,,,0.7821750044822693,0.7796677350997925
18499,0.2166385054588318,59,,,,
18549,0.34688544273376465,59,,,,
18599,0.3421022891998291,59,,,,
18649,0.49618566036224365,59,,,,
18699,0.3152120113372803,59,,,,
18749,0.3198721706867218,59,,,,
18779,,59,0.770799994468689,0.681937575340271,,
18779,,59,,,0.7822999954223633,0.7582080960273743
18799,0.05038008093833923,60,,,,
18849,0.21888601779937744,60,,,,
18899,0.2793119251728058,60,,,,
18949,0.10429990291595459,60,,,,
18999,-0.06204989552497864,60,,,,
19049,0.042667239904403687,60,,,,
19092,,60,0.8413000106811523,0.4786263108253479,,
19092,,60,,,0.843999981880188,0.8213014006614685
19099,0.008175492286682129,61,,,,
19149,-0.042867690324783325,61,,,,
19199,0.11761093139648438,61,,,,
19249,0.06041222810745239,61,,,,
19299,0.007461756467819214,61,,,,
19349,0.05917954444885254,61,,,,
19399,0.12572795152664185,61,,,,
19405,,61,0.8478999733924866,0.45652490854263306,,
19405,,61,,,0.862625002861023,0.8277294039726257
19449,-0.027024507522583008,62,,,,
19499,0.11837095022201538,62,,,,
19549,-0.14990687370300293,62,,,,
19599,0.11584487557411194,62,,,,
19649,0.11642512679100037,62,,,,
19699,-0.20337195694446564,62,,,,
19718,,62,0.8511999845504761,0.44931337237358093,,
19718,,62,,,0.8725749850273132,0.8286194801330566
19749,-0.011897832155227661,63,,,,
19799,-0.09686979651451111,63,,,,
19849,-0.006298959255218506,63,,,,
19899,0.0683353841304779,63,,,,
19949,0.03869107365608215,63,,,,
19999,-0.14196401834487915,63,,,,
20031,,63,0.8532000184059143,0.4491509199142456,,
20031,,63,,,0.8781499862670898,0.8280261158943176
20049,-0.13386669754981995,64,,,,
20099,-0.055444300174713135,64,,,,
20149,-0.18711760640144348,64,,,,
20199,0.02522900700569153,64,,,,
20249,0.005289912223815918,64,,,,
20299,-0.226532980799675,64,,,,
20344,,64,0.855400025844574,0.44360479712486267,,
20344,,64,,,0.8836249709129333,0.836530864238739
20349,0.0696147084236145,65,,,,
20399,-0.03587990999221802,65,,,,
20449,-0.043538182973861694,65,,,,
20499,-0.09298825263977051,65,,,,
20549,-0.08946096897125244,65,,,,
20599,0.0014897286891937256,65,,,,
20649,-0.05051538348197937,65,,,,
20657,,65,0.8537999987602234,0.4481729567050934,,
20657,,65,,,0.8904500007629395,0.8296083807945251
20699,-0.17432788014411926,66,,,,
20749,-0.13418486714363098,66,,,,
20799,-0.14780420064926147,66,,,,
20849,-0.05700737237930298,66,,,,
20899,-0.19515788555145264,66,,,,
20949,-0.247878298163414,66,,,,
20970,,66,0.858299970626831,0.43340590596199036,,
20970,,66,,,0.8945000171661377,0.835344135761261
20999,-0.10671734809875488,67,,,,
21049,0.0072962939739227295,67,,,,
21099,-0.20718562602996826,67,,,,
21149,-0.031109631061553955,67,,,,
21199,0.11570954322814941,67,,,,
21249,-0.03153577446937561,67,,,,
21283,,67,0.8583999872207642,0.43412166833877563,,
21283,,67,,,0.8957750201225281,0.8340585231781006
21299,-0.17975521087646484,68,,,,
21349,0.03260365128517151,68,,,,
21399,-0.17842897772789001,68,,,,
21449,0.09962019324302673,68,,,,
21499,-0.16740138828754425,68,,,,
21549,-0.05360671877861023,68,,,,
21596,,68,0.8526999950408936,0.4462955594062805,,
21596,,68,,,0.8993499875068665,0.8364319801330566
21599,-0.2389429807662964,69,,,,
21649,-0.09937158226966858,69,,,,
21699,-0.23495666682720184,69,,,,
21749,-0.17482511699199677,69,,,,
21799,-0.12175709009170532,69,,,,
21849,-0.17381548881530762,69,,,,
21899,-0.01833420991897583,69,,,,
21909,,69,0.8553000092506409,0.44350743293762207,,
21909,,69,,,0.902400016784668,0.837124228477478
21949,-0.27106136083602905,70,,,,
21999,-0.26822203397750854,70,,,,
22049,-0.1477087140083313,70,,,,
22099,-0.09678962826728821,70,,,,
22149,-0.10163995623588562,70,,,,
22199,-0.22756701707839966,70,,,,
22222,,70,0.8569999933242798,0.4475306570529938,,
22222,,70,,,0.9012249708175659,0.8414754867553711
22249,-0.14274892210960388,71,,,,
22299,-0.2216903269290924,71,,,,
22349,-0.23532234132289886,71,,,,
22399,-0.11210641264915466,71,,,,
22449,-0.24410153925418854,71,,,,
22499,-0.18222635984420776,71,,,,
22535,,71,0.8583999872207642,0.44387587904930115,,
22535,,71,,,0.9077249765396118,0.8383108973503113
22549,-0.17705246806144714,72,,,,
22599,-0.11168268322944641,72,,,,
22649,-0.17619943618774414,72,,,,
22699,-0.2105187177658081,72,,,,
22749,-0.21999342739582062,72,,,,
22799,-0.17607325315475464,72,,,,
22848,,72,0.8575999736785889,0.44923099875450134,,
22848,,72,,,0.9074749946594238,0.8337618708610535
22849,-0.20462822914123535,73,,,,
22899,-0.10826286673545837,73,,,,
22949,-0.2436142861843109,73,,,,
22999,-0.10178282856941223,73,,,,
23049,-0.229455828666687,73,,,,
23099,-0.26703941822052,73,,,,
23149,-0.19009369611740112,73,,,,
23161,,73,0.8586999773979187,0.45720404386520386,,
23161,,73,,,0.9101750254631042,0.8357397317886353
23199,-0.24912825226783752,74,,,,
23249,-0.24780325591564178,74,,,,
23299,-0.30913227796554565,74,,,,
23349,-0.3498684763908386,74,,,,
23399,-0.12594684958457947,74,,,,
23449,-0.14111623167991638,74,,,,
23474,,74,0.8540999889373779,0.4653629958629608,,
23474,,74,,,0.9142500162124634,0.8332673907279968
23499,-0.034879446029663086,75,,,,
23549,-0.26908302307128906,75,,,,
23599,-0.06523105502128601,75,,,,
23649,-0.21016058325767517,75,,,,
23699,-0.3019188642501831,75,,,,
23749,-0.2300989031791687,75,,,,
23787,,75,0.8550999760627747,0.46029403805732727,,
23787,,75,,,0.9131249785423279,0.8362341523170471
23799,-0.3202269673347473,76,,,,
23849,-0.3018062710762024,76,,,,
23899,-0.11505994200706482,76,,,,
23949,-0.1281505525112152,76,,,,
23999,-0.27607735991477966,76,,,,
24049,-0.24847476184368134,76,,,,
24099,-0.1048249900341034,76,,,,
24100,,76,0.8483999967575073,0.506786584854126,,
24100,,76,,,0.9143999814987183,0.8273338675498962
24149,-0.19136473536491394,77,,,,
24199,-0.2932626008987427,77,,,,
24249,-0.09797999262809753,77,,,,
24299,-0.13317403197288513,77,,,,
24349,-0.14732646942138672,77,,,,
24399,-0.34894388914108276,77,,,,
24413,,77,0.8549000024795532,0.47318795323371887,,
24413,,77,,,0.9144250154495239,0.836530864238739
24449,-0.3176196217536926,78,,,,
24499,-0.23555982112884521,78,,,,
24549,-0.16696175932884216,78,,,,
24599,-0.12990295886993408,78,,,,
24649,-0.24036438763141632,78,,,,
24699,-0.27460700273513794,78,,,,
24726,,78,0.8561999797821045,0.4673052132129669,,
24726,,78,,,0.9156249761581421,0.8331685066223145
24749,-0.21649578213691711,79,,,,
24799,-0.29291456937789917,79,,,,
24849,-0.299263060092926,79,,,,
24899,-0.17267000675201416,79,,,,
24949,-0.277597576379776,79,,,,
24999,-0.25002413988113403,79,,,,
25039,,79,0.8626999855041504,0.46107861399650574,,
25039,,79,,,0.9191750288009644,0.8452333807945251
25049,-0.206313818693161,80,,,,
25099,-0.20280113816261292,80,,,,
25149,-0.30517736077308655,80,,,,
25199,-0.292346328496933,80,,,,
25249,-0.3357657194137573,80,,,,
25299,-0.28841838240623474,80,,,,
25349,-0.2568035423755646,80,,,,
25352,,80,0.8597000241279602,0.46717768907546997,,
25352,,80,,,0.9172499775886536,0.8368275165557861
25399,-0.24548515677452087,81,,,,
25449,-0.2708227038383484,81,,,,
25499,-0.3412187099456787,81,,,,
25549,-0.19249415397644043,81,,,,
25599,-0.25298434495925903,81,,,,
25649,-0.33604690432548523,81,,,,
25665,,81,0.8626000285148621,0.4639582633972168,,
25665,,81,,,0.9180750250816345,0.8394976258277893
25699,-0.22674983739852905,82,,,,
25749,-0.2647283971309662,82,,,,
25799,-0.11208498477935791,82,,,,
25849,-0.27324092388153076,82,,,,
25899,-0.2658524811267853,82,,,,
25949,-0.24570071697235107,82,,,,
25978,,82,0.8483999967575073,0.4973396062850952,,
25978,,82,,,0.9187250137329102,0.8322784900665283
25999,-0.21822589635849,83,,,,
26049,-0.37429696321487427,83,,,,
26099,-0.31119030714035034,83,,,,
26149,-0.3320205807685852,83,,,,
26199,-0.28451675176620483,83,,,,
26249,-0.3329167366027832,83,,,,
26291,,83,0.8639000058174133,0.45367079973220825,,
26291,,83,,,0.9214000105857849,0.8384097814559937
26299,-0.4006301164627075,84,,,,
26349,-0.3249514102935791,84,,,,
26399,-0.434905081987381,84,,,,
26449,-0.32000306248664856,84,,,,
26499,-0.3336128890514374,84,,,,
