train_loss,step,epoch,val_acc,test_acc,train_acc
0.45188847184181213,49,0,,,
0.3638836145401001,99,0,,,
0.38102298974990845,149,0,,,
0.2803914248943329,199,0,,,
0.27611738443374634,249,0,,,
0.35788190364837646,299,0,,,
,311,0,0.3700000047683716,,
,311,0,,0.40149998664855957,0.31845954060554504
0.18336930871009827,349,1,,,
0.28616538643836975,399,1,,,
0.18694402277469635,449,1,,,
0.18509352207183838,499,1,,,
0.16096994280815125,549,1,,,
0.1969766914844513,599,1,,,
,623,1,0.44699999690055847,,
,623,1,,0.4966000020503998,0.43414464592933655
0.1847861260175705,649,2,,,
0.12629149854183197,699,2,,,
0.14760896563529968,749,2,,,
0.0959181934595108,799,2,,,
0.06752795726060867,849,2,,,
0.1311243325471878,899,2,,,
,935,2,0.4749999940395355,,
,935,2,,0.5234000086784363,0.49586838483810425
0.12294815480709076,949,3,,,
0.00022563012316823006,999,3,,,
0.09146630018949509,1049,3,,,
0.05860571563243866,1099,3,,,
0.018598176538944244,1149,3,,,
0.0669630691409111,1199,3,,,
,1247,3,0.5630999803543091,,
,1247,3,,0.6263999938964844,0.5424929857254028
0.008406959474086761,1249,4,,,
0.07441350817680359,1299,4,,,
0.013811379671096802,1349,4,,,
-0.04240202531218529,1399,4,,,
-0.004872079938650131,1449,4,,,
-0.014577067457139492,1499,4,,,
0.02854519709944725,1549,4,,,
,1559,4,0.6021000146865845,,
,1559,4,,0.6769999861717224,0.5767477750778198
0.024795211851596832,1599,5,,,
0.057843104004859924,1649,5,,,
0.050412580370903015,1699,5,,,
-0.055997543036937714,1749,5,,,
0.028789572417736053,1799,5,,,
0.014184392988681793,1849,5,,,
,1871,5,0.6093999743461609,,
,1871,5,,0.6823999881744385,0.6076472401618958
-0.11341316998004913,1899,6,,,
-0.05109928548336029,1949,6,,,
0.037535589188337326,1999,6,,,
-0.040535084903240204,2049,6,,,
-0.07088470458984375,2099,6,,,
-0.1283329427242279,2149,6,,,
,2183,6,0.6290000081062317,,
,2183,6,,0.7008000016212463,0.6292567849159241
-0.01723821461200714,2199,7,,,
-0.06900943070650101,2249,7,,,
-0.12039622664451599,2299,7,,,
-0.1629004180431366,2349,7,,,
-0.09055378288030624,2399,7,,,
-0.09708258509635925,2449,7,,,
,2495,7,0.6183000206947327,,
,2495,7,,0.6966999769210815,0.641676664352417
-0.03156972676515579,2499,8,,,
-0.1350795030593872,2549,8,,,
-0.08998100459575653,2599,8,,,
-0.023821603506803513,2649,8,,,
-0.09650090336799622,2699,8,,,
-0.1439630091190338,2749,8,,,
-0.08025889098644257,2799,8,,,
,2807,8,0.6608999967575073,,
,2807,8,,0.7473999857902527,0.6548978090286255
-0.04196810722351074,2849,9,,,
-0.05231557786464691,2899,9,,,
-0.15755702555179596,2949,9,,,
-0.07528801262378693,2999,9,,,
-0.06796424090862274,3049,9,,,
-0.09728489816188812,3099,9,,,
,3119,9,0.6502000093460083,,
