step,epoch,train_loss,val_acc,val_loss,test_acc,train_acc
49,0,2.294687509536743,,,,
99,0,2.2913711071014404,,,,
149,0,2.226304054260254,,,,
199,0,2.0931601524353027,,,,
249,0,2.119110107421875,,,,
299,0,2.0933282375335693,,,,
311,0,,0.22380000352859497,2.08614444732666,,
311,0,,,,0.26759999990463257,0.17322716116905212
349,1,2.0465688705444336,,,,
399,1,2.1175029277801514,,,,
449,1,2.0721845626831055,,,,
499,1,2.025864362716675,,,,
549,1,1.9934217929840088,,,,
599,1,1.9334099292755127,,,,
623,1,,0.27379998564720154,1.9792673587799072,,
623,1,,,,0.34369999170303345,0.24624398350715637
649,2,2.0495283603668213,,,,
699,2,1.8406332731246948,,,,
749,2,2.032620906829834,,,,
799,2,2.082052707672119,,,,
849,2,1.875123143196106,,,,
899,2,2.0423221588134766,,,,
935,2,,0.3151000142097473,1.9170187711715698,,
935,2,,,,0.3822999894618988,0.28448015451431274
949,3,1.7829502820968628,,,,
999,3,1.969510555267334,,,,
1049,3,1.9445576667785645,,,,
1099,3,1.9411725997924805,,,,
1149,3,1.8812382221221924,,,,
1199,3,1.916029453277588,,,,
1247,3,,0.3122999966144562,1.9291863441467285,,
1247,3,,,,0.3991999924182892,0.3179837763309479
1249,4,1.8187028169631958,,,,
1299,4,1.836162805557251,,,,
1349,4,1.9128633737564087,,,,
1399,4,1.8721550703048706,,,,
1449,4,1.8602670431137085,,,,
1499,4,1.7175209522247314,,,,
1549,4,1.842652678489685,,,,
1559,4,,0.3547999858856201,1.8627232313156128,,
1559,4,,,,0.44530001282691956,0.35121193528175354
1599,5,1.8004891872406006,,,,
1649,5,1.9117707014083862,,,,
1699,5,1.8235191106796265,,,,
1749,5,1.9510284662246704,,,,
1799,5,1.8094059228897095,,,,
1849,5,1.8914119005203247,,,,
1871,5,,0.37869998812675476,1.774348258972168,,
1871,5,,,,0.4652999937534332,0.3722706437110901
1899,6,1.6954784393310547,,,,
1949,6,1.7179135084152222,,,,
1999,6,1.7606573104858398,,,,
2049,6,1.907067060470581,,,,
2099,6,1.7636970281600952,,,,
2149,6,1.7326933145523071,,,,
2183,6,,0.39809998869895935,1.7550370693206787,,
2183,6,,,,0.5228999853134155,0.3934294879436493
2199,7,1.6622405052185059,,,,
