epoch,mix_match_loss_epoch,mix_match_loss_step,step,test_acc,train_acc,train_loss
18,,,7349,,,2.0535366535186768
18,,,7399,,,2.135732889175415
18,,,7409,0.5213000178337097,0.5089944005012512,
19,,,7449,,,1.5773406028747559
19,,,7499,,,2.0250277519226074
19,,,7549,,,1.8802118301391602
19,,,7599,,,1.921614170074463
19,,,7649,,,1.4654344320297241
19,,,7699,,,1.8914912939071655
19,,,7749,,,1.7169179916381836
19,,,7799,,,1.9883618354797363
19,,,7799,0.5195000171661377,0.5146033763885498,
20,,,7849,,,1.6157162189483643
20,,,7899,,,1.8774607181549072
20,,,7949,,,1.9714546203613281
20,,,7999,,,1.648201823234558
20,,,8049,,,1.5992255210876465
20,,,8099,,,1.9885612726211548
20,,,8149,,,1.9055817127227783
20,,,8189,0.5286999940872192,0.5231770873069763,
21,,,8199,,,1.5576411485671997
21,,,8249,,,2.2559032440185547
21,,,8299,,,1.7036572694778442
21,,,8349,,,1.7770248651504517
21,,,8399,,,1.6851667165756226
21,,,8449,,,1.8011242151260376
21,,,8499,,,1.8477351665496826
21,,,8549,,,1.9336074590682983
21,,,8579,0.5250999927520752,0.5323317050933838,
22,,,8599,,,1.7437738180160522
22,,,8649,,,1.6450031995773315
22,,,8699,,,1.6151635646820068
22,,,8749,,,1.8544461727142334
22,,,8799,,,2.0229740142822266
22,,,8849,,,1.6904442310333252
22,,,8899,,,2.0300755500793457
22,,,8949,,,1.7091938257217407
22,,,8969,0.5392000079154968,0.5378805994987488,
23,,,8999,,,1.7290586233139038
23,,,9049,,,1.7801811695098877
23,,,9099,,,1.91352379322052
23,,,9149,,,1.5151606798171997
23,,,9199,,,1.6489458084106445
23,,,9249,,,1.8115180730819702
23,,,9299,,,1.7769412994384766
23,,,9349,,,1.5767334699630737
23,,,9359,0.5242000222206116,0.5511417984962463,
24,,,9399,,,1.3746588230133057
24,,,9449,,,1.4655163288116455
24,,,9499,,,1.529909610748291
24,,,9549,,,1.4829617738723755
24,,,9599,,,1.6730281114578247
24,,,9649,,,1.7341123819351196
24,,,9699,,,1.603265643119812
24,,,9749,,,1.6480693817138672
24,,,9749,0.5278000235557556,0.5543068647384644,
25,,,9799,,,1.6229758262634277
25,,,9849,,,1.6518806219100952
25,,,9899,,,1.7594876289367676
25,,,9949,,,1.946818232536316
25,,,9999,,,1.5888396501541138
25,,,10049,,,1.895359754562378
25,,,10099,,,1.8843026161193848
25,,,10139,0.5200999975204468,0.5641025900840759,
26,,,10149,,,1.4631327390670776
26,,,10199,,,1.6356457471847534
26,,,10249,,,1.9234100580215454
26,,,10299,,,1.6128870248794556
26,,,10349,,,1.584019422531128
26,,,10399,,,1.4698066711425781
26,,,10449,,,1.9637917280197144
26,,,10499,,,1.8829717636108398
26,,,10529,0.5353999733924866,0.5717347860336304,
27,,,10549,,,1.6261024475097656
27,,,10599,,,1.584956407546997
27,,,10649,,,1.6503640413284302
27,,,10699,,,1.5537128448486328
27,,,10749,,,1.6384344100952148
27,,,10799,,,1.691804051399231
27,,,10849,,,1.4313243627548218
27,,,10899,,,1.6628506183624268
27,,,10919,0.5091000199317932,0.580548882484436,
28,,,10949,,,1.551239013671875
28,,,10999,,,1.4308855533599854
28,,,11049,,,1.5498216152191162
28,,,11099,,,1.5931816101074219
28,,,11149,,,1.1703593730926514
28,,,11199,,,1.5785908699035645
28,,,11249,,,1.6726387739181519
28,,,11299,,,1.5116698741912842
28,,,11309,0.5070000290870667,0.5908854007720947,
29,,,11349,,,1.3275755643844604
29,,,11399,,,1.4535222053527832
29,,,11449,,,1.3559458255767822
29,,,11499,,,1.2419757843017578
29,,,11549,,,1.4688682556152344
29,,,11599,,,1.610981822013855
29,,,11649,,,1.6486010551452637
29,,,11699,,,1.788079023361206
29,,,11699,0.5170000195503235,0.5934895873069763,
30,,,11749,,,1.249253511428833
30,,,11799,,,1.2270680665969849
30,,,11849,,,1.624448299407959
30,,,11899,,,1.323079228401184
30,,,11949,,,1.510661005973816
30,,,11999,,,1.466360330581665
30,,,12049,,,1.3916093111038208
30,,,12089,0.5070000290870667,0.6032652258872986,
31,,,12099,,,1.4199700355529785
31,,,12149,,,1.3169713020324707
31,,,12199,,,1.2635608911514282
31,,,12249,,,1.2898715734481812
31,,,12299,,,1.617332935333252
31,,,12349,,,1.3260610103607178
31,,,12399,,,1.33268404006958
31,,,12449,,,1.4953020811080933
31,,,12479,0.5166000127792358,0.6137419939041138,
32,,,12499,,,1.171220302581787
32,,,12549,,,1.4291445016860962
32,,,12599,,,1.2723900079727173
32,,,12649,,,1.4637998342514038
32,,,12699,,,1.3377195596694946
32,,,12749,,,1.4067944288253784
32,,,12799,,,1.7126622200012207
32,,,12849,,,1.2334332466125488
32,,,12869,0.5088000297546387,0.6216346025466919,
33,,,12899,,,1.2733961343765259
33,,,12949,,,1.3264658451080322
33,,,12999,,,1.107564091682434
33,,,13049,,,1.4427549839019775
33,,,13099,,,1.493249535560608
33,,,13149,,,1.3151623010635376
33,,,13199,,,1.3399927616119385
33,,,13249,,,1.690696358680725
33,,,13259,0.5055999755859375,0.6324920058250427,
34,,,13299,,,1.082934021949768
34,,,13349,,,1.0693058967590332
34,,,13399,,,1.2653138637542725
34,,,13449,,,1.5551644563674927
34,,,13499,,,1.2627731561660767
34,,,13549,,,1.3437564373016357
34,,,13599,,,1.2646962404251099
34,,,13649,,,1.320615530014038
34,,,13649,0.4932999908924103,0.5595673322677612,2.3392884731292725
35,,3.395684003829956,13699,,,
35,,3.5171360969543457,13749,,,
35,,3.286015033721924,13799,,,
35,,3.231055974960327,13849,,,
35,,3.091521739959717,13899,,,
35,,3.3935327529907227,13949,,,
35,,2.865781307220459,13999,,,
35,3.089799165725708,,14043,0.5820000171661377,,
36,,3.2076025009155273,14049,,,
36,,3.1741652488708496,14099,,,
36,,3.0568883419036865,14149,,,
36,,3.257441997528076,14199,,,
36,,3.315282106399536,14249,,,
36,,3.3538601398468018,14299,,,
36,,2.3980987071990967,14349,,,
36,,2.6690192222595215,14399,,,
36,2.8831593990325928,,14435,0.5875999927520752,,
37,,2.9950695037841797,14449,,,
37,,3.1123149394989014,14499,,,
37,,3.068439245223999,14549,,,
37,,2.811311960220337,14599,,,
37,,2.7791757583618164,14649,,,
37,,3.1850759983062744,14699,,,
37,,2.858579397201538,14749,,,
37,,3.3015379905700684,14799,,,
37,2.821396589279175,,14827,0.5837000012397766,,
38,,3.089552640914917,14849,,,
38,,2.6785480976104736,14899,,,
38,,3.0482075214385986,14949,,,
38,,3.3204078674316406,14999,,,
38,,2.845911741256714,15049,,,
38,,2.958012819290161,15099,,,
38,,3.2551004886627197,15149,,,
38,,2.5204062461853027,15199,,,
38,2.807084083557129,,15219,0.59170001745224,,
39,,2.726789951324463,15249,,,
39,,3.0986804962158203,15299,,,
39,,2.769907236099243,15349,,,
39,,2.595719575881958,15399,,,
39,,2.964592218399048,15449,,,
39,,3.2374260425567627,15499,,,
39,,1.2951059341430664,15549,,,
39,,2.303821563720703,15599,,,
39,2.7425224781036377,,15616,0.590399980545044,,
40,,2.9556808471679688,15649,,,
40,,1.6280449628829956,15699,,,
40,,2.5616812705993652,15749,,,
40,,3.1161561012268066,15799,,,
40,,3.1661977767944336,15849,,,
40,,2.7391092777252197,15899,,,
40,,1.5052258968353271,15949,,,
40,,3.047358751296997,15999,,,
40,2.747236490249634,,16008,0.5888000130653381,,
41,,3.2317614555358887,16049,,,
41,,2.997833013534546,16099,,,
41,,2.4738285541534424,16149,,,
41,,2.4261391162872314,16199,,,
41,,3.1488561630249023,16249,,,
41,,2.950023651123047,16299,,,
41,,2.670609474182129,16349,,,
41,,2.1480751037597656,16399,,,
41,2.702521324157715,,16399,0.6116999983787537,,
42,,1.6660943031311035,16449,,,
42,,2.655733823776245,16499,,,
42,,3.3037171363830566,16549,,,
42,,2.937910556793213,16599,,,
42,,2.7158854007720947,16649,,,
42,,2.627516746520996,16699,,,
42,,3.1385419368743896,16749,,,
42,2.700540065765381,,16795,0.5967000126838684,,
43,,1.6043766736984253,16799,,,
43,,3.2027432918548584,16849,,,
43,,1.2824150323867798,16899,,,
43,,2.8854081630706787,16949,,,
43,,3.1878950595855713,16999,,,
43,,2.918430805206299,17049,,,
43,,3.070956230163574,17099,,,
43,,2.8491463661193848,17149,,,
43,2.7058420181274414,,17190,0.5982000231742859,,
44,,2.5098726749420166,17199,,,
44,,2.734678030014038,17249,,,
44,,2.7921457290649414,17299,,,
44,,2.583250045776367,17349,,,
44,,2.8339622020721436,17399,,,
44,,2.8427512645721436,17449,,,
44,,2.647367477416992,17499,,,
44,,2.8784358501434326,17549,,,
44,2.7522308826446533,,17581,0.5981000065803528,,
45,,2.754230260848999,17599,,,
45,,2.7303385734558105,17649,,,
45,,2.813685178756714,17699,,,
45,,2.96347713470459,17749,,,
45,,3.34285044670105,17799,,,
45,,2.6895477771759033,17849,,,
45,,2.7371976375579834,17899,,,
45,,2.849510669708252,17949,,,
45,2.728140354156494,,17975,0.6033999919891357,,
46,,2.623622417449951,17999,,,
46,,2.5988359451293945,18049,,,
46,,2.8399205207824707,18099,,,
46,,2.147787094116211,18149,,,
46,,2.4846320152282715,18199,,,
46,,2.1272192001342773,18249,,,
46,,2.8905467987060547,18299,,,
46,,2.359890937805176,18349,,,
46,2.6653318405151367,,18367,0.5910000205039978,,
47,,3.0301105976104736,18399,,,
47,,2.1120505332946777,18449,,,
47,,2.9539897441864014,18499,,,
47,,2.819249391555786,18549,,,
47,,3.144350528717041,18599,,,
47,,2.8811020851135254,18649,,,
47,,2.7604596614837646,18699,,,
47,,2.1899871826171875,18749,,,
47,2.649482250213623,,18761,0.5961999893188477,,
48,,2.9424781799316406,18799,,,
48,,2.717179298400879,18849,,,
48,,2.989572763442993,18899,,,
48,,2.97641921043396,18949,,,
48,,2.4422850608825684,18999,,,
48,,2.9792020320892334,19049,,,
48,,2.8816256523132324,19099,,,
48,,3.085516929626465,19149,,,
48,2.6509947776794434,,19154,0.6000999808311462,,
49,,1.2894246578216553,19199,,,
49,,2.9282243251800537,19249,,,
49,,2.283629894256592,19299,,,
49,,2.741179943084717,19349,,,
49,,3.0892913341522217,19399,,,
49,,1.8130919933319092,19449,,,
49,,2.736865520477295,19499,,,
49,2.6637532711029053,,19545,0.5932999849319458,,
50,,1.7108858823776245,19549,,,
50,,2.7989578247070312,19599,,,
50,,3.086327314376831,19649,,,
50,,2.6130552291870117,19699,,,
50,,2.9043281078338623,19749,,,
50,,2.802865505218506,19799,,,
50,,2.6212573051452637,19849,,,
50,,2.569727897644043,19899,,,
50,2.691803216934204,,19938,0.5946000218391418,,
51,,2.2641258239746094,19949,,,
51,,2.9730114936828613,19999,,,
51,,2.7865076065063477,20049,,,
51,,2.2372474670410156,20099,,,
51,,2.798551559448242,20149,,,
51,,2.975468158721924,20199,,,
51,,2.9633002281188965,20249,,,
51,,2.8282411098480225,20299,,,
51,2.63838791847229,,20331,0.6021999716758728,,
52,,2.987663984298706,20349,,,
52,,2.7166097164154053,20399,,,
52,,2.9763071537017822,20449,,,
52,,2.6619856357574463,20499,,,
52,,2.8148651123046875,20549,,,
52,,1.672212839126587,20599,,,
52,,2.333211898803711,20649,,,
52,,2.947165012359619,20699,,,
52,2.646225929260254,,20727,0.6114000082015991,,
53,,2.895693778991699,20749,,,
53,,2.1643381118774414,20799,,,
53,,2.5155105590820312,20849,,,
53,,2.7857353687286377,20899,,,
53,,2.691722869873047,20949,,,
53,,2.7947194576263428,20999,,,
53,,2.5360307693481445,21049,,,
53,,2.9061625003814697,21099,,,
53,2.619079113006592,,21121,0.6114000082015991,,
54,,2.781801700592041,21149,,,
54,,1.5612879991531372,21199,,,
54,,1.994900107383728,21249,,,
54,,2.90293550491333,21299,,,
54,,2.729236364364624,21349,,,
54,,2.587578535079956,21399,,,
54,,2.987093210220337,21449,,,
54,,3.0023245811462402,21499,,,
54,2.6195733547210693,,21513,0.6025999784469604,,
55,,2.913924217224121,21549,,,
55,,2.9283299446105957,21599,,,
55,,2.6511874198913574,21649,,,
55,,2.9626638889312744,21699,,,
55,,2.7779078483581543,21749,,,
55,,2.424102306365967,21799,,,
55,,2.2871201038360596,21849,,,
55,,3.027489423751831,21899,,,
55,2.582364559173584,,21906,0.6021999716758728,,
56,,2.4652090072631836,21949,,,
56,,3.1327295303344727,21999,,,
56,,2.4024405479431152,22049,,,
56,,1.9808913469314575,22099,,,
56,,2.506931781768799,22149,,,
56,,2.889993667602539,22199,,,
56,,2.481248140335083,22249,,,
56,,2.2620575428009033,22299,,,
56,2.609001874923706,,22299,0.6065999865531921,,
57,,2.8666114807128906,22349,,,
57,,2.48225736618042,22399,,,
57,,1.4141730070114136,22449,,,
57,,2.1116414070129395,22499,,,
57,,2.828148126602173,22549,,,
57,,2.861938238143921,22599,,,
57,,2.470536470413208,22649,,,
57,2.582394599914551,,22695,0.6047999858856201,,
58,,2.254047393798828,22699,,,
58,,2.60044527053833,22749,,,
58,,1.9448583126068115,22799,,,
58,,1.899090051651001,22849,,,
58,,2.666947603225708,22899,,,
58,,3.01959228515625,22949,,,
58,,2.8819241523742676,22999,,,
58,,2.2847344875335693,23049,,,
58,2.5576326847076416,,23092,0.609499990940094,,
59,,2.4614055156707764,23099,,,
59,,2.7169570922851562,23149,,,
59,,2.1334645748138428,23199,,,
59,,2.577547073364258,23249,,,
59,,2.870964527130127,23299,,,
59,,2.616788148880005,23349,,,
59,,2.7097280025482178,23399,,,
59,,2.3457279205322266,23449,,,
59,2.5600454807281494,,23486,0.6022999882698059,,
60,,2.786501407623291,23499,,,
60,,1.7515544891357422,23549,,,
60,,3.099299192428589,23599,,,
60,,2.5371861457824707,23649,,,
60,,2.7719712257385254,23699,,,
60,,2.0805375576019287,23749,,,
60,,2.7243053913116455,23799,,,
60,,2.5947976112365723,23849,,,
60,2.56400465965271,,23877,0.6092000007629395,,
61,,2.644969940185547,23899,,,
61,,2.7423648834228516,23949,,,
61,,2.376824378967285,23999,,,
61,,2.422828197479248,24049,,,
61,,2.7431650161743164,24099,,,
61,,2.560852527618408,24149,,,
61,,2.8371431827545166,24199,,,
61,,2.846000909805298,24249,,,
61,2.549163818359375,,24269,0.6092000007629395,,
62,,2.930523157119751,24299,,,
62,,2.831212282180786,24349,,,
62,,2.619356155395508,24399,,,
62,,2.842146396636963,24449,,,
62,,2.8179965019226074,24499,,,
62,,2.1714563369750977,24549,,,
62,,1.8102374076843262,24599,,,
62,,2.4749014377593994,24649,,,
62,2.515131950378418,,24660,0.61080002784729,,
63,,2.7079410552978516,24699,,,
63,,2.362938404083252,24749,,,
63,,2.8386576175689697,24799,,,
63,,2.592289924621582,24849,,,
63,,2.205230951309204,24899,,,
63,,2.9898929595947266,24949,,,
63,,2.3675310611724854,24999,,,
63,,2.9812374114990234,25049,,,
63,2.5338454246520996,,25050,0.6222000122070312,,
64,,1.7018804550170898,25099,,,
64,,2.837526321411133,25149,,,
64,,2.641427755355835,25199,,,
64,,2.8842580318450928,25249,,,
64,,1.8314423561096191,25299,,,
64,,2.115189552307129,25349,,,
64,,1.5367169380187988,25399,,,
64,2.4733715057373047,,25447,0.6164000034332275,,
65,,2.64538311958313,25449,,,
65,,2.9053542613983154,25499,,,
65,,2.2000534534454346,25549,,,
65,,2.7080767154693604,25599,,,
65,,2.9177303314208984,25649,,,
65,,1.954959511756897,25699,,,
65,,2.629927396774292,25749,,,
65,,2.821105480194092,25799,,,
65,2.478747606277466,,25843,0.6105999946594238,,
66,,2.0893945693969727,25849,,,
66,,2.903947114944458,25899,,,
66,,2.683816909790039,25949,,,
66,,2.877746820449829,25999,,,
66,,2.1301958560943604,26049,,,
66,,2.4673218727111816,26099,,,
66,,2.558952808380127,26149,,,
66,,1.9525572061538696,26199,,,
66,2.5081567764282227,,26234,0.623199999332428,,
67,,2.755145311355591,26249,,,
67,,2.6223371028900146,26299,,,
67,,2.7019755840301514,26349,,,
67,,2.8692972660064697,26399,,,
67,,2.5874950885772705,26449,,,
67,,2.0848896503448486,26499,,,
67,,1.822099208831787,26549,,,
67,,2.691850423812866,26599,,,
67,2.4976553916931152,,26624,0.621399998664856,,
