train_loss1,step,epoch,train_loss2,val_acc2,val_acc1,train_acc1,train_acc2,test_acc
0.014914070256054401,49,0,0.014905661344528198,,,,,
0.013538649305701256,99,0,0.013770163990557194,,,,,
0.014547007158398628,149,0,0.014788150787353516,,,,,
0.012018928304314613,199,0,0.013182982802391052,,,,,
0.012731395661830902,249,0,0.014203191734850407,,,,,
0.010937750339508057,299,0,0.011346841230988503,,,,,
,311,0,,0.4406000077724457,0.4763000011444092,,,
,311,0,,,,0.359375,0.34632912278175354,0.4902999997138977
0.011384647339582443,349,1,0.01190538052469492,,,,,
0.011404216289520264,399,1,0.012359830550849438,,,,,
0.010107025504112244,449,1,0.01105925440788269,,,,,
0.010810340754687786,499,1,0.01135412510484457,,,,,
0.009574762545526028,549,1,0.010649623349308968,,,,,
0.010593696497380733,599,1,0.010838840156793594,,,,,
,623,1,,0.512499988079071,0.4846999943256378,,,
,623,1,,,,0.5257662534713745,0.49566808342933655,0.5148000121116638
0.010343639180064201,649,2,0.010795008391141891,,,,,
0.008250193670392036,699,2,0.00834039319306612,,,,,
0.006771774496883154,749,2,0.007707415614277124,,,,,
0.007014179136604071,799,2,0.008039719425141811,,,,,
0.007846210151910782,849,2,0.00823089387267828,,,,,
0.00796939991414547,899,2,0.00897165946662426,,,,,
,935,2,,0.5975000262260437,0.6334999799728394,,,
,935,2,,,,0.6010867357254028,0.5899689793586731,0.6542999744415283
0.006455848924815655,949,3,0.006761850789189339,,,,,
0.00637006713077426,999,3,0.005786169786006212,,,,,
0.007336027920246124,1049,3,0.007210740353912115,,,,,
0.008689748123288155,1099,3,0.009087713435292244,,,,,
0.006478551775217056,1149,3,0.006836069282144308,,,,,
0.006215796340256929,1199,3,0.0070006647147238255,,,,,
,1247,3,,0.6410999894142151,0.6590999960899353,,,
,1247,3,,,,0.6468850374221802,0.6424028277397156,0.6904000043869019
0.006667825859040022,1249,4,0.007540144957602024,,,,,
0.006033952347934246,1299,4,0.005798836704343557,,,,,
0.006674677133560181,1349,4,0.006900349631905556,,,,,
0.00598353473469615,1399,4,0.006007815711200237,,,,,
0.006136427633464336,1449,4,0.005037509370595217,,,,,
0.005402484908699989,1499,4,0.005725553259253502,,,,,
0.00668110279366374,1549,4,0.006401073187589645,,,,,
,1559,4,,0.6908000111579895,0.7006999850273132,,,
,1559,4,,,,0.6897535920143127,0.6813902258872986,0.7324000000953674
0.0038238330744206905,1599,5,0.003589952364563942,,,,,
0.003955257590860128,1649,5,0.004187086131423712,,,,,
0.002828616416081786,1699,5,0.0025926351081579924,,,,,
0.0039252545684576035,1749,5,0.004146200604736805,,,,,
0.0021133029367774725,1799,5,0.0026258535217493773,,,,,
0.004140778444707394,1849,5,0.004463545046746731,,,,,
,1871,5,,0.7190999984741211,0.7156999707221985,,,
,1871,5,,,,0.7148938179016113,0.713942289352417,0.7565000057220459
0.004151365254074335,1899,6,0.0034180700313299894,,,,,
0.004310291260480881,1949,6,0.004554158076643944,,,,,
0.0038812498096376657,1999,6,0.003558726515620947,,,,,
0.0036461215931922197,2049,6,0.004008458461612463,,,,,
0.004104822874069214,2099,6,0.00392027385532856,,,,,
0.004360700957477093,2149,6,0.004381291568279266,,,,,
,2183,6,,0.73580002784729,0.7348999977111816,,,
,2183,6,,,,0.7342497706413269,0.7314953804016113,0.7738000154495239
0.0036536126863211393,2199,7,0.004789719358086586,,,,,
0.003332330146804452,2249,7,0.0035650236532092094,,,,,
0.0025212643668055534,2299,7,0.0027944152243435383,,,,,
0.0026512041222304106,2349,7,0.002377483295276761,,,,,
0.0031873632688075304,2399,7,0.0027604445349425077,,,,,
0.0027774523478001356,2449,7,0.0020308950915932655,,,,,
,2495,7,,0.7490000128746033,0.7321000099182129,,,
,2495,7,,,,0.7516526579856873,0.7484225034713745,0.7649000287055969
0.0026308083906769753,2499,8,0.0029567622113972902,,,,,
0.004370856564491987,2549,8,0.0038585199508816004,,,,,
0.0028316129464656115,2599,8,0.0032650127541273832,,,,,
0.0030461091082543135,2649,8,0.002610401948913932,,,,,
0.001453907578252256,2699,8,0.0020487357396632433,,,,,
0.0020069757010787725,2749,8,0.001605350524187088,,,,,
0.0016656076768413186,2799,8,0.0015188741963356733,,,,,
,2807,8,,0.7494999766349792,0.7522000074386597,,,
,2807,8,,,,0.7618188858032227,0.7586387991905212,0.7912999987602234
0.002216513967141509,2849,9,0.0030208744574338198,,,,,
0.003005887847393751,2899,9,0.002013156656175852,,,,,
0.0020195625256747007,2949,9,0.0018662275979295373,,,,,
0.002786563942208886,2999,9,0.003203366417437792,,,,,
0.002385176485404372,3049,9,0.0027026357129216194,,,,,
0.002752733649685979,3099,9,0.0024968555662781,,,,,
,3119,9,,0.7562000155448914,0.7300000190734863,,,
,3119,9,,,,0.7700320482254028,0.7669270634651184,0.7616000175476074
0.0017742199124768376,3149,10,0.002039218321442604,,,,,
0.0025645385030657053,3199,10,0.0023562610149383545,,,,,
0.002139663090929389,3249,10,0.0017797432374209166,,,,,
0.0017824748065322638,3299,10,0.0021231267601251602,,,,,
0.000988238723948598,3349,10,0.0008607006748206913,,,,,
0.002141079632565379,3399,10,0.0026389937847852707,,,,,
,3431,10,,0.756600022315979,0.7480999827384949,,,
,3431,10,,,,0.7780949473381042,0.7769430875778198,0.784500002861023
0.002519837347790599,3449,11,0.0025714884977787733,,,,,
0.0018530383240431547,3499,11,0.001527791260741651,,,,,
0.0028934215661138296,3549,11,0.0023693745024502277,,,,,
0.0021766149438917637,3599,11,0.0015616072341799736,,,,,
