epoch,step,train_loss,train_acc,test_acc
9,3649,-4.433041572570801,,
9,3699,-4.742961406707764,,
9,3749,-4.324470520019531,,
9,3799,-4.738364219665527,,
9,3849,-5.2802839279174805,,
9,3899,-5.151611804962158,,
9,3899,,0.7511819005012512,0.8510000109672546
10,3949,-2.897061347961426,,
10,3999,-3.754395008087158,,
10,4049,-4.531057357788086,,
10,4099,-3.597048759460449,,
10,4149,-3.801867961883545,,
10,4199,-4.3530049324035645,,
10,4249,-4.480815887451172,,
10,4289,,0.6458132863044739,0.7314000129699707
11,4299,-4.760036468505859,,
11,4349,-5.022709369659424,,
11,4399,-5.165897369384766,,
11,4449,-5.019087791442871,,
11,4499,-4.811376571655273,,
11,4549,-5.2321553230285645,,
11,4599,-5.799159049987793,,
11,4649,-4.611498832702637,,
11,4679,,0.6904046535491943,0.8066999912261963
12,4699,-5.93329381942749,,
12,4749,-5.206542015075684,,
12,4799,-5.688284397125244,,
12,4849,-5.8581743240356445,,
12,4899,-5.14036750793457,,
12,4949,-5.823366641998291,,
12,4999,-5.922538757324219,,
12,5049,-4.997425556182861,,
12,5069,,0.7065705060958862,0.7962999939918518
13,5099,-6.981808185577393,,
13,5149,-7.371810436248779,,
13,5199,-5.786355495452881,,
13,5249,-7.770585536956787,,
13,5299,-6.894012451171875,,
13,5349,-6.430381774902344,,
13,5399,-6.754076957702637,,
13,5449,-6.555857181549072,,
13,5459,,0.7200921177864075,0.8155999779701233
14,5499,-7.654036521911621,,
14,5549,-7.031307697296143,,
14,5599,-6.303794860839844,,
14,5649,-8.048762321472168,,
14,5699,-7.721622467041016,,
14,5749,-6.6861677169799805,,
14,5799,-6.783971786499023,,
14,5849,-7.312154293060303,,
14,5849,,0.7294070720672607,0.8381999731063843
15,5899,-8.174894332885742,,
15,5949,-7.88457727432251,,
15,5999,-8.056458473205566,,
15,6049,-7.786900997161865,,
15,6099,-8.995941162109375,,
15,6149,-8.342665672302246,,
15,6199,-8.549930572509766,,
15,6239,,0.7389222979545593,0.8366000056266785
16,6249,-8.266379356384277,,
16,6299,-9.335236549377441,,
16,6349,-8.047908782958984,,
16,6399,-8.825544357299805,,
16,6449,-8.64454174041748,,
16,6499,-8.773744583129883,,
16,6549,-8.21644115447998,,
16,6599,-8.986278533935547,,
16,6629,,0.7514222860336304,0.8616999983787537
17,6649,-8.68766975402832,,
17,6699,-9.489161491394043,,
17,6749,-8.83063793182373,,
17,6799,-8.750053405761719,,
17,6849,-9.737889289855957,,
17,6899,-8.654555320739746,,
17,6949,-9.254044532775879,,
17,6999,-9.33078384399414,,
17,7019,,0.760196328163147,0.8683000206947327
18,7049,-11.121663093566895,,
18,7099,-9.293035507202148,,
18,7149,-8.872833251953125,,
18,7199,-10.98833179473877,,
18,7249,-10.30859661102295,,
18,7299,-9.460054397583008,,
18,7349,-9.765691757202148,,
18,7399,-10.673563003540039,,
18,7409,,0.7679687738418579,0.8780999779701233
19,7449,-10.035750389099121,,
19,7499,-10.826766014099121,,
19,7549,-10.777688026428223,,
19,7599,-9.968851089477539,,
19,7649,-10.753040313720703,,
19,7699,-9.828351020812988,,
19,7749,-10.89610481262207,,
19,7799,-10.877045631408691,,
19,7799,,0.7734775543212891,0.8806999921798706
20,7849,-8.989046096801758,,
20,7899,-7.778149604797363,,
20,7949,-9.579644203186035,,
20,7999,-8.789512634277344,,
20,8049,-9.549057960510254,,
20,8099,-10.567935943603516,,
20,8149,-10.303654670715332,,
20,8189,,0.6821514368057251,0.7627999782562256
21,8199,-8.649407386779785,,
21,8249,-9.6128511428833,,
21,8299,-10.137055397033691,,
21,8349,-8.902060508728027,,
21,8399,-10.020949363708496,,
21,8449,-9.304298400878906,,
21,8499,-10.48709774017334,,
21,8549,-10.591882705688477,,
21,8579,,0.7104967832565308,0.8012999892234802
22,8599,-9.297039031982422,,
22,8649,-9.212642669677734,,
22,8699,-10.052748680114746,,
22,8749,-9.566485404968262,,
22,8799,-9.299755096435547,,
22,8849,-10.603614807128906,,
22,8899,-9.932177543640137,,
22,8949,-9.944854736328125,,
22,8969,,0.727463960647583,0.8274000287055969
23,8999,-9.2578706741333,,
23,9049,-9.880762100219727,,
23,9099,-12.079331398010254,,
23,9149,-11.449865341186523,,
23,9199,-10.784490585327148,,
23,9249,-10.65919303894043,,
23,9299,-10.33397102355957,,
23,9349,-9.56399154663086,,
23,9359,,0.7363781929016113,0.8206999897956848
24,9399,-11.214690208435059,,
24,9449,-12.155477523803711,,
24,9499,-10.840606689453125,,
24,9549,-12.064189910888672,,
24,9599,-12.386238098144531,,
24,9649,-11.34536075592041,,
24,9699,-9.56913948059082,,
24,9749,-12.430255889892578,,
24,9749,,0.7488982081413269,0.8571000099182129
25,9799,-12.067876815795898,,
25,9849,-13.17364501953125,,
25,9899,-11.457669258117676,,
25,9949,-11.905994415283203,,
25,9999,-12.75174331665039,,
25,10049,-12.257437705993652,,
25,10099,-13.12557601928711,,
25,10139,,0.7581329941749573,0.8682000041007996
26,10149,-11.875012397766113,,
26,10199,-10.647509574890137,,
26,10249,-11.298553466796875,,
26,10299,-12.400993347167969,,
26,10349,-12.352067947387695,,
26,10399,-11.796171188354492,,
26,10449,-11.157035827636719,,
26,10499,-11.57220458984375,,
26,10529,,0.7661658525466919,0.8769000172615051
27,10549,-11.266215324401855,,
27,10599,-12.178815841674805,,
27,10649,-13.053584098815918,,
27,10699,-13.915275573730469,,
27,10749,-13.32225513458252,,
27,10799,-12.94668960571289,,
27,10849,-13.286060333251953,,
27,10899,-12.345865249633789,,
27,10919,,0.7740985751152039,0.885200023651123
28,10949,-13.554896354675293,,
28,10999,-13.024007797241211,,
28,11049,-12.94423770904541,,
28,11099,-13.188200950622559,,
28,11149,-13.233185768127441,,
28,11199,-12.702670097351074,,
28,11249,-13.178543090820312,,
28,11299,-13.335249900817871,,
28,11309,,0.781830906867981,0.8899000287055969
29,11349,-12.346697807312012,,
29,11399,-12.635587692260742,,
29,11449,-12.969378471374512,,
29,11499,-13.37308406829834,,
29,11549,-12.464097023010254,,
29,11599,-14.21922492980957,,
29,11649,-13.597397804260254,,
29,11699,-12.898427963256836,,
29,11699,,0.7847355604171753,0.8931000232696533
30,11749,-11.57884407043457,,
30,11799,-11.067567825317383,,
30,11849,-10.167153358459473,,
30,11899,-11.161845207214355,,
30,11949,-10.660566329956055,,
30,11999,-10.800064086914062,,
30,12049,-11.162508010864258,,
30,12089,,0.6943109035491943,0.7645999789237976
31,12099,-11.365606307983398,,
31,12149,-11.198973655700684,,
31,12199,-11.938371658325195,,
31,12249,-11.249722480773926,,
31,12299,-11.455458641052246,,
31,12349,-12.63669204711914,,
31,12399,-10.985011100769043,,
31,12449,-11.82475471496582,,
31,12479,,0.7140024304389954,0.8273000121116638
32,12499,-10.868898391723633,,
32,12549,-12.679040908813477,,
32,12599,-12.258342742919922,,
32,12649,-11.35135269165039,,
32,12699,-13.07667064666748,,
32,12749,-10.744874000549316,,
32,12799,-12.179635047912598,,
32,12849,-11.643134117126465,,
32,12869,,0.7338341474533081,0.8324999809265137
33,12899,-12.714361190795898,,
33,12949,-12.673913955688477,,
33,12999,-12.466775894165039,,
33,13049,-12.548088073730469,,
33,13099,-11.387314796447754,,
33,13149,-12.096037864685059,,
33,13199,-12.550943374633789,,
33,13249,-12.854021072387695,,
33,13259,,0.7465945482254028,0.84579998254776
34,13299,-11.488323211669922,,
34,13349,-12.169363975524902,,
34,13399,-11.364168167114258,,
34,13449,-10.678207397460938,,
34,13499,-10.45055866241455,,
34,13549,-13.479125022888184,,
34,13599,-11.825906753540039,,
34,13649,-13.1209716796875,,
34,13649,,0.7553485631942749,0.866100013256073
35,13699,-12.626233100891113,,
35,13749,-11.124652862548828,,
35,13799,-12.303878784179688,,
35,13849,-14.089305877685547,,
35,13899,-14.351420402526855,,
35,13949,-13.719470024108887,,
35,13999,-11.875322341918945,,
35,14039,,0.7666265964508057,0.8769999742507935
36,14049,-12.740801811218262,,
36,14099,-12.185761451721191,,
36,14149,-12.533885955810547,,
36,14199,-13.471576690673828,,
36,14249,-12.26942253112793,,
36,14299,-13.665239334106445,,
36,14349,-12.542275428771973,,
36,14399,-12.973343849182129,,
36,14429,,0.7734174728393555,0.882099986076355
37,14449,-13.867813110351562,,
37,14499,-12.466880798339844,,
37,14549,-12.540706634521484,,
37,14599,-13.728742599487305,,
37,14649,-12.395776748657227,,
37,14699,-12.777981758117676,,
37,14749,-12.55899429321289,,
37,14799,-11.747879981994629,,
37,14819,,0.7801482081413269,0.8970999717712402
38,14849,-13.109365463256836,,
38,14899,-14.343058586120605,,
38,14949,-12.234269142150879,,
38,14999,-13.599501609802246,,
38,15049,-13.082174301147461,,
38,15099,-13.987842559814453,,
38,15149,-12.512621879577637,,
38,15199,-12.825920104980469,,
38,15209,,0.7874799966812134,0.8980000019073486
39,15249,-15.09787368774414,,
39,15299,-14.49690055847168,,
39,15349,-13.838011741638184,,
39,15399,-13.120462417602539,,
39,15449,-14.132659912109375,,
39,15499,-13.75806999206543,,
39,15549,-14.481243133544922,,
39,15599,-13.288270950317383,,
39,15599,,0.7892027497291565,0.9006999731063843
40,15649,-12.367148399353027,,
40,15699,-11.140676498413086,,
40,15749,-12.338003158569336,,
40,15799,-11.807387351989746,,
40,15849,-13.629526138305664,,
40,15899,-11.163450241088867,,
40,15949,-10.925369262695312,,
40,15989,,0.7134615182876587,0.7587000131607056
41,15999,-11.769508361816406,,
41,16049,-12.88435173034668,,
41,16099,-12.492271423339844,,
41,16149,-12.289727210998535,,
41,16199,-11.46516227722168,,
41,16249,-11.610062599182129,,
41,16299,-12.986246109008789,,
41,16349,-11.127460479736328,,
41,16379,,0.7262620329856873,0.8366000056266785
42,16399,-11.771470069885254,,
42,16449,-12.017170906066895,,
42,16499,-12.769943237304688,,
42,16549,-11.52248764038086,,
42,16599,-12.729291915893555,,
42,16649,-13.299232482910156,,
42,16699,-12.050748825073242,,
42,16749,-11.961076736450195,,
42,16769,,0.739763617515564,0.8398000001907349
43,16799,-13.573397636413574,,
43,16849,-14.380663871765137,,
43,16899,-13.094194412231445,,
43,16949,-11.787293434143066,,
43,16999,-13.420132637023926,,
43,17049,-12.627789497375488,,
43,17099,-11.234180450439453,,
43,17149,-11.878162384033203,,
43,17159,,0.750580906867981,0.8547999858856201
44,17199,-12.97007942199707,,
