train_loss,step,epoch,val_loss,val_acc,test_acc,train_acc,mix_match_loss
2.3211185932159424,49,0,,,,,
2.0576183795928955,99,0,,,,,
2.046639919281006,149,0,,,,,
1.9911324977874756,199,0,,,,,
1.8242493867874146,249,0,,,,,
1.8141580820083618,299,0,,,,,
,311,0,1.9050549268722534,0.3248000144958496,,,
,311,0,,,0.39800000190734863,0.2568359375,
1.7354360818862915,349,1,,,,,
1.8337185382843018,399,1,,,,,
1.8588237762451172,449,1,,,,,
1.6688553094863892,499,1,,,,,
1.8136519193649292,549,1,,,,,
1.8301092386245728,599,1,,,,,
,623,1,1.7701886892318726,0.3946000039577484,,,
,623,1,,,0.49799999594688416,0.3493589758872986,
1.8044025897979736,649,2,,,,,
1.5654464960098267,699,2,,,,,
1.8271865844726562,749,2,,,,,
1.6556140184402466,799,2,,,,,
1.7847373485565186,849,2,,,,,
1.760921597480774,899,2,,,,,
,935,2,1.7090327739715576,0.41839998960494995,,,
,935,2,,,0.557200014591217,0.3941306173801422,
1.8529976606369019,949,3,,,,,
1.7742929458618164,999,3,,,,,
1.7148069143295288,1049,3,,,,,
1.6500244140625,1099,3,,,,,
1.6280241012573242,1149,3,,,,,
1.829603910446167,1199,3,,,,,
,1247,3,1.6753942966461182,0.43290001153945923,,,
,1247,3,,,0.5852000117301941,0.4170673191547394,
1.678666114807129,1249,4,,,,,
1.7682065963745117,1299,4,,,,,
1.701189398765564,1349,4,,,,,
1.5871658325195312,1399,4,,,,,
1.7323708534240723,1449,4,,,,,
1.591508388519287,1499,4,,,,,
1.8282296657562256,1549,4,,,,,
,1559,4,1.6377674341201782,0.4503999948501587,,,
,1559,4,,,0.5950999855995178,0.44438600540161133,
1.576897144317627,1599,5,,,,,
1.7332738637924194,1649,5,,,,,
1.5521159172058105,1699,5,,,,,
1.5297143459320068,1749,5,,,,,
1.7282757759094238,1799,5,,,,,
1.4786642789840698,1849,5,,,,,
,1871,5,1.6541460752487183,0.4480000138282776,,,
,1871,5,,,0.6055999994277954,0.46484375,
1.617684006690979,1899,6,,,,,
1.4230964183807373,1949,6,,,,,
1.5418134927749634,1999,6,,,,,
1.6229301691055298,2049,6,,,,,
1.5403815507888794,2099,6,,,,,
1.565913200378418,2149,6,,,,,
,2183,6,1.5667855739593506,0.4950000047683716,,,
,2183,6,,,0.680899977684021,0.4822966754436493,
1.5764670372009277,2199,7,,,,,
