epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
0,49,0.017806963995099068,0.017186220735311508,,,,,
0,99,0.016669372096657753,0.015189487487077713,,,,,
0,149,0.016182860359549522,0.01604214683175087,,,,,
0,199,0.015217926353216171,0.015071520581841469,,,,,
0,249,0.013562172651290894,0.013319805264472961,,,,,
0,299,0.014152372255921364,0.01500028371810913,,,,,
0,312,,,0.3555999994277954,0.35839998722076416,,,
0,312,,,,,0.2696250081062317,0.2563999891281128,0.37717562913894653
1,349,0.014040113426744938,0.012955267913639545,,,,,
1,399,0.01272263377904892,0.013370356522500515,,,,,
1,449,0.01182268001139164,0.012000971473753452,,,,,
1,499,0.011983123607933521,0.011127233505249023,,,,,
1,549,0.012138196267187595,0.012353756465017796,,,,,
1,599,0.01280071772634983,0.013265855610370636,,,,,
1,625,,,0.4278999865055084,0.4456999897956848,,,
1,625,,,,,0.39467498660087585,0.3857249915599823,0.44580695033073425
2,649,0.013124995864927769,0.012653946876525879,,,,,
2,699,0.011875283904373646,0.011948935687541962,,,,,
2,749,0.012296169064939022,0.01239821594208479,,,,,
2,799,0.01210689265280962,0.012192887254059315,,,,,
2,849,0.010039188899099827,0.010007736273109913,,,,,
2,899,0.011685561388731003,0.01224809605628252,,,,,
2,938,,,0.4765999913215637,0.48339998722076416,,,
2,938,,,,,0.4487749934196472,0.4433000087738037,0.49426424503326416
3,949,0.009302009828388691,0.009352088905870914,,,,,
3,999,0.01109773013740778,0.010595634579658508,,,,,
3,1049,0.009707226417958736,0.00980142317712307,,,,,
3,1099,0.011831438168883324,0.0108999814838171,,,,,
3,1149,0.010914664715528488,0.01098999846726656,,,,,
3,1199,0.010534485802054405,0.009888722561299801,,,,,
3,1249,0.009665100835263729,0.009932313114404678,,,,,
3,1251,,,0.5210999846458435,0.5203999876976013,,,
3,1251,,,,,0.49437499046325684,0.4829750061035156,0.5226463675498962
4,1299,0.008961516432464123,0.00919943768531084,,,,,
4,1349,0.00946089532226324,0.008694993332028389,,,,,
4,1399,0.01135209109634161,0.010542307049036026,,,,,
4,1449,0.009261253289878368,0.00893063098192215,,,,,
4,1499,0.01049462053924799,0.010031800717115402,,,,,
4,1549,0.01035525742918253,0.0097317174077034,,,,,
4,1564,,,0.5217000246047974,0.5264999866485596,,,
4,1564,,,,,0.5249999761581421,0.5099250078201294,0.5492483973503113
5,1599,0.0073549989610910416,0.007139821071177721,,,,,
5,1649,0.009796302765607834,0.009621682576835155,,,,,
5,1699,0.010497705079615116,0.010914470069110394,,,,,
5,1749,0.01003179419785738,0.010429669171571732,,,,,
5,1799,0.008953779004514217,0.008554469794034958,,,,,
5,1849,0.008709590882062912,0.009547424502670765,,,,,
5,1877,,,0.5789999961853027,0.5817999839782715,,,
5,1877,,,,,0.5550249814987183,0.5416749715805054,0.5705102682113647
6,1899,0.007386643439531326,0.006940989289432764,,,,,
6,1949,0.00837891735136509,0.008112465031445026,,,,,
6,1999,0.007684281095862389,0.007005739025771618,,,,,
6,2049,0.008521038107573986,0.008345616050064564,,,,,
6,2099,0.007774834521114826,0.008342350833117962,,,,,
6,2149,0.009362206794321537,0.00878950860351324,,,,,
6,2190,,,0.5957000255584717,0.5734000205993652,,,
6,2190,,,,,0.5791249871253967,0.5677000284194946,0.6067048907279968
7,2199,0.007394656538963318,0.007244123611599207,,,,,
7,2249,0.00773564213886857,0.007265398278832436,,,,,
7,2299,0.00703097740188241,0.006891634315252304,,,,,
7,2349,0.008272016420960426,0.006710577290505171,,,,,
7,2399,0.006573283579200506,0.006071512587368488,,,,,
7,2449,0.006563044153153896,0.0061335377395153046,,,,,
7,2499,0.006524710450321436,0.006723623722791672,,,,,
7,2503,,,0.6158999800682068,0.609000027179718,,,
7,2503,,,,,0.5956249833106995,0.5896499752998352,0.6151107549667358
8,2549,0.006853983271867037,0.006972359027713537,,,,,
8,2599,0.007962515577673912,0.007792184129357338,,,,,
8,2649,0.00836954079568386,0.007920544594526291,,,,,
8,2699,0.006245212163776159,0.0053134094923734665,,,,,
8,2749,0.007279773708432913,0.006703382823616266,,,,,
8,2799,0.005819992627948523,0.004705240949988365,,,,,
8,2816,,,0.6025000214576721,0.603600025177002,,,
8,2816,,,,,0.6159250140190125,0.604200005531311,0.6372626423835754
9,2849,0.006948218215256929,0.005640990100800991,,,,,
9,2899,0.005746583454310894,0.005847212392836809,,,,,
9,2949,0.006236421409994364,0.006315596867352724,,,,,
9,2999,0.005351625848561525,0.005411584861576557,,,,,
9,3049,0.007976258173584938,0.007922686636447906,,,,,
9,3099,0.005060868337750435,0.005035466980189085,,,,,
9,3129,,,0.642300009727478,0.6287000179290771,,,
9,3129,,,,,0.6196249723434448,0.6157249808311462,0.6433939933776855
10,3149,0.006185553036630154,0.006644053850322962,,,,,
10,3199,0.0071089742705225945,0.005767404101788998,,,,,
10,3249,0.004592526238411665,0.004331194795668125,,,,,
10,3299,0.006508193910121918,0.00638358062133193,,,,,
10,3349,0.006702324375510216,0.006055058911442757,,,,,
10,3399,0.006238177418708801,0.005395413842052221,,,,,
10,3442,,,0.6455000042915344,0.6704000234603882,,,
10,3442,,,,,0.6395999789237976,0.6344500184059143,0.6523932218551636
11,3449,0.006092356983572245,0.006324595771729946,,,,,
