epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc1,train_acc2,test_acc
0,49,0.01792346127331257,0.01828988455235958,,,,,
0,99,0.016174988821148872,0.01593214087188244,,,,,
0,149,0.015292135998606682,0.014971273951232433,,,,,
0,199,0.015956204384565353,0.0157614778727293,,,,,
0,249,0.014181140810251236,0.014531088061630726,,,,,
0,299,0.014535876922309399,0.015392097644507885,,,,,
0,311,,,0.3490000069141388,0.35350000858306885,,,
0,311,,,,,0.26011618971824646,0.2521534562110901,0.3799446225166321
1,349,0.015121019445359707,0.014425859786570072,,,,,
1,399,0.013298091478645802,0.013360138982534409,,,,,
1,449,0.013346521183848381,0.01415245607495308,,,,,
1,499,0.012895827181637287,0.013676474802196026,,,,,
1,549,0.0122855044901371,0.012777276337146759,,,,,
1,599,0.012160064652562141,0.012442507781088352,,,,,
1,623,,,0.4203000068664551,0.42410001158714294,,,
1,623,,,,,0.3669371008872986,0.37224557995796204,0.4361155033111572
2,649,0.011889246292412281,0.012031770311295986,,,,,
2,699,0.011748495511710644,0.011793086305260658,,,,,
2,749,0.011392207816243172,0.01136698853224516,,,,,
2,799,0.013002932071685791,0.013808919116854668,,,,,
2,849,0.012419702485203743,0.01297368761152029,,,,,
2,899,0.011173896491527557,0.01145466323941946,,,,,
2,935,,,0.4674000144004822,0.45570001006126404,,,
2,935,,,,,0.4266326129436493,0.42836037278175354,0.4736946225166321
3,949,0.01191268116235733,0.012319548055529594,,,,,
3,999,0.010567102581262589,0.01081101130694151,,,,,
3,1049,0.010706594213843346,0.010498316027224064,,,,,
3,1099,0.010425729677081108,0.009786161594092846,,,,,
3,1149,0.010873658582568169,0.011586993932723999,,,,,
3,1199,0.009922762401401997,0.011121680028736591,,,,,
3,1247,,,0.49799999594688416,0.5011000037193298,,,
3,1247,,,,,0.4651692807674408,0.47120392322540283,0.5157238841056824
4,1249,0.010420255362987518,0.010133469477295876,,,,,
4,1299,0.010916022583842278,0.010328180156648159,,,,,
4,1349,0.010250785388052464,0.009388314560055733,,,,,
4,1399,0.010857559740543365,0.010981363244354725,,,,,
4,1449,0.011544334702193737,0.009967661462724209,,,,,
4,1499,0.008220981806516647,0.008083042688667774,,,,,
4,1549,0.009230650030076504,0.008986914530396461,,,,,
4,1559,,,0.5077000260353088,0.527999997138977,,,
4,1559,,,,,0.4981220066547394,0.5012519955635071,0.5495451092720032
5,1599,0.01043323241174221,0.010169655084609985,,,,,
5,1649,0.00985492579638958,0.008961103856563568,,,,,
5,1699,0.008496751077473164,0.008432386443018913,,,,,
5,1749,0.009274952113628387,0.008596152067184448,,,,,
5,1799,0.009766927920281887,0.009536412544548512,,,,,
5,1849,0.01010761596262455,0.009849644266068935,,,,,
5,1871,,,0.5527999997138977,0.553600013256073,,,
5,1871,,,,,0.5245893597602844,0.5286458134651184,0.5692246556282043
6,1899,0.007597686722874641,0.007221790496259928,,,,,
6,1949,0.010134870186448097,0.008340715430676937,,,,,
6,1999,0.008542126044631004,0.008023940958082676,,,,,
6,2049,0.008440510369837284,0.00840176921337843,,,,,
6,2099,0.007163500413298607,0.00663762679323554,,,,,
6,2149,0.007013911847025156,0.006699466146528721,,,,,
6,2183,,,0.5626999735832214,0.5800999999046326,,,
6,2183,,,,,0.5442708134651184,0.5519831776618958,0.5930577516555786
7,2199,0.008275213651359081,0.008647996932268143,,,,,
7,2249,0.008481604047119617,0.007723791990429163,,,,,
7,2299,0.008095800876617432,0.009167809039354324,,,,,
7,2349,0.0076681762002408504,0.007663094438612461,,,,,
7,2399,0.00801848340779543,0.00768996262922883,,,,,
7,2449,0.008135532960295677,0.008100645616650581,,,,,
7,2495,,,0.5627999901771545,0.5734999775886536,,,
7,2495,,,,,0.5705128312110901,0.5679086446762085,0.5916732549667358
