step,epoch,train_loss2,train_loss1,val_acc1,val_acc2,test_acc,train_acc2,train_acc1
49,0,0.017067307606339455,0.0178833045065403,,,,,
99,0,0.014774859882891178,0.015761669725179672,,,,,
149,0,0.014939570799469948,0.015089759603142738,,,,,
199,0,0.014332577586174011,0.014478297904133797,,,,,
249,0,0.014111165888607502,0.014908723533153534,,,,,
299,0,0.01403312012553215,0.013944391161203384,,,,,
311,0,,,0.33809998631477356,0.3508000075817108,,,
311,0,,,,,0.3675830662250519,0.26837942004203796,0.25580930709838867
349,1,0.012445583939552307,0.013444822281599045,,,,,
399,1,0.0138311218470335,0.014215701259672642,,,,,
449,1,0.013745746575295925,0.01375646237283945,,,,,
499,1,0.01267870794981718,0.01321391575038433,,,,,
549,1,0.012876269407570362,0.012344310991466045,,,,,
599,1,0.011831600219011307,0.012178855948150158,,,,,
623,1,,,0.41040000319480896,0.41600000858306885,,,
623,1,,,,,0.4303797483444214,0.38100960850715637,0.3645833432674408
649,2,0.013064499013125896,0.013081653043627739,,,,,
699,2,0.012302062474191189,0.012410834431648254,,,,,
749,2,0.011556544341146946,0.010814237408339977,,,,,
799,2,0.012282902374863625,0.012174863368272781,,,,,
849,2,0.010657253675162792,0.010689019225537777,,,,,
899,2,0.0121056092903018,0.011792819015681744,,,,,
935,2,,,0.4471000134944916,0.4634999930858612,,,
935,2,,,,,0.46598100662231445,0.4263822138309479,0.4167417883872986
949,3,0.011644222773611546,0.011388568207621574,,,,,
999,3,0.011179637163877487,0.011055382899940014,,,,,
1049,3,0.012090208940207958,0.013428371399641037,,,,,
1099,3,0.0120666129514575,0.011813788674771786,,,,,
1149,3,0.011272077448666096,0.011293690651655197,,,,,
1199,3,0.012281201779842377,0.012880805879831314,,,,,
1247,3,,,0.48339998722076416,0.5026000142097473,,,
1247,3,,,,,0.5088014006614685,0.46474358439445496,0.45505309104919434
1249,4,0.009743166156113148,0.010146133601665497,,,,,
1299,4,0.010970947332680225,0.011264333501458168,,,,,
1349,4,0.010170446708798409,0.009872389025986195,,,,,
1399,4,0.009942225180566311,0.010216212831437588,,,,,
1449,4,0.010909976437687874,0.010404156520962715,,,,,
1499,4,0.009127196855843067,0.009202888235449791,,,,,
1549,4,0.011268261820077896,0.01153989415615797,,,,,
1559,4,,,0.5023000240325928,0.5066999793052673,,,
1559,4,,,,,0.5386669039726257,0.4961688816547394,0.49163660407066345
1599,5,0.009532500989735126,0.009305666200816631,,,,,
1649,5,0.01119639165699482,0.011092156171798706,,,,,
1699,5,0.010635250248014927,0.010460170917212963,,,,,
1749,5,0.009594528935849667,0.009103726595640182,,,,,
1799,5,0.008824200369417667,0.008538633584976196,,,,,
1849,5,0.010407241061329842,0.010357890278100967,,,,,
1871,5,,,0.5013999938964844,0.515999972820282,,,
1871,5,,,,,0.5424248576164246,0.5206580758094788,0.5148988366127014
1899,6,0.009434615261852741,0.009460773319005966,,,,,
1949,6,0.009014012292027473,0.008546263910830021,,,,,
1999,6,0.009157710708677769,0.00879110861569643,,,,,
2049,6,0.00888986699283123,0.009535723365843296,,,,,
2099,6,0.00781157985329628,0.0073572853580117226,,,,,
2149,6,0.010342705063521862,0.009327972307801247,,,,,
2183,6,,,0.5623999834060669,0.5774999856948853,,,
2183,6,,,,,0.5958267450332642,0.5396634340286255,0.5411408543586731
2199,7,0.007625840604305267,0.00861093495041132,,,,,
2249,7,0.01087108999490738,0.011450354009866714,,,,,
2299,7,0.009157448075711727,0.009026224724948406,,,,,
2349,7,0.008487612940371037,0.008855419233441353,,,,,
2399,7,0.011087735183537006,0.009242787957191467,,,,,
2449,7,0.009087330661714077,0.00880460161715746,,,,,
2495,7,,,0.5659000277519226,0.5460000038146973,,,
2495,7,,,,,0.608781635761261,0.560546875,0.5589944124221802
2499,8,0.005177969112992287,0.005241927225142717,,,,,
2549,8,0.009437857195734978,0.009634069167077541,,,,,
2599,8,0.009004436433315277,0.008166315034031868,,,,,
2649,8,0.005681560840457678,0.005769210867583752,,,,,
2699,8,0.006925172638148069,0.007232231087982655,,,,,
2749,8,0.008362935855984688,0.007352711632847786,,,,,
2799,8,0.007601352874189615,0.008498751558363438,,,,,
2807,8,,,0.5652999877929688,0.5784000158309937,,,
2807,8,,,,,0.6257911324501038,0.5810797214508057,0.5776492357254028
2849,9,0.006042500492185354,0.005388643592596054,,,,,
2899,9,0.007408383768051863,0.007850956171751022,,,,,
2949,9,0.008291393518447876,0.008290767669677734,,,,,
2999,9,0.00799707043915987,0.007874151691794395,,,,,
3049,9,0.006974767427891493,0.006455106195062399,,,,,
3099,9,0.010059859603643417,0.01001285482198,,,,,
3119,9,,,0.5307999849319458,0.5698000192642212,,,
3119,9,,,,,0.593156635761261,0.5886418223381042,0.5863631963729858
3149,10,0.006829169113188982,0.006435148883610964,,,,,
3199,10,0.006847815588116646,0.005900735966861248,,,,,
3249,10,0.00756481010466814,0.0070920782163739204,,,,,
3299,10,0.0067651835270226,0.00632709264755249,,,,,
3349,10,0.005825517233461142,0.007546741049736738,,,,,
3399,10,0.005099462810903788,0.00580386770889163,,,,,
3431,10,,,0.5770999789237976,0.5812000036239624,,,
3431,10,,,,,0.6378560066223145,0.6012620329856873,0.5992337465286255
3449,11,0.005803454201668501,0.005455797538161278,,,,,
