train_loss,epoch,step,val_acc,val_loss,test_acc
2.164499521255493,0,49,,,
2.0420479774475098,0,99,,,
1.9233089685440063,0,149,,,
1.931699275970459,0,199,,,
1.7294257879257202,0,249,,,
1.927685022354126,0,299,,,
,0,311,0.35569998621940613,1.958204746246338,
,0,311,,,0.39239999651908875
2.2561984062194824,1,349,,,
2.180579423904419,1,399,,,
1.8288793563842773,1,449,,,
1.646490216255188,1,499,,,
1.7237083911895752,1,549,,,
1.7836698293685913,1,599,,,
,1,623,0.427700012922287,1.6715525388717651,
,1,623,,,0.46939998865127563
1.8503514528274536,2,649,,,
1.9288339614868164,2,699,,,
1.4533367156982422,2,749,,,
1.664413571357727,2,799,,,
1.6380163431167603,2,849,,,
1.707477331161499,2,899,,,
,2,935,0.47749999165534973,1.531022548675537,
,2,935,,,0.5171999931335449
1.9342069625854492,3,949,,,
1.7120945453643799,3,999,,,
1.672529935836792,3,1049,,,
1.3432106971740723,3,1099,,,
1.3736658096313477,3,1149,,,
1.3101263046264648,3,1199,,,
,3,1247,0.5123999714851379,1.4389132261276245,
,3,1247,,,0.565500020980835
1.468766212463379,4,1249,,,
1.7390491962432861,4,1299,,,
0.9617902636528015,4,1349,,,
1.4758658409118652,4,1399,,,
1.612522006034851,4,1449,,,
1.5194183588027954,4,1499,,,
1.2529038190841675,4,1549,,,
,4,1559,0.498199999332428,1.5562080144882202,
,4,1559,,,0.5573999881744385
1.234717845916748,5,1599,,,
1.1971235275268555,5,1649,,,
1.6068735122680664,5,1699,,,
0.9163195490837097,5,1749,,,
0.8601852655410767,5,1799,,,
1.5031797885894775,5,1849,,,
,5,1871,0.5408999919891357,1.4261846542358398,
,5,1871,,,0.609499990940094
1.6391654014587402,6,1899,,,
1.1149437427520752,6,1949,,,
1.290871262550354,6,1999,,,
1.4812783002853394,6,2049,,,
1.1632521152496338,6,2099,,,
0.9835054874420166,6,2149,,,
,6,2183,0.5680000185966492,1.3097466230392456,
,6,2183,,,0.6344000101089478
0.7481160163879395,7,2199,,,
0.5329421758651733,7,2249,,,
1.033592939376831,7,2299,,,
0.455360472202301,7,2349,,,
1.4154489040374756,7,2399,,,
0.8651388883590698,7,2449,,,
,7,2495,0.5752000212669373,1.3179771900177002,
,7,2495,,,0.6492999792098999
0.8754497766494751,8,2499,,,
0.2718926668167114,8,2549,,,
0.3475306034088135,8,2599,,,
1.426247477531433,8,2649,,,
1.1638540029525757,8,2699,,,
0.6309226751327515,8,2749,,,
0.46127212047576904,8,2799,,,
,8,2807,0.6234999895095825,1.2026439905166626,
,8,2807,,,0.7008000016212463
-0.10858750343322754,9,2849,,,
-0.3845865726470947,9,2899,,,
-0.030951380729675293,9,2949,,,
0.5514992475509644,9,2999,,,
1.2539832592010498,9,3049,,,
-0.04307568073272705,9,3099,,,
,9,3119,0.6171000003814697,1.215965747833252,
,9,3119,,,0.696399986743927
1.1139413118362427,10,3149,,,
0.4483236074447632,10,3199,,,
1.4389110803604126,10,3249,,,
0.6026829481124878,10,3299,,,
1.253404140472412,10,3349,,,
0.8049106597900391,10,3399,,,
,10,3431,0.6089000105857849,1.246080756187439,
,10,3431,,,0.682699978351593
0.7494051456451416,11,3449,,,
0.27706336975097656,11,3499,,,
1.1661955118179321,11,3549,,,
0.35735905170440674,11,3599,,,
0.22372150421142578,11,3649,,,
1.186198115348816,11,3699,,,
,11,3743,0.6518999934196472,1.1417115926742554,
,11,3743,,,0.7411999702453613
-0.3322176933288574,12,3749,,,
1.7950166463851929,12,3799,,,
0.8457472324371338,12,3849,,,
-0.40824437141418457,12,3899,,,
-0.4634368419647217,12,3949,,,
-0.11117863655090332,12,3999,,,
-0.01253366470336914,12,4049,,,
,12,4055,0.661899983882904,1.1359471082687378,
,12,4055,,,0.7560999989509583
-0.3372596502304077,13,4099,,,
1.0161559581756592,13,4149,,,
1.084166407585144,13,4199,,,
0.5397779941558838,13,4249,,,
1.1886961460113525,13,4299,,,
0.561820387840271,13,4349,,,
,13,4367,0.6690999865531921,1.1275830268859863,
,13,4367,,,0.7616000175476074
0.7952976226806641,14,4399,,,
0.44190776348114014,14,4449,,,
-0.16667723655700684,14,4499,,,
-0.6726419925689697,14,4549,,,
-0.3571028709411621,14,4599,,,
1.0433169603347778,14,4649,,,
,14,4679,0.6757000088691711,1.1142709255218506,
,14,4679,,,0.7724000215530396
-1.395946979522705,15,4699,,,
0.8566164970397949,15,4749,,,
-0.307753324508667,15,4799,,,
