step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
6049,1.0125230550765991,19,,,,
6099,0.8941946029663086,19,,,,
6149,1.2291831970214844,19,,,,
6199,0.9018641114234924,19,,,,
6239,,19,1.0742384195327759,0.676800012588501,,
6239,,19,,,0.7635999917984009,0.7054537534713745
6249,1.084165096282959,20,,,,
6299,1.0918833017349243,20,,,,
6349,1.008832573890686,20,,,,
6399,0.9241302609443665,20,,,,
6449,1.0072402954101562,20,,,,
6499,1.0085670948028564,20,,,,
6549,0.8544963002204895,20,,,,
6551,,20,1.0902862548828125,0.6797999739646912,,
6551,,20,,,0.7696999907493591,0.7087590098381042
6599,1.145393967628479,21,,,,
6649,1.057773232460022,21,,,,
6699,0.9557526707649231,21,,,,
6749,1.1138153076171875,21,,,,
6799,0.918742835521698,21,,,,
6849,1.0949898958206177,21,,,,
6863,,21,1.1419082880020142,0.657800018787384,,
6863,,21,,,0.741599977016449,0.7142928838729858
6899,0.9131134748458862,22,,,,
6949,0.8635305762290955,22,,,,
6999,1.152143955230713,22,,,,
7049,1.0297104120254517,22,,,,
7099,0.8259317278862,22,,,,
7149,1.0722572803497314,22,,,,
7175,,22,1.4788570404052734,0.5521000027656555,,
7175,,22,,,0.6093000173568726,0.7137419581413269
7199,1.0863244533538818,23,,,,
7249,0.9650171399116516,23,,,,
7299,0.977146327495575,23,,,,
7349,0.8865751028060913,23,,,,
7399,0.8243300318717957,23,,,,
7449,0.7932333946228027,23,,,,
7487,,23,1.160162091255188,0.6528000235557556,,
7487,,23,,,0.7332000136375427,0.7178986668586731
7499,0.9967458844184875,24,,,,
7549,0.9656545519828796,24,,,,
7599,0.8296507596969604,24,,,,
7649,1.1350525617599487,24,,,,
7699,1.0940823554992676,24,,,,
7749,1.1588554382324219,24,,,,
7799,1.0967864990234375,24,,,,
7799,,24,1.059838891029358,0.6870999932289124,,
7799,,24,,,0.7800999879837036,0.7222555875778198
7849,0.8549243211746216,25,,,,
7899,0.7758936882019043,25,,,,
7949,0.8031133413314819,25,,,,
7999,1.0501290559768677,25,,,,
8049,0.9608322978019714,25,,,,
8099,1.1191378831863403,25,,,,
8111,,25,1.0156246423721313,0.704800009727478,,
8111,,25,,,0.8050000071525574,0.7230318784713745
8149,0.8210249543190002,26,,,,
8199,0.7939919829368591,26,,,,
8249,0.8424662351608276,26,,,,
