step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
49,0,3.4041690826416016,,,,
99,0,3.5756242275238037,,,,
149,0,3.1684751510620117,,,,
199,0,2.844407558441162,,,,
249,0,2.9339759349823,,,,
299,0,3.0946390628814697,,,,
311,0,,1.811698079109192,0.3711000084877014,,
311,0,,,,0.30238381028175354,0.39969998598098755
349,1,3.001922130584717,,,,
399,1,2.9018590450286865,,,,
449,1,3.092890739440918,,,,
499,1,2.9914557933807373,,,,
549,1,2.6078310012817383,,,,
599,1,2.4598631858825684,,,,
623,1,,1.6468654870986938,0.445499986410141,,
623,1,,,,0.3870442807674408,0.4846999943256378
649,2,2.749770164489746,,,,
699,2,2.432783603668213,,,,
749,2,2.6004440784454346,,,,
799,2,3.0941944122314453,,,,
849,2,2.510998249053955,,,,
899,2,2.7803521156311035,,,,
935,2,,1.5078295469284058,0.4837999939918518,,
935,2,,,,0.4673227071762085,0.5379999876022339
949,3,2.726889133453369,,,,
999,3,2.203242063522339,,,,
1049,3,2.675276517868042,,,,
1099,3,2.365933418273926,,,,
1149,3,2.365570545196533,,,,
1199,3,2.860475778579712,,,,
1247,3,,1.3849287033081055,0.5534999966621399,,
1247,3,,,,0.5207832455635071,0.6255000233650208
1249,4,2.479132652282715,,,,
1299,4,2.1479949951171875,,,,
1349,4,2.149104356765747,,,,
1399,4,2.31284236907959,,,,
1449,4,2.2337515354156494,,,,
1499,4,2.2445852756500244,,,,
1549,4,2.077756881713867,,,,
1559,4,,1.3496339321136475,0.5648000240325928,,
1559,4,,,,0.5639272928237915,0.6366999745368958
1599,5,1.9643223285675049,,,,
1649,5,1.986683964729309,,,,
1699,5,2.005601644515991,,,,
1749,5,1.860272765159607,,,,
1799,5,1.7828739881515503,,,,
1849,5,1.7277295589447021,,,,
1871,5,,1.3873640298843384,0.5669999718666077,,
1871,5,,,,0.6010366678237915,0.628000020980835
1899,6,1.845996618270874,,,,
1949,6,2.076517343521118,,,,
1999,6,1.8886065483093262,,,,
2049,6,1.6458622217178345,,,,
2099,6,1.9258943796157837,,,,
2149,6,1.8890986442565918,,,,
2183,6,,1.2813690900802612,0.6057999730110168,,
2183,6,,,,0.6290565133094788,0.6862000226974487
2199,7,2.006688117980957,,,,
2249,7,1.632798194885254,,,,
2299,7,1.79251229763031,,,,
2349,7,1.4372031688690186,,,,
2399,7,1.6863652467727661,,,,
2449,7,1.626415729522705,,,,
2495,7,,1.1904369592666626,0.64410001039505,,
2495,7,,,,0.6496394276618958,0.7281000018119812
2499,8,1.689734935760498,,,,
2549,8,1.4343774318695068,,,,
2599,8,1.5542101860046387,,,,
2649,8,1.2516897916793823,,,,
2699,8,1.4528779983520508,,,,
2749,8,1.8025753498077393,,,,
2799,8,1.766053318977356,,,,
2807,8,,1.2240800857543945,0.6592000126838684,,
2807,8,,,,0.6681941151618958,0.746999979019165
2849,9,1.26670503616333,,,,
2899,9,1.1616737842559814,,,,
2949,9,1.5681486129760742,,,,
2999,9,1.3378188610076904,,,,
3049,9,1.5121495723724365,,,,
3099,9,1.2020156383514404,,,,
3119,9,,1.1902213096618652,0.6847000122070312,,
3119,9,,,,0.6827924847602844,0.7796000242233276
3149,10,1.0212441682815552,,,,
3199,10,1.4642270803451538,,,,
3249,10,1.1766589879989624,,,,
3299,10,1.4153368473052979,,,,
3349,10,1.0603265762329102,,,,
3399,10,1.327622890472412,,,,
3431,10,,1.2454966306686401,0.6798999905586243,,
3431,10,,,,0.6960887312889099,0.7745000123977661
3449,11,1.243762493133545,,,,
3499,11,1.0379047393798828,,,,
3549,11,1.034755825996399,,,,
3599,11,1.1679339408874512,,,,
3649,11,1.4183058738708496,,,,
3699,11,1.1565794944763184,,,,
3743,11,,1.267645239830017,0.6779000163078308,,
3743,11,,,,0.7032502293586731,0.7716000080108643
3749,12,0.9996476769447327,,,,
3799,12,1.1281259059906006,,,,
3849,12,1.1849324703216553,,,,
3899,12,1.0621700286865234,,,,
3949,12,1.1535911560058594,,,,
3999,12,0.9021326303482056,,,,
4049,12,1.2732819318771362,,,,
4055,12,,1.2924466133117676,0.6879000067710876,,
4055,12,,,,0.7098357081413269,0.7896000146865845
