epoch,step,train_loss1,train_loss2,test_acc,train_acc1,train_acc2
0,49,0.014154342003166676,0.014270597137510777,,,
0,99,0.013351069763302803,0.013346292078495026,,,
0,149,0.012008221819996834,0.013130037114024162,,,
0,199,0.011693215928971767,0.012126913294196129,,,
0,249,0.01009670365601778,0.01107710786163807,,,
0,299,0.010413710959255695,0.011204579845070839,,,
0,349,0.01082216203212738,0.012258432805538177,,,
0,389,,,0.5570999979972839,0.42834535241127014,0.4100761115550995
1,399,0.009260266087949276,0.009855130687355995,,,
1,449,0.008849140256643295,0.009693663567304611,,,
1,499,0.007963667623698711,0.008339657448232174,,,
1,549,0.008020663633942604,0.008561990223824978,,,
1,599,0.009709400124847889,0.009759139269590378,,,
1,649,0.00887903943657875,0.009002778679132462,,,
1,699,0.0060421256348490715,0.00602817302569747,,,
1,749,0.006665123160928488,0.006665373686701059,,,
1,779,,,0.6237999796867371,0.6133613586425781,0.5953525900840759
2,799,0.00701124407351017,0.007002695929259062,,,
2,849,0.007916471920907497,0.008058615028858185,,,
2,899,0.006238102912902832,0.006197153124958277,,,
2,949,0.005422060843557119,0.005796837620437145,,,
2,999,0.0054624006152153015,0.005526312161237001,,,
2,1049,0.004322895780205727,0.0048493072390556335,,,
2,1099,0.005311830434948206,0.006174660753458738,,,
2,1149,0.005059495568275452,0.004962995182722807,,,
2,1169,,,0.679099977016449,0.6887219548225403,0.6842147707939148
3,1199,0.004241932649165392,0.003881460288539529,,,
3,1249,0.003843035316094756,0.003958279732614756,,,
3,1299,0.005387420300394297,0.0054271165281534195,,,
3,1349,0.003878959221765399,0.003550406778231263,,,
3,1399,0.004877632018178701,0.004140650853514671,,,
3,1449,0.0028554261662065983,0.0033421802800148726,,,
3,1499,0.005886268336325884,0.005612793378531933,,,
3,1549,0.0037780709099024534,0.004375311080366373,,,
3,1559,,,0.7235000133514404,0.735897421836853,0.7397836446762085
4,1599,0.005491294898092747,0.00675122020766139,,,
4,1649,0.004763077478855848,0.005899870302528143,,,
4,1699,0.004740833770483732,0.005015681963413954,,,
4,1749,0.0034188025165349245,0.0028815155383199453,,,
4,1799,0.004242507740855217,0.004054797813296318,,,
4,1849,0.004057953134179115,0.004156445153057575,,,
4,1899,0.004700769670307636,0.00421718368306756,,,
4,1949,0.004440160933881998,0.004235225263983011,,,
4,1949,,,0.7271999716758728,0.7699719667434692,0.7707732319831848
5,1999,0.001842222292907536,0.0018130443058907986,,,
5,2049,0.004717237316071987,0.0038009791169315577,,,
5,2099,0.0028622671961784363,0.0028151539154350758,,,
5,2149,0.00477529875934124,0.004744652193039656,,,
5,2199,0.0022115549072623253,0.00267322501167655,,,
5,2249,0.0016087205149233341,0.0017122473800554872,,,
5,2299,0.003760799067094922,0.0034207014832645655,,,
5,2339,,,0.7950999736785889,0.7905648946762085,0.7927684187889099
6,2349,0.001761627965606749,0.001486412831582129,,,
6,2399,0.001981303794309497,0.002105299150571227,,,
6,2449,0.001751529984176159,0.00223196716979146,,,
6,2499,0.0030542677268385887,0.003219406120479107,,,
6,2549,0.0013984923716634512,0.0016795466654002666,,,
6,2599,0.0017762761563062668,0.0013471990823745728,,,
6,2649,0.002242941642180085,0.0017806051764637232,,,
6,2699,0.0015657991170883179,0.0010629129828885198,,,
6,2729,,,0.7817000150680542,0.8078325390815735,0.8089142441749573
7,2749,0.0033568632788956165,0.0020686809439212084,,,
7,2799,0.0021058388520032167,0.0020313882268965244,,,
7,2849,0.0022985402029007673,0.0024480209685862064,,,
7,2899,0.0012748920125886798,0.0011912675108760595,,,
7,2949,0.002003107452765107,0.0019363851752132177,,,
7,2999,0.0016754537355154753,0.0015400283737108111,,,
7,3049,0.0019481440540403128,0.0019360320875421166,,,
7,3099,0.0016263938741758466,0.0013662200653925538,,,
7,3119,,,0.8090999722480774,0.818669855594635,0.8213341236114502
8,3149,0.00041732232784852386,0.0005621291929855943,,,
