train_loss2,step,epoch,train_loss1,test_acc,train_acc2,train_acc1
0.01635303534567356,49,0,0.015533648431301117,,,
0.015669649466872215,99,0,0.015442458912730217,,,
0.015286744572222233,149,0,0.015124079771339893,,,
0.015269605442881584,199,0,0.015198853798210621,,,
0.014610009267926216,249,0,0.014482107013463974,,,
0.014823929406702518,299,0,0.01458453293889761,,,
0.014448681846261024,349,0,0.01408329512923956,,,
,389,0,,0.4007999897003174,0.27786457538604736,0.28567707538604736
0.015354527160525322,399,1,0.014908825978636742,,,
0.01324682217091322,449,1,0.013095979578793049,,,
0.013582538813352585,499,1,0.012640522792935371,,,
0.014095327816903591,549,1,0.014217986725270748,,,
0.014751364476978779,599,1,0.015003937296569347,,,
0.01322215050458908,649,1,0.013507276773452759,,,
0.012891396880149841,699,1,0.012317025102674961,,,
0.014053300954401493,749,1,0.014074024744331837,,,
,779,1,,0.4885999858379364,0.3677884638309479,0.3770432770252228
0.01314456295222044,799,2,0.012937773019075394,,,
0.012895642779767513,849,2,0.012526432052254677,,,
0.01415176223963499,899,2,0.013457450084388256,,,
0.011955471709370613,949,2,0.011224428191781044,,,
0.013564086519181728,999,2,0.014056572690606117,,,
0.01302696019411087,1049,2,0.012396557256579399,,,
0.013807079754769802,1099,2,0.013951240107417107,,,
0.0119819026440382,1149,2,0.011270483955740929,,,
,1169,2,,0.6165000200271606,0.40669071674346924,0.4202123284339905
0.012052737176418304,1199,3,0.011216731742024422,,,
0.013799118809401989,1249,3,0.013400119729340076,,,
0.012966296635568142,1299,3,0.012844693847000599,,,
0.0111012551933527,1349,3,0.011771422810852528,,,
0.011900212615728378,1399,3,0.011741758324205875,,,
0.012852612882852554,1449,3,0.012575259432196617,,,
0.011172199621796608,1499,3,0.011555209755897522,,,
0.011583482846617699,1549,3,0.011362466961145401,,,
,1559,3,,0.6370999813079834,0.43547675013542175,0.44711539149284363
0.012869931757450104,1599,4,0.012907256372272968,,,
0.011256096884608269,1649,4,0.011596275493502617,,,
0.012884802184998989,1699,4,0.013091121800243855,,,
0.011270184069871902,1749,4,0.010846915654838085,,,
0.011484610848128796,1799,4,0.011228121817111969,,,
0.011920399963855743,1849,4,0.011332182213664055,,,
0.011785118840634823,1899,4,0.011813255026936531,,,
0.01134699210524559,1949,4,0.010907165706157684,,,
,1949,4,,0.5982999801635742,0.4556490480899811,0.47119390964508057
