step,epoch,train_loss,val_acc,test_acc,train_acc
49,0,0.4754028022289276,,,
99,0,0.4122520089149475,,,
149,0,0.39030754566192627,,,
199,0,0.23239333927631378,,,
249,0,0.25639843940734863,,,
299,0,0.2889680862426758,,,
311,0,,0.39739999175071716,,
311,0,,,0.40880000591278076,0.33571213483810425
349,1,0.2263919711112976,,,
399,1,0.15755745768547058,,,
449,1,0.18654265999794006,,,
499,1,0.12438125163316727,,,
549,1,0.14995147287845612,,,
599,1,0.00964716263115406,,,
623,1,,0.48080000281333923,,
623,1,,,0.501800000667572,0.4764873683452606
649,2,0.024223245680332184,,,
699,2,-0.05875902995467186,,,
749,2,0.10003528743982315,,,
799,2,0.07142369449138641,,,
849,2,0.02302621304988861,,,
899,2,0.14850112795829773,,,
935,2,,0.5679000020027161,,
935,2,,,0.5800999999046326,0.5543870329856873
949,3,0.09100981801748276,,,
999,3,-0.11827008426189423,,,
1049,3,0.06943057477474213,,,
1099,3,-0.06410620361566544,,,
1149,3,-0.0005486151203513145,,,
1199,3,-0.03466919809579849,,,
1247,3,,0.558899998664856,,
1247,3,,,0.5788000226020813,0.6054437160491943
1249,4,-0.01021311804652214,,,
1299,4,-0.051782965660095215,,,
1349,4,-0.041319504380226135,,,
1399,4,-0.07481687515974045,,,
1449,4,0.00865216739475727,,,
1499,4,-0.09448599815368652,,,
1549,4,-0.05128277465701103,,,
1559,4,,0.6295999884605408,,
1559,4,,,0.649399995803833,0.6497896909713745
1599,5,-0.16635386645793915,,,
1649,5,-0.10274627059698105,,,
1699,5,-0.04411652684211731,,,
1749,5,-0.14896179735660553,,,
1799,5,-0.09344582259654999,,,
1849,5,-0.05592535436153412,,,
1871,5,,0.5651000142097473,,
1871,5,,,0.5781999826431274,0.6749799847602844
1899,6,-0.06991329044103622,,,
1949,6,-0.11873087286949158,,,
1999,6,-0.10865399241447449,,,
2049,6,-0.14660795032978058,,,
2099,6,-0.14111755788326263,,,
2149,6,-0.10066461563110352,,,
2183,6,,0.6617000102996826,,
2183,6,,,0.6926000118255615,0.6916816830635071
2199,7,-0.1285836100578308,,,
2249,7,-0.0995974987745285,,,
2299,7,-0.14661860466003418,,,
2349,7,-0.16866721212863922,,,
2399,7,-0.19250629842281342,,,
2449,7,-0.13993656635284424,,,
2495,7,,0.6703000068664551,,
