train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc,mix_match_loss
1.851602554321289,0,49,,,,,
2.018101215362549,0,99,,,,,
1.8111591339111328,0,149,,,,,
1.6678688526153564,0,199,,,,,
1.5774717330932617,0,249,,,,,
1.5832500457763672,0,299,,,,,
,0,311,1.697061538696289,0.39890000224113464,,,
,0,311,,,0.3317808508872986,0.43380001187324524,
1.5055181980133057,1,349,,,,,
1.5769524574279785,1,399,,,,,
1.483721137046814,1,449,,,,,
1.4294915199279785,1,499,,,,,
1.5653434991836548,1,549,,,,,
1.2468181848526,1,599,,,,,
,1,623,1.6619873046875,0.4738999903202057,,,
,1,623,,,0.4696013629436493,0.520799994468689,
1.7080979347229004,2,649,,,,,
1.1569169759750366,2,699,,,,,
1.5192985534667969,2,749,,,,,
1.1454094648361206,2,799,,,,,
1.2689298391342163,2,849,,,,,
1.2934606075286865,2,899,,,,,
,2,935,1.4525970220565796,0.5242000222206116,,,
,2,935,,,0.5480268597602844,0.5942000150680542,
1.4607394933700562,3,949,,,,,
1.5353211164474487,3,999,,,,,
1.3302828073501587,3,1049,,,,,
1.142902135848999,3,1099,,,,,
1.069366216659546,3,1149,,,,,
1.3640259504318237,3,1199,,,,,
,3,1247,1.1896946430206299,0.6284999847412109,,,
,3,1247,,,0.5988081097602844,0.7075999975204468,
1.3734060525894165,4,1249,,,,,
1.372679352760315,4,1299,,,,,
1.1801193952560425,4,1349,,,,,
1.4361904859542847,4,1399,,,,,
1.3147462606430054,4,1449,,,,,
1.1339492797851562,4,1499,,,,,
1.4258971214294434,4,1549,,,,,
,4,1559,1.2265123128890991,0.6118999719619751,,,
,4,1559,,,0.6209936141967773,0.6816999912261963,
1.1815694570541382,5,1599,,,,,
1.223270058631897,5,1649,,,,,
0.9305300116539001,5,1699,,,,,
0.9548220634460449,5,1749,,,,,
1.3241196870803833,5,1799,,,,,
1.074898362159729,5,1849,,,,,
,5,1871,1.1193536520004272,0.6606000065803528,,,
,5,1871,,,0.6567257642745972,0.7425000071525574,
1.0631693601608276,6,1899,,,,,
1.0237948894500732,6,1949,,,,,
1.120175838470459,6,1999,,,,,
1.1244195699691772,6,2049,,,,,
0.9662841558456421,6,2099,,,,,
1.012600064277649,6,2149,,,,,
,6,2183,1.10223388671875,0.6680999994277954,,,
,6,2183,,,0.6748547554016113,0.7565000057220459,
1.1218324899673462,7,2199,,,,,
1.081770420074463,7,2249,,,,,
1.230717658996582,7,2299,,,,,
1.0271226167678833,7,2349,,,,,
0.9526548385620117,7,2399,,,,,
0.9668684601783752,7,2449,,,,,
,7,2495,1.0697699785232544,0.6754999756813049,,,
,7,2495,,,0.6959885954856873,0.7656999826431274,
0.9455446600914001,8,2499,,,,,
0.8435576558113098,8,2549,,,,,
0.955998957157135,8,2599,,,,,
0.9325093030929565,8,2649,,,,,
0.9827784895896912,8,2699,,,,,
1.028932809829712,8,2749,,,,,
0.9755935668945312,8,2799,,,,,
,8,2807,1.0763803720474243,0.6777999997138977,,,
,8,2807,,,0.7067307829856873,0.7728000283241272,
1.0261561870574951,9,2849,,,,,
0.9732303023338318,9,2899,,,,,
1.0159640312194824,9,2949,,,,,
1.013641595840454,9,2999,,,,,
0.9997159838676453,9,3049,,,,,
1.0561449527740479,9,3099,,,,,
,9,3119,1.0354984998703003,0.6894000172615051,,,
,9,3119,,,0.7164964079856873,0.7897999882698059,
0.874589204788208,10,3149,,,,,
1.1310700178146362,10,3199,,,,,
0.9539424777030945,10,3249,,,,,
1.2697734832763672,10,3299,,,,,
0.9408756494522095,10,3349,,,,,
1.0148169994354248,10,3399,,,,,
,10,3431,1.0780774354934692,0.6820999979972839,,,
,10,3431,,,0.7234074473381042,0.7759000062942505,
