epoch,step,train_loss,val_acc1,val_acc2,train_acc1,test_acc,train_acc2
0,49,7.184327602386475,,,,,
0,99,95.72361755371094,,,,,
0,149,186.669189453125,,,,,
0,199,136.6475067138672,,,,,
0,249,22003.484375,,,,,
0,299,892737920.0,,,,,
0,311,,0.11219999939203262,0.10429999977350235,,,
0,311,,,,0.0973307266831398,0.09483781456947327,0.09950921684503555
1,349,329707.125,,,,,
1,399,327345.125,,,,,
1,449,1331184.875,,,,,
1,499,116146.078125,,,,,
1,549,240121.46875,,,,,
1,599,1452.5791015625,,,,,
1,623,,0.10199999809265137,0.10189999639987946,,,
1,623,,,,0.09575320780277252,0.09889240562915802,0.09708032757043839
2,649,11433.849609375,,,,,
2,699,4321.44970703125,,,,,
2,749,76115.5,,,,,
2,799,129435.3125,,,,,
2,849,1648395.75,,,,,
2,899,61501.8515625,,,,,
2,935,,0.09269999712705612,0.09380000084638596,,,
2,935,,,,0.09632913023233414,0.09909018874168396,0.09695512801408768
3,949,53111.953125,,,,,
3,999,10315.44921875,,,,,
3,1049,4875.9248046875,,,,,
3,1099,79816.5625,,,,,
3,1149,1387.568115234375,,,,,
3,1199,1720.479248046875,,,,,
3,1247,,0.10270000249147415,0.10220000147819519,,,
3,1247,,,,0.09627904742956161,0.09859573096036911,0.09435096383094788
4,1249,185588.0625,,,,,
4,1299,412825.75,,,,,
4,1349,823.2128295898438,,,,,
4,1399,5367.82080078125,,,,,
4,1449,1605.0477294921875,,,,,
4,1499,445177.34375,,,,,
4,1549,76343.0078125,,,,,
4,1559,,0.10199999809265137,0.09929999709129333,,,
4,1559,,,,0.0983072891831398,0.09889240562915802,0.0970052108168602
5,1599,1303034.875,,,,,
5,1649,222412.703125,,,,,
5,1699,29259.1171875,,,,,
5,1749,9184.244140625,,,,,
5,1799,2422.74755859375,,,,,
5,1849,119832.3984375,,,,,
5,1871,,0.12250000238418579,0.09459999948740005,,,
5,1871,,,,0.09738080948591232,0.09760680049657822,0.09442608058452606
6,1899,64816.89453125,,,,,
6,1949,9106.4287109375,,,,,
6,1999,1554.02978515625,,,,,
6,2049,2035.4111328125,,,,,
6,2099,1534.6632080078125,,,,,
6,2149,1015.356201171875,,,,,
6,2183,,0.11150000244379044,0.10029999911785126,,,
6,2183,,,,0.09450120478868484,0.10067246854305267,0.08986879140138626
7,2199,230109.234375,,,,,
7,2249,1607.85400390625,,,,,
7,2299,32223.07421875,,,,,
7,2349,4144.81591796875,,,,,
7,2399,2922.6767578125,,,,,
7,2449,8917.92578125,,,,,
7,2495,,0.09369999915361404,0.0892999991774559,,,
7,2495,,,,0.09344951808452606,0.10314477980136871,0.08894230425357819
8,2499,1480.00146484375,,,,,
8,2549,9566.9833984375,,,,,
8,2599,7341.9990234375,,,,,
8,2649,2386.4560546875,,,,,
8,2699,10479.3271484375,,,,,
8,2749,9755.35546875,,,,,
8,2799,1619.2242431640625,,,,,
8,2807,,0.10180000215768814,0.10350000113248825,,,
8,2807,,,,0.09385015815496445,0.09770569950342178,0.08794070780277252
9,2849,631614.8125,,,,,
9,2899,1347.9710693359375,,,,,
9,2949,1020.9349975585938,,,,,
9,2999,9449.2568359375,,,,,
9,3049,7095.6005859375,,,,,
9,3099,4945.0966796875,,,,,
9,3119,,0.10170000046491623,0.10499999672174454,,,
9,3119,,,,0.09269832074642181,0.09740901738405228,0.0953776016831398
10,3149,12000.732421875,,,,,
10,3199,7187.87548828125,,,,,
10,3249,6727.091796875,,,,,
10,3299,4286.29443359375,,,,,
10,3349,874.3470458984375,,,,,
10,3399,6385.9404296875,,,,,
10,3431,,0.10170000046491623,0.10570000112056732,,,
10,3431,,,,0.09527744352817535,0.09740901738405228,0.09708032757043839
11,3449,5762.31982421875,,,,,
11,3499,8743.1572265625,,,,,
11,3549,1225.6556396484375,,,,,
11,3599,933.7316284179688,,,,,
11,3649,2063.596435546875,,,,,
11,3699,5198.84423828125,,,,,
11,3743,,0.10159999877214432,0.10369999706745148,,,
11,3743,,,,0.09552784264087677,0.09740901738405228,0.09382511675357819
12,3749,6647.990234375,,,,,
12,3799,4769.2568359375,,,,,
12,3849,16336.9765625,,,,,
12,3899,5265.08984375,,,,,
12,3949,4334.8095703125,,,,,
12,3999,604.2637939453125,,,,,
12,4049,3399.3701171875,,,,,
12,4055,,0.10170000046491623,0.09380000084638596,,,
12,4055,,,,0.09555288404226303,0.09740901738405228,0.09465144574642181
13,4099,3264.705322265625,,,,,
13,4149,3447.023193359375,,,,,
13,4199,764.1376953125,,,,,
13,4249,517.4254760742188,,,,,
13,4299,2674.674560546875,,,,,
13,4349,2618.308837890625,,,,,
13,4367,,0.10180000215768814,0.09449999779462814,,,
13,4367,,,,0.09560296684503555,0.09740901738405228,0.09172175824642181
14,4399,758.5957641601562,,,,,
14,4449,2171.14990234375,,,,,
14,4499,1907.2337646484375,,,,,
14,4549,314.24169921875,,,,,
14,4599,8742.8427734375,,,,,
14,4649,1668.2816162109375,,,,,
14,4679,,0.10170000046491623,0.09309999644756317,,,
14,4679,,,,0.0944010391831398,0.09740901738405228,0.09267327934503555
15,4699,1452.1707763671875,,,,,
15,4749,1237.590576171875,,,,,
15,4799,1023.8079223632812,,,,,
15,4849,1405.9134521484375,,,,,
15,4899,772.3435668945312,,,,,
15,4949,230.026123046875,,,,,
15,4991,,0.10159999877214432,0.10419999808073044,,,
15,4991,,,,0.09560296684503555,0.09740901738405228,0.09420072287321091
