epoch,train_loss,step,val_loss,val_acc,test_acc
0,2.2766592502593994,49,,,
0,2.791853189468384,99,,,
0,2.2889318466186523,149,,,
0,2.2456650733947754,199,,,
0,2.2708537578582764,249,,,
0,2.2709286212921143,299,,,
0,,312,2.699453353881836,0.1324000060558319,
0,,312,,,0.18502768874168396
1,3.151026725769043,349,,,
1,2.6530654430389404,399,,,
1,2.413168430328369,449,,,
1,2.2078003883361816,499,,,
1,2.1135358810424805,549,,,
1,2.3003523349761963,599,,,
1,,625,2.0542988777160645,0.27140000462532043,
1,,625,,,0.26285600662231445
2,2.0228776931762695,649,,,
2,2.1821939945220947,699,,,
2,2.153423547744751,749,,,
2,2.090456962585449,799,,,
2,2.106403112411499,849,,,
2,2.100742816925049,899,,,
2,,938,1.8950084447860718,0.3050000071525574,
2,,938,,,0.3170490562915802
3,2.244373321533203,949,,,
3,2.0964436531066895,999,,,
3,2.026515245437622,1049,,,
3,2.0875797271728516,1099,,,
3,2.0772898197174072,1149,,,
3,1.9039466381072998,1199,,,
3,2.005117654800415,1249,,,
3,,1251,1.7853342294692993,0.34709998965263367,
3,,1251,,,0.36342957615852356
4,1.8561736345291138,1299,,,
4,2.030475378036499,1349,,,
4,1.7757498025894165,1399,,,
4,2.0880372524261475,1449,,,
4,1.7995784282684326,1499,,,
4,1.7703357934951782,1549,,,
4,,1564,1.7024794816970825,0.38339999318122864,
4,,1564,,,0.3957673907279968
5,1.7556384801864624,1599,,,
5,2.0484297275543213,1649,,,
5,1.856406807899475,1699,,,
5,2.041597604751587,1749,,,
5,1.5406252145767212,1799,,,
5,1.9440842866897583,1849,,,
5,,1877,1.5968685150146484,0.42980000376701355,
5,,1877,,,0.43176424503326416
6,1.91709303855896,1899,,,
6,1.802648663520813,1949,,,
6,1.8390920162200928,1999,,,
6,2.024794340133667,2049,,,
6,1.9083402156829834,2099,,,
6,1.8529818058013916,2149,,,
6,,2190,1.5984156131744385,0.4268999993801117,
6,,2190,,,0.4383900463581085
7,2.0881478786468506,2199,,,
7,1.9633160829544067,2249,,,
7,2.00622820854187,2299,,,
7,1.9868335723876953,2349,,,
7,1.7663495540618896,2399,,,
7,2.0242252349853516,2449,,,
7,1.6524711847305298,2499,,,
7,,2503,1.554162621498108,0.4675999879837036,
7,,2503,,,0.461530864238739
8,1.598866581916809,2549,,,
8,1.964797854423523,2599,,,
8,1.9466851949691772,2649,,,
8,1.8610329627990723,2699,,,
8,1.5409040451049805,2749,,,
8,1.9301631450653076,2799,,,
8,,2816,1.4792402982711792,0.47999998927116394,
8,,2816,,,0.48615506291389465
9,1.728641152381897,2849,,,
9,1.606823444366455,2899,,,
9,1.9355053901672363,2949,,,
9,2.034119129180908,2999,,,
9,2.0010945796966553,3049,,,
9,1.7911726236343384,3099,,,
9,,3129,1.4538620710372925,0.4925000071525574,
9,,3129,,,0.5090981125831604
10,1.8523035049438477,3149,,,
10,1.9523322582244873,3199,,,
10,1.7898941040039062,3249,,,
10,1.963874101638794,3299,,,
10,1.641650915145874,3349,,,
10,1.9528040885925293,3399,,,
10,,3442,1.4247416257858276,0.5149000287055969,
10,,3442,,,0.5201740264892578
11,1.9527440071105957,3449,,,
11,1.6261826753616333,3499,,,
11,1.898109793663025,3549,,,
