epoch,train_loss,step,val_acc,val_loss,test_acc
19,-2.4308886528015137,6199,,,
19,,6239,0.6757000088691711,1.1506513357162476,
19,,6239,,,0.765500009059906
20,-1.8725214004516602,6249,,,
20,-2.0512123107910156,6299,,,
20,0.039681077003479004,6349,,,
20,0.6088352203369141,6399,,,
20,-0.09337282180786133,6449,,,
20,0.47543418407440186,6499,,,
20,0.9589769840240479,6549,,,
20,,6551,0.6561999917030334,1.2448796033859253,
20,,6551,,,0.7501999735832214
21,-1.1846822500228882,6599,,,
21,0.6466665267944336,6649,,,
21,-2.1312451362609863,6699,,,
21,-1.381178855895996,6749,,,
21,-2.1138319969177246,6799,,,
21,-2.3881146907806396,6849,,,
21,,6863,0.6601999998092651,1.2919996976852417,
21,,6863,,,0.7491000294685364
22,-1.8585954904556274,6899,,,
22,-0.36366820335388184,6949,,,
22,0.23404955863952637,6999,,,
22,0.3608916997909546,7049,,,
22,0.45220518112182617,7099,,,
22,0.18454718589782715,7149,,,
22,,7175,0.6812000274658203,1.2497886419296265,
22,,7175,,,0.7753999829292297
23,-2.8573265075683594,7199,,,
23,0.4278908967971802,7249,,,
23,-0.7158184051513672,7299,,,
23,-0.7813007831573486,7349,,,
23,0.1553492546081543,7399,,,
23,-1.6829307079315186,7449,,,
23,,7487,0.6898000240325928,1.2012591361999512,
23,,7487,,,0.7833999991416931
24,-0.9269466400146484,7499,,,
24,-0.44316744804382324,7549,,,
24,-0.40723443031311035,7599,,,
24,-1.7648531198501587,7649,,,
24,0.494085431098938,7699,,,
24,-2.4266579151153564,7749,,,
24,-0.7975265979766846,7799,,,
24,,7799,0.6728000044822693,1.2519513368606567,
24,,7799,,,0.7633000016212463
25,-3.215036630630493,7849,,,
25,0.278688907623291,7899,,,
25,0.9287879467010498,7949,,,
25,-0.5428951978683472,7999,,,
25,-0.693860650062561,8049,,,
25,0.4933803081512451,8099,,,
25,,8111,0.6880000233650208,1.1989308595657349,
25,,8111,,,0.7878000140190125
26,-0.11010479927062988,8149,,,
26,-2.789909601211548,8199,,,
26,-1.0236032009124756,8249,,,
26,-1.8625892400741577,8299,,,
26,0.6478688716888428,8349,,,
26,-2.7743871212005615,8399,,,
26,,8423,0.7060999870300293,1.1780997514724731,
26,,8423,,,0.8159999847412109
27,-2.5325348377227783,8449,,,
27,-2.4434311389923096,8499,,,
27,0.5186289548873901,8549,,,
27,0.33539581298828125,8599,,,
27,-0.10077869892120361,8649,,,
27,-2.566493034362793,8699,,,
27,,8735,0.6967999935150146,1.2244353294372559,
27,,8735,,,0.8008999824523926
28,-0.9422986507415771,8749,,,
28,-3.145758628845215,8799,,,
28,-0.05919599533081055,8849,,,
28,0.09606266021728516,8899,,,
28,0.660508394241333,8949,,,
28,-0.35713887214660645,8999,,,
28,,9047,0.6891000270843506,1.2384395599365234,
28,,9047,,,0.7888000011444092
29,-4.462094783782959,9049,,,
29,-0.4000980854034424,9099,,,
29,0.06910562515258789,9149,,,
29,-3.5339717864990234,9199,,,
29,-0.27825236320495605,9249,,,
29,0.26485300064086914,9299,,,
29,-1.1879761219024658,9349,,,
29,,9359,0.7063000202178955,1.1830750703811646,
29,,9359,,,0.8123999834060669
30,-4.014520645141602,9399,,,
30,-0.02282857894897461,9449,,,
30,-0.08339047431945801,9499,,,
30,-5.463735580444336,9549,,,
30,-2.7238454818725586,9599,,,
30,0.435335636138916,9649,,,
30,,9671,0.7049000263214111,1.2291429042816162,
30,,9671,,,0.8090999722480774
31,-0.7393972873687744,9699,,,
31,-4.342808723449707,9749,,,
31,-0.11559629440307617,9799,,,
31,-4.358996391296387,9849,,,
31,-0.3729279041290283,9899,,,
31,-3.2585105895996094,9949,,,
31,,9983,0.7200999855995178,1.1667757034301758,
31,,9983,,,0.8248999714851379
32,0.7011644840240479,9999,,,
32,0.4709981679916382,10049,,,
32,0.7136518955230713,10099,,,
32,-0.33809852600097656,10149,,,
32,0.4107915163040161,10199,,,
32,0.24564433097839355,10249,,,
32,,10295,0.7164000272750854,1.1481444835662842,
32,,10295,,,0.8270999789237976
33,0.6839309930801392,10299,,,
33,0.4268869161605835,10349,,,
33,0.07699358463287354,10399,,,
33,0.3255636692047119,10449,,,
33,-3.217043876647949,10499,,,
33,0.5333596467971802,10549,,,
33,-3.8154406547546387,10599,,,
33,,10607,0.7063000202178955,1.2008177042007446,
33,,10607,,,0.810699999332428
34,-4.010746955871582,10649,,,
34,-0.18262171745300293,10699,,,
34,-0.4430108070373535,10749,,,
34,0.10478782653808594,10799,,,
34,-0.3688030242919922,10849,,,
34,0.25295424461364746,10899,,,
34,,10919,0.7027000188827515,1.2196481227874756,
34,,10919,,,0.8083999752998352
35,-3.715269088745117,10949,,,
35,-0.2286534309387207,10999,,,
35,-5.562087059020996,11049,,,
35,0.028641819953918457,11099,,,
35,-0.9109916687011719,11149,,,
35,0.4396522045135498,11199,,,
35,,11231,0.715499997138977,1.1858158111572266,
35,,11231,,,0.8230000138282776
36,-1.6227636337280273,11249,,,
36,0.6264017820358276,11299,,,
36,-0.06958293914794922,11349,,,
36,-4.787417411804199,11399,,,
36,-4.515228271484375,11449,,,
36,0.48522400856018066,11499,,,
36,,11543,0.7247999906539917,1.1675350666046143,
36,,11543,,,0.8413000106811523
37,-0.11473536491394043,11549,,,
37,-0.4762887954711914,11599,,,
37,0.6939736604690552,11649,,,
37,-1.0878500938415527,11699,,,
37,-1.1856293678283691,11749,,,
37,-0.18337011337280273,11799,,,
37,-1.7092194557189941,11849,,,
37,,11855,0.7214000225067139,1.221551537513733,
37,,11855,,,0.832099974155426
38,-1.045776128768921,11899,,,
38,-2.5568103790283203,11949,,,
38,-0.17086684703826904,11999,,,
38,-0.8389458656311035,12049,,,
38,0.43075084686279297,12099,,,
38,0.12963008880615234,12149,,,
38,,12167,0.7192999720573425,1.2420834302902222,
38,,12167,,,0.8320000171661377
39,0.2362663745880127,12199,,,
39,-1.0773141384124756,12249,,,
39,-6.073292255401611,12299,,,
39,-0.672358512878418,12349,,,
39,0.15378522872924805,12399,,,
39,-3.75955867767334,12449,,,
39,,12479,0.7305999994277954,1.1715813875198364,
39,,12479,,,0.8472999930381775
40,-2.1621367931365967,12499,,,
40,-2.8200509548187256,12549,,,
40,0.47854459285736084,12599,,,
40,0.24371075630187988,12649,,,
40,-2.147667407989502,12699,,,
40,0.48861217498779297,12749,,,
40,,12791,0.7249000072479248,1.2080122232437134,
40,,12791,,,0.8335999846458435
41,0.1874375343322754,12799,,,
41,0.35718345642089844,12849,,,
41,-0.32058048248291016,12899,,,
41,0.26591789722442627,12949,,,
41,-1.3743672370910645,12999,,,
41,0.7936407327651978,13049,,,
41,-3.292125701904297,13099,,,
41,,13103,0.7179999947547913,1.2444612979888916,
41,,13103,,,0.8234000205993652
42,0.41861283779144287,13149,,,
42,0.4542165994644165,13199,,,
42,-1.6411014795303345,13249,,,
42,0.5563535690307617,13299,,,
42,-0.05788779258728027,13349,,,
42,0.05698537826538086,13399,,,
42,,13415,0.7160000205039978,1.2106211185455322,
42,,13415,,,0.8248999714851379
43,0.42230844497680664,13449,,,
43,-1.7970314025878906,13499,,,
43,-0.1314551830291748,13549,,,
43,-5.889806747436523,13599,,,
43,-2.256544828414917,13649,,,
43,-1.9572464227676392,13699,,,
43,,13727,0.7263000011444092,1.2118782997131348,
43,,13727,,,0.838699996471405
44,0.017308950424194336,13749,,,
44,-3.341693639755249,13799,,,
44,-1.9509177207946777,13849,,,
44,-7.042245864868164,13899,,,
44,-1.672551155090332,13949,,,
44,-0.0008153915405273438,13999,,,
44,,14039,0.7275000214576721,1.2557629346847534,
44,,14039,,,0.8427000045776367
45,0.24041128158569336,14049,,,
45,-1.3978753089904785,14099,,,
45,-5.916112899780273,14149,,,
45,-2.8541224002838135,14199,,,
45,0.6464865207672119,14249,,,
45,0.11148738861083984,14299,,,
45,-3.7059013843536377,14349,,,
45,,14351,0.7231000065803528,1.2610706090927124,
45,,14351,,,0.8299999833106995
46,-0.12334680557250977,14399,,,
46,0.12198078632354736,14449,,,
46,-0.15755724906921387,14499,,,
46,0.38773036003112793,14549,,,
46,-0.12482857704162598,14599,,,
46,-0.8190441131591797,14649,,,
46,,14663,0.7264999747276306,1.2155532836914062,
46,,14663,,,0.833899974822998
47,-0.763979434967041,14699,,,
47,-0.5658879280090332,14749,,,
47,-2.3601245880126953,14799,,,
47,-2.7345831394195557,14849,,,
47,0.05967414379119873,14899,,,
47,0.2522773742675781,14949,,,
47,,14975,0.7268999814987183,1.1695882081985474,
47,,14975,,,0.8384000062942505
48,-1.9840902090072632,14999,,,
48,0.4788450002670288,15049,,,
48,-3.1415798664093018,15099,,,
48,-0.9042534828186035,15149,,,
48,-2.6724119186401367,15199,,,
48,-5.26230525970459,15249,,,
48,,15287,0.7085999846458435,1.3052781820297241,
48,,15287,,,0.8136000037193298
49,0.16017365455627441,15299,,,
49,-1.4988553524017334,15349,,,
49,0.268072247505188,15399,,,
49,-5.067480087280273,15449,,,
49,0.7823083400726318,15499,,,
49,0.06824588775634766,15549,,,
49,0.09901261329650879,15599,,,
49,,15599,0.7285000085830688,1.3121031522750854,
49,,15599,,,0.839900016784668
50,-4.372202396392822,15649,,,
50,-0.6700055599212646,15699,,,
50,-6.505756855010986,15749,,,
50,-0.6075575351715088,15799,,,
50,-1.779494285583496,15849,,,
50,-0.9625566005706787,15899,,,
50,,15911,0.7444000244140625,1.2428542375564575,
50,,15911,,,0.8610000014305115
51,-2.403594970703125,15949,,,
51,-2.7333812713623047,15999,,,
51,-3.0168511867523193,16049,,,
51,0.19579148292541504,16099,,,
51,-0.8574950695037842,16149,,,
51,-4.525064468383789,16199,,,
51,,16223,0.7407000064849854,1.2151379585266113,
51,,16223,,,0.8569999933242798
52,-0.6323249340057373,16249,,,
52,-1.685187816619873,16299,,,
52,0.583025336265564,16349,,,
52,-2.932060718536377,16399,,,
52,-0.1849071979522705,16449,,,
52,-3.1035633087158203,16499,,,
52,,16535,0.7357000112533569,1.2325680255889893,
52,,16535,,,0.84170001745224
53,-7.46019172668457,16549,,,
53,-0.2769775390625,16599,,,
53,-1.5300626754760742,16649,,,
53,-0.1609647274017334,16699,,,
53,-2.6415367126464844,16749,,,
53,-0.8391759395599365,16799,,,
53,,16847,0.7444999814033508,1.1716419458389282,
53,,16847,,,0.8596000075340271
54,-2.795287847518921,16849,,,
54,-4.543616771697998,16899,,,
54,-3.3724942207336426,16949,,,
54,-4.538549423217773,16999,,,
54,0.2534065246582031,17049,,,
54,-0.4100215435028076,17099,,,
54,-0.11210274696350098,17149,,,
54,,17159,0.7436000108718872,1.2061564922332764,
54,,17159,,,0.8567000031471252
55,-7.057018756866455,17199,,,
55,-0.4132988452911377,17249,,,
55,-0.8370380401611328,17299,,,
55,-3.2210042476654053,17349,,,
55,-0.6031851768493652,17399,,,
55,-3.2413153648376465,17449,,,
55,,17471,0.7376000285148621,1.2346419095993042,
55,,17471,,,0.8575999736785889
56,-0.813725471496582,17499,,,
56,-3.6228556632995605,17549,,,
56,-0.06949472427368164,17599,,,
56,-2.4573240280151367,17649,,,
56,-3.3420917987823486,17699,,,
56,0.3741501569747925,17749,,,
56,,17783,0.7434999942779541,1.2084879875183105,
56,,17783,,,0.8587999939918518
57,0.4896441698074341,17799,,,
57,-6.378310680389404,17849,,,
57,-0.9367630481719971,17899,,,
57,-0.4520273208618164,17949,,,
57,-1.0102722644805908,17999,,,
57,-5.635161876678467,18049,,,
57,,18095,0.7529000043869019,1.2330856323242188,
57,,18095,,,0.8694999814033508
58,0.02833390235900879,18099,,,
58,-3.6790847778320312,18149,,,
58,-0.28453993797302246,18199,,,
58,-0.13113641738891602,18249,,,
58,-0.8572373390197754,18299,,,
58,-2.7343568801879883,18349,,,
58,-0.6341218948364258,18399,,,
58,,18407,0.7462999820709229,1.2653180360794067,
58,,18407,,,0.866100013256073
59,0.0973055362701416,18449,,,
59,-1.7562193870544434,18499,,,
59,-3.189852476119995,18549,,,
59,0.34000301361083984,18599,,,
59,-1.9978386163711548,18649,,,
59,0.35319018363952637,18699,,,
59,,18719,0.7462000250816345,1.2321423292160034,
59,,18719,,,0.8641999959945679
60,-0.659778356552124,18749,,,
60,-2.2499098777770996,18799,,,
60,-4.0652546882629395,18849,,,
60,-3.162945032119751,18899,,,
60,0.30922019481658936,18949,,,
60,0.30805885791778564,18999,,,
60,,19031,0.7437999844551086,1.347969651222229,
60,,19031,,,0.8636000156402588
61,-4.207497596740723,19049,,,
61,-1.1120545864105225,19099,,,
61,-1.9732208251953125,19149,,,
61,-1.7083067893981934,19199,,,
61,0.26775336265563965,19249,,,
61,-0.7613062858581543,19299,,,
61,,19343,0.7444000244140625,1.3306233882904053,
61,,19343,,,0.8655999898910522
62,-3.67092227935791,19349,,,
62,-3.1376900672912598,19399,,,
62,-3.48830246925354,19449,,,
62,-3.703134298324585,19499,,,
62,-4.375986099243164,19549,,,
62,-6.486323833465576,19599,,,
62,0.19167399406433105,19649,,,
62,,19655,0.738099992275238,1.2640470266342163,
62,,19655,,,0.8560000061988831
63,-2.01666522026062,19699,,,
63,-7.599002361297607,19749,,,
63,-8.013270378112793,19799,,,
63,-3.1134114265441895,19849,,,
63,0.4056057929992676,19899,,,
63,-1.6554336547851562,19949,,,
63,,19967,0.741100013256073,1.2438342571258545,
63,,19967,,,0.8618999719619751
64,-0.6211702823638916,19999,,,
64,-4.732236862182617,20049,,,
64,-2.140714168548584,20099,,,
64,-0.3907032012939453,20149,,,
64,0.10106086730957031,20199,,,
64,-1.5386087894439697,20249,,,
64,,20279,0.7502999901771545,1.2183284759521484,
64,,20279,,,0.8707000017166138
65,-1.8405508995056152,20299,,,
65,-0.2064509391784668,20349,,,
65,-2.0204505920410156,20399,,,
65,-3.226919651031494,20449,,,
65,-0.9156394004821777,20499,,,
65,-5.076503276824951,20549,,,
65,,20591,0.7491999864578247,1.241483449935913,
65,,20591,,,0.8658999800682068
66,0.26747775077819824,20599,,,
66,-6.934152603149414,20649,,,
66,-0.5508954524993896,20699,,,
66,-0.07868766784667969,20749,,,
66,-0.604896068572998,20799,,,
66,-0.5671277046203613,20849,,,
66,-1.2200080156326294,20899,,,
66,,20903,0.75,1.2400321960449219,
66,,20903,,,0.8774999976158142
67,0.09913492202758789,20949,,,
67,-0.007428407669067383,20999,,,
67,-0.12621092796325684,21049,,,
67,-2.118720769882202,21099,,,
67,-0.4658775329589844,21149,,,
67,-0.16028404235839844,21199,,,
67,,21215,0.7533000111579895,1.2228894233703613,
67,,21215,,,0.8799999952316284
68,-4.071534156799316,21249,,,
68,-8.852935791015625,21299,,,
68,-6.683210849761963,21349,,,
68,0.3970468044281006,21399,,,
68,-2.0214569568634033,21449,,,
68,0.29753589630126953,21499,,,
68,,21527,0.7537000179290771,1.2550078630447388,
68,,21527,,,0.8799999952316284
69,0.6145861148834229,21549,,,
69,-0.716404914855957,21599,,,
69,-0.4611077308654785,21649,,,
69,-0.314730167388916,21699,,,
69,-1.4720096588134766,21749,,,
69,-0.43320369720458984,21799,,,
69,,21839,0.7537000179290771,1.2973514795303345,
69,,21839,,,0.8798999786376953
70,-0.45488500595092773,21849,,,
70,-0.758012056350708,21899,,,
70,-3.0353736877441406,21949,,,
70,-2.3887293338775635,21999,,,
70,-0.06357145309448242,22049,,,
70,-4.636022567749023,22099,,,
70,-2.8034510612487793,22149,,,
70,,22151,0.7508000135421753,1.2761449813842773,
70,,22151,,,0.8697999715805054
71,-0.8045816421508789,22199,,,
71,-0.4482848644256592,22249,,,
71,-1.4332271814346313,22299,,,
71,-1.9523439407348633,22349,,,
71,0.2975656986236572,22399,,,
71,-3.0953779220581055,22449,,,
71,,22463,0.7426999807357788,1.294285535812378,
71,,22463,,,0.8583999872207642
72,-1.1283941268920898,22499,,,
72,-0.7802574634552002,22549,,,
72,-1.948695421218872,22599,,,
72,-5.859395980834961,22649,,,
72,-0.6161065101623535,22699,,,
72,-8.853764533996582,22749,,,
72,,22775,0.7519999742507935,1.2623990774154663,
72,,22775,,,0.8705999851226807
73,-0.6404528617858887,22799,,,
73,-1.5781818628311157,22849,,,
73,0.17639696598052979,22899,,,
73,-1.669083595275879,22949,,,
73,0.06407499313354492,22999,,,
73,-1.2636137008666992,23049,,,
73,,23087,0.7506999969482422,1.2431515455245972,
73,,23087,,,0.876800000667572
74,-3.730557680130005,23099,,,
74,-2.5158562660217285,23149,,,
74,-2.0335335731506348,23199,,,
74,-3.6319286823272705,23249,,,
74,-2.942333698272705,23299,,,
74,-3.2607815265655518,23349,,,
74,-1.2432260513305664,23399,,,
74,,23399,0.7534999847412109,1.2321115732192993,
74,,23399,,,0.8824999928474426
75,-6.308532238006592,23449,,,
75,-1.9242570400238037,23499,,,
75,-1.3233773708343506,23549,,,
75,0.4525355100631714,23599,,,
75,-1.800691843032837,23649,,,
75,-9.285059928894043,23699,,,
75,,23711,0.7560999989509583,1.2207266092300415,
75,,23711,,,0.880299985408783
76,-0.41863346099853516,23749,,,
76,-0.21077680587768555,23799,,,
76,-1.6605288982391357,23849,,,
76,-0.9951932430267334,23899,,,
76,-6.457587718963623,23949,,,
76,-0.8909680843353271,23999,,,
76,,24023,0.7538999915122986,1.1889399290084839,
76,,24023,,,0.8761000037193298
77,-1.8189971446990967,24049,,,
77,-3.604861259460449,24099,,,
77,-3.170889139175415,24149,,,
77,-1.3298156261444092,24199,,,
77,-3.196282148361206,24249,,,
77,-2.073498010635376,24299,,,
77,,24335,0.7569000124931335,1.2255607843399048,
77,,24335,,,0.881600022315979
78,-4.269876956939697,24349,,,
78,-2.8758091926574707,24399,,,
78,0.19042563438415527,24449,,,
78,-1.9923417568206787,24499,,,
78,-0.8054139614105225,24549,,,
78,-0.6653662919998169,24599,,,
