step,train_loss,epoch,val_acc,val_loss,train_acc,test_acc
49,3.3885886669158936,0,,,,
99,3.584195613861084,0,,,,
149,3.336648941040039,0,,,,
199,2.9930155277252197,0,,,,
249,3.184401512145996,0,,,,
299,2.8559927940368652,0,,,,
311,,0,0.3628000020980835,3.0137622356414795,,
311,,0,,,0.2953726053237915,0.3977999985218048
349,2.931691884994507,1,,,,
399,3.390087842941284,1,,,,
449,2.9425549507141113,1,,,,
499,2.7683441638946533,1,,,,
549,2.627537727355957,1,,,,
599,2.679933547973633,1,,,,
623,,1,0.4325999915599823,1.7838375568389893,,
623,,1,,,0.4139373004436493,0.47209998965263367
649,2.6097397804260254,2,,,,
699,2.1970863342285156,2,,,,
749,2.262700319290161,2,,,,
799,2.7769649028778076,2,,,,
849,2.4920029640197754,2,,,,
899,1.8903536796569824,2,,,,
935,,2,0.4375999867916107,1.598952054977417,,
935,,2,,,0.4838491678237915,0.48159998655319214
949,2.545348882675171,3,,,,
999,2.5450258255004883,3,,,,
1049,2.511676549911499,3,,,,
1099,2.232792854309082,3,,,,
1149,2.2694616317749023,3,,,,
1199,2.184943914413452,3,,,,
1247,,3,0.551800012588501,1.510763168334961,,
1247,,3,,,0.5333533883094788,0.6216999888420105
1249,2.317999839782715,4,,,,
1299,2.269684314727783,4,,,,
1349,2.0645833015441895,4,,,,
1399,2.2969188690185547,4,,,,
1449,2.3312439918518066,4,,,,
1499,2.251887559890747,4,,,,
1549,2.5874013900756836,4,,,,
1559,,4,0.5315999984741211,1.78084397315979,,
1559,,4,,,0.5613231062889099,0.5928000211715698
1599,2.0798373222351074,5,,,,
1649,1.6048941612243652,5,,,,
1699,1.9590822458267212,5,,,,
1749,1.9521247148513794,5,,,,
1799,1.8221303224563599,5,,,,
1849,1.9360601902008057,5,,,,
1871,,5,0.6204000115394592,1.241376519203186,,
1871,,5,,,0.6115785241127014,0.6998999714851379
1899,2.0997915267944336,6,,,,
1949,2.119814157485962,6,,,,
1999,1.8730429410934448,6,,,,
2049,1.9973055124282837,6,,,,
2099,1.455932855606079,6,,,,
2149,1.6713318824768066,6,,,,
2183,,6,0.6459000110626221,1.1695294380187988,,
2183,,6,,,0.6401993036270142,0.7401999831199646
2199,1.4483104944229126,7,,,,
2249,1.5766406059265137,7,,,,
2299,1.6599116325378418,7,,,,
2349,1.7199575901031494,7,,,,
2399,1.8916257619857788,7,,,,
2449,1.6083556413650513,7,,,,
2495,,7,0.6398000121116638,1.2503284215927124,,
2495,,7,,,0.6607071161270142,0.7229999899864197
2499,1.2697309255599976,8,,,,
2549,1.4681520462036133,8,,,,
2599,1.339729905128479,8,,,,
2649,1.6855816841125488,8,,,,
2699,1.2819645404815674,8,,,,
2749,1.2720885276794434,8,,,,
2799,1.2274311780929565,8,,,,
2807,,8,0.6825000047683716,1.1531568765640259,,
2807,,8,,,0.6764573454856873,0.7670000195503235
2849,1.2939517498016357,9,,,,
2899,1.206688404083252,9,,,,
2949,1.4900188446044922,9,,,,
2999,1.241670846939087,9,,,,
3049,1.4520702362060547,9,,,,
3099,1.4532182216644287,9,,,,
3119,,9,0.6654999852180481,1.2334598302841187,,
3119,,9,,,0.6882261633872986,0.7544000148773193
3149,1.1890116930007935,10,,,,
3199,0.9218282103538513,10,,,,
3249,1.3227946758270264,10,,,,
3299,1.3956890106201172,10,,,,
3349,1.241450309753418,10,,,,
3399,0.8105224370956421,10,,,,
3431,,10,0.6815000176429749,1.2701996564865112,,
3431,,10,,,0.7000700831413269,0.7736999988555908
3449,1.4228909015655518,11,,,,
3499,1.1243484020233154,11,,,,
3549,1.2047812938690186,11,,,,
