step,train_loss,epoch,val_loss,val_acc,train_acc,test_acc
13499,-17.779109954833984,43,,,,
13549,-18.189247131347656,43,,,,
13599,-18.133743286132812,43,,,,
13649,-17.917877197265625,43,,,,
13699,-18.605140686035156,43,,,,
13727,,43,2.50649094581604,0.753000020980835,,
13727,,43,,,0.8080679178237915,0.7822999954223633
13749,-18.551576614379883,44,,,,
13799,-17.68047523498535,44,,,,
13849,-17.187097549438477,44,,,,
13899,-17.360626220703125,44,,,,
13949,-18.574703216552734,44,,,,
13999,-17.703954696655273,44,,,,
14039,,44,2.43684458732605,0.7483999729156494,,
14039,,44,,,0.8065905570983887,0.7836999893188477
14049,-18.278013229370117,45,,,,
14099,-18.200607299804688,45,,,,
14149,-18.18048667907715,45,,,,
14199,-18.723033905029297,45,,,,
14249,-18.243459701538086,45,,,,
14299,-18.655359268188477,45,,,,
14349,-18.64019775390625,45,,,,
14351,,45,2.684448719024658,0.7479000091552734,,
14351,,45,,,0.8090444803237915,0.78329998254776
14399,-18.547592163085938,46,,,,
14449,-18.224058151245117,46,,,,
14499,-17.96792221069336,46,,,,
14549,-17.45628547668457,46,,,,
14599,-17.64933204650879,46,,,,
14649,-18.250919342041016,46,,,,
14663,,46,2.471163749694824,0.7638999819755554,,
14663,,46,,,0.8080428838729858,0.7990999817848206
14699,-17.23814582824707,47,,,,
14749,-17.88570785522461,47,,,,
14799,-18.552087783813477,47,,,,
14849,-18.789844512939453,47,,,,
14899,-18.060277938842773,47,,,,
14949,-17.242923736572266,47,,,,
14975,,47,3.0823593139648438,0.7265999913215637,,
14975,,47,,,0.8092197775840759,0.7519999742507935
14999,-19.12748146057129,48,,,,
15049,-19.079368591308594,48,,,,
15099,-18.302570343017578,48,,,,
15149,-17.936126708984375,48,,,,
15199,-18.504619598388672,48,,,,
15249,-17.522342681884766,48,,,,
15287,,48,2.7690348625183105,0.7445999979972839,,
15287,,48,,,0.8096704483032227,0.7882999777793884
15299,-18.226947784423828,49,,,,
15349,-18.86050796508789,49,,,,
15399,-18.139240264892578,49,,,,
15449,-17.32596778869629,49,,,,
15499,-16.524097442626953,49,,,,
15549,-18.27271842956543,49,,,,
15599,-17.816816329956055,49,,,,
15599,,49,2.357919216156006,0.7702999711036682,,
15599,,49,,,0.8100460767745972,0.8129000067710876
15649,-18.852901458740234,50,,,,
15699,-18.731407165527344,50,,,,
15749,-17.39806365966797,50,,,,
15799,-18.54024887084961,50,,,,
15849,-18.08366584777832,50,,,,
15899,-18.236967086791992,50,,,,
15911,,50,2.166200876235962,0.7716000080108643,,
15911,,50,,,0.8091696500778198,0.824999988079071
