epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
0,49,1.9745898246765137,,,,
0,99,1.7620301246643066,,,,
0,149,1.7410557270050049,,,,
0,199,1.8271664381027222,,,,
0,249,1.7233256101608276,,,,
0,299,1.522912621498108,,,,
0,311,,1.6394100189208984,0.4431999921798706,,
0,311,,,,0.34307390451431274,0.4957999885082245
1,349,1.5272562503814697,,,,
1,399,1.4327020645141602,,,,
1,449,1.6785728931427002,,,,
1,499,1.4499552249908447,,,,
1,549,1.6527094841003418,,,,
1,599,1.5395227670669556,,,,
1,623,,1.405906081199646,0.5217000246047974,,
1,623,,,,0.4831981062889099,0.5837000012397766
2,649,1.304124355316162,,,,
2,699,1.4145630598068237,,,,
2,749,1.1858794689178467,,,,
2,799,1.3469167947769165,,,,
2,849,1.3066625595092773,,,,
2,899,1.0618805885314941,,,,
2,935,,1.3132075071334839,0.5852000117301941,,
2,935,,,,0.5622746348381042,0.6682000160217285
3,949,1.204382300376892,,,,
3,999,1.190155267715454,,,,
3,1049,1.164116621017456,,,,
3,1099,1.412766456604004,,,,
3,1149,1.3199453353881836,,,,
3,1199,1.282395601272583,,,,
3,1247,,1.2606269121170044,0.6075999736785889,,
3,1247,,,,0.6122045516967773,0.6906999945640564
4,1249,0.9778323769569397,,,,
4,1299,1.213081955909729,,,,
4,1349,1.141193151473999,,,,
4,1399,1.0702264308929443,,,,
4,1449,1.2506989240646362,,,,
4,1499,1.3293192386627197,,,,
4,1549,1.2902653217315674,,,,
4,1559,,1.2922439575195312,0.6043999791145325,,
4,1559,,,,0.6461338400840759,0.6850000023841858
5,1599,1.0843368768692017,,,,
5,1649,1.1698541641235352,,,,
5,1699,0.9795482754707336,,,,
5,1749,0.9937057495117188,,,,
5,1799,1.0300791263580322,,,,
5,1849,1.1594552993774414,,,,
5,1871,,1.156516432762146,0.6549999713897705,,
5,1871,,,,0.6690705418586731,0.7394999861717224
6,1899,1.1254199743270874,,,,
6,1949,1.1653931140899658,,,,
6,1999,1.1315090656280518,,,,
6,2049,1.1587131023406982,,,,
6,2099,1.2702398300170898,,,,
6,2149,0.9539897441864014,,,,
6,2183,,1.1478303670883179,0.6626999974250793,,
6,2183,,,,0.6870242357254028,0.7476999759674072
7,2199,0.8712177276611328,,,,
7,2249,1.070655345916748,,,,
7,2299,1.052490234375,,,,
7,2349,0.9181244373321533,,,,
7,2399,1.1045600175857544,,,,
7,2449,0.9535533785820007,,,,
7,2495,,1.093122959136963,0.6765000224113464,,
7,2495,,,,0.6975911259651184,0.7702999711036682
8,2499,1.004558801651001,,,,
8,2549,1.0132193565368652,,,,
8,2599,1.0196571350097656,,,,
8,2649,1.0418486595153809,,,,
8,2699,0.7779286503791809,,,,
8,2749,0.8296439051628113,,,,
8,2799,1.0123523473739624,,,,
8,2807,,1.0879548788070679,0.676800012588501,,
8,2807,,,,0.7087339758872986,0.7803999781608582
9,2849,1.2014825344085693,,,,
9,2899,1.0929646492004395,,,,
9,2949,0.9686376452445984,,,,
9,2999,0.7472284436225891,,,,
9,3049,1.2172861099243164,,,,
9,3099,0.9965605735778809,,,,
9,3119,,1.1423563957214355,0.6625999808311462,,
9,3119,,,,0.7186247706413269,0.7657999992370605
10,3149,1.1259615421295166,,,,
10,3199,0.9730770587921143,,,,
10,3249,0.695315957069397,,,,
10,3299,0.8968832492828369,,,,
10,3349,1.076530933380127,,,,
10,3399,0.8871144652366638,,,,
10,3431,,1.0392719507217407,0.7006999850273132,,
10,3431,,,,0.7251602411270142,0.8003000020980835
11,3449,0.5746476650238037,,,,
11,3499,0.6727078557014465,,,,
11,3549,0.8801515102386475,,,,
11,3599,0.5785247683525085,,,,
11,3649,0.6381005048751831,,,,
11,3699,0.6510099172592163,,,,
11,3743,,0.7610852122306824,0.6985999941825867,,
11,3743,,,,0.7237580418586731,0.8102999925613403
12,3749,0.16110116243362427,,,,
12,3799,0.10727126896381378,,,,
12,3849,-0.09120239317417145,,,,
12,3899,0.21805483102798462,,,,
12,3949,-0.028651278465986252,,,,
12,3999,0.3971893787384033,,,,
12,4049,0.5715866088867188,,,,
12,4055,,0.49368807673454285,0.6344000101089478,,
12,4055,,,,0.6987930536270142,0.7311000227928162
13,4099,-0.2268611192703247,,,,
13,4149,-0.2564782500267029,,,,
13,4199,-0.2258104383945465,,,,
13,4249,-0.26230520009994507,,,,
13,4299,-0.22108066082000732,,,,
13,4349,-0.437664270401001,,,,
13,4367,,-0.3502166271209717,0.6682000160217285,,
13,4367,,,,0.6951121687889099,0.7623999714851379
14,4399,-1.8293006420135498,,,,
14,4449,-1.6822954416275024,,,,
14,4499,-0.8643737435340881,,,,
14,4549,-1.5814241170883179,,,,
14,4599,-1.2805325984954834,,,,
14,4649,-1.1188488006591797,,,,
14,4679,,-0.9266095757484436,0.652999997138977,,
14,4679,,,,0.6986178159713745,0.7501999735832214
15,4699,-2.044670581817627,,,,
15,4749,-1.4019789695739746,,,,
15,4799,-1.9341367483139038,,,,
15,4849,-2.477292060852051,,,,
15,4899,-2.8075361251831055,,,,
15,4949,-2.482435464859009,,,,
15,4991,,-1.8934717178344727,0.6693999767303467,,
15,4991,,,,0.7073317170143127,0.7603999972343445
16,4999,-3.454756259918213,,,,
16,5049,-3.024219036102295,,,,
16,5099,-2.5978615283966064,,,,
16,5149,-2.8712549209594727,,,,
16,5199,-4.113224506378174,,,,
16,5249,-3.327646255493164,,,,
16,5299,-3.185835361480713,,,,
16,5303,,-2.900533676147461,0.682699978351593,,
16,5303,,,,0.7137419581413269,0.7832000255584717
17,5349,-4.033977031707764,,,,
17,5399,-4.837028503417969,,,,
17,5449,-3.9342892169952393,,,,
17,5499,-5.066516876220703,,,,
17,5549,-4.148853778839111,,,,
17,5599,-4.193867206573486,,,,
17,5615,,-3.448464870452881,0.663100004196167,,
17,5615,,,,0.723557710647583,0.7587000131607056
18,5649,-5.130572319030762,,,,
18,5699,-5.175930976867676,,,,
18,5749,-5.832491874694824,,,,
18,5799,-4.447678565979004,,,,
18,5849,-5.673196315765381,,,,
18,5899,-5.323556423187256,,,,
18,5927,,-5.068802356719971,0.7192000150680542,,
18,5927,,,,0.7301933169364929,0.82669997215271
19,5949,-6.8462233543396,,,,
19,5999,-6.940280914306641,,,,
19,6049,-6.855680465698242,,,,
19,6099,-7.531707763671875,,,,
19,6149,-7.009404182434082,,,,
19,6199,-5.585428237915039,,,,
19,6239,,-6.252231597900391,0.729200005531311,,
19,6239,,,,0.7359024286270142,0.8299000263214111
20,6249,-7.688690185546875,,,,
20,6299,-6.623465061187744,,,,
20,6349,-7.042807102203369,,,,
20,6399,-8.005645751953125,,,,
20,6449,-8.083921432495117,,,,
20,6499,-8.71072006225586,,,,
20,6549,-7.467602729797363,,,,
20,6551,,-6.84227991104126,0.6923999786376953,,
20,6551,,,,0.7449669241905212,0.8033999800682068
21,6599,-8.509326934814453,,,,
21,6649,-9.686080932617188,,,,
21,6699,-9.235359191894531,,,,
21,6749,-8.036661148071289,,,,
21,6799,-8.686423301696777,,,,
21,6849,-8.65234375,,,,
21,6863,,-8.211357116699219,0.7200999855995178,,
21,6863,,,,0.7478715777397156,0.8395000100135803
22,6899,-9.455873489379883,,,,
22,6949,-9.642163276672363,,,,
22,6999,-9.677236557006836,,,,
22,7049,-10.010642051696777,,,,
22,7099,-9.475584983825684,,,,
22,7149,-9.420783996582031,,,,
22,7175,,-9.093384742736816,0.7121000289916992,,
22,7175,,,,0.7543820142745972,0.82669997215271
23,7199,-10.957525253295898,,,,
23,7249,-10.681865692138672,,,,
23,7299,-10.971627235412598,,,,
23,7349,-11.155193328857422,,,,
23,7399,-11.074286460876465,,,,
23,7449,-11.176050186157227,,,,
23,7487,,-10.318832397460938,0.7267000079154968,,
23,7487,,,,0.758864164352417,0.8357999920845032
24,7499,-12.234888076782227,,,,
24,7549,-10.769386291503906,,,,
24,7599,-11.67839241027832,,,,
24,7649,-12.502241134643555,,,,
24,7699,-12.131144523620605,,,,
24,7749,-12.0690279006958,,,,
