step,train_loss2,train_loss1,epoch,train_acc1,test_acc,train_acc2
49,0.01627425104379654,0.01573248952627182,0,,,
99,0.015768980607390404,0.014861945062875748,0,,,
149,0.014602616429328918,0.014020907692611217,0,,,
199,0.014626775868237019,0.01408805325627327,0,,,
249,0.013527452945709229,0.013908151537179947,0,,,
299,0.013414997607469559,0.013947118073701859,0,,,
349,0.014298995025455952,0.014265889301896095,0,,,
389,,,0,0.3402043282985687,0.4722999930381775,0.3304687440395355
399,0.012815477326512337,0.01288949977606535,1,,,
449,0.012940511107444763,0.012483651749789715,1,,,
499,0.011133345775306225,0.01119611319154501,1,,,
549,0.011170824989676476,0.011711795814335346,1,,,
599,0.011239063926041126,0.010805478319525719,1,,,
649,0.011052770540118217,0.010925345122814178,1,,,
699,0.010578158311545849,0.009814332239329815,1,,,
749,0.010146882385015488,0.010136911645531654,1,,,
779,,,1,0.4814302921295166,0.5070000290870667,0.4791065752506256
799,0.009663338772952557,0.009410485625267029,2,,,
849,0.009229421615600586,0.00887757632881403,2,,,
899,0.009141016751527786,0.008878613822162151,2,,,
949,0.009868665598332882,0.01012349408119917,2,,,
999,0.008996011689305305,0.009322241879999638,2,,,
1049,0.011182920075953007,0.011869876645505428,2,,,
1099,0.011577783152461052,0.011561130173504353,2,,,
1149,0.008568424731492996,0.00944007933139801,2,,,
1169,,,2,0.547616183757782,0.6327999830245972,0.5533654093742371
1199,0.009158497676253319,0.009236046113073826,3,,,
1249,0.009455570951104164,0.009403236210346222,3,,,
1299,0.008504190482199192,0.00895158015191555,3,,,
1349,0.008725493215024471,0.008997508324682713,3,,,
1399,0.008298139087855816,0.008694242686033249,3,,,
1449,0.009594723582267761,0.009435312822461128,3,,,
1499,0.008955763652920723,0.008218581788241863,3,,,
1549,0.006673126947134733,0.006950464099645615,3,,,
1559,,,3,0.5909254550933838,0.6822999715805054,0.5975961685180664
1599,0.006733269430696964,0.007510094437748194,4,,,
1649,0.007689131423830986,0.007188697811216116,4,,,
1699,0.006813566666096449,0.006695933640003204,4,,,
1749,0.008518099784851074,0.00877589825540781,4,,,
1799,0.00923442468047142,0.009063237346708775,4,,,
1849,0.006437039002776146,0.0067823175340890884,4,,,
1899,0.007339653093367815,0.007382465526461601,4,,,
1949,0.005800475832074881,0.006514524109661579,4,,,
1949,,,4,0.6217347979545593,0.6740000247955322,0.6278245449066162
1999,0.0047342823818326,0.004873469937592745,5,,,
2049,0.007078731432557106,0.00795560609549284,5,,,
2099,0.0064236135222017765,0.0061079589650034904,5,,,
2149,0.006429860834032297,0.006530890706926584,5,,,
2199,0.007218968588858843,0.006833262275904417,5,,,
2249,0.007347369100898504,0.007515242323279381,5,,,
2299,0.007361168973147869,0.007554126903414726,5,,,
2339,,,5,0.6523637771606445,0.6952999830245972,0.6561097502708435
2349,0.005238318350166082,0.006092666182667017,6,,,
2399,0.006995073985308409,0.006724281702190638,6,,,
2449,0.005859323777258396,0.006210699211806059,6,,,
2499,0.0060685258358716965,0.0053569660522043705,6,,,
2549,0.004939346108585596,0.005432437174022198,6,,,
2599,0.004862353205680847,0.00516081927344203,6,,,
2649,0.0067255874164402485,0.006017367355525494,6,,,
2699,0.005595773924142122,0.005962103605270386,6,,,
2729,,,6,0.6728365421295166,0.7336999773979187,0.672035276889801
2749,0.004809002857655287,0.005190327763557434,7,,,
2799,0.004944628570228815,0.00577978789806366,7,,,
2849,0.004881866741925478,0.004750475287437439,7,,,
2899,0.006104820407927036,0.006389173679053783,7,,,
2949,0.0056349788792431355,0.005003836005926132,7,,,
2999,0.006944271270185709,0.006857592146843672,7,,,
3049,0.005168591625988483,0.005538686644285917,7,,,
