train_loss,epoch,step,test_acc,train_acc
2.2967774868011475,0,49,,
2.2940473556518555,0,99,,
2.1546475887298584,0,149,,
2.1233978271484375,0,199,,
2.131014347076416,0,249,,
2.0432138442993164,0,299,,
1.9733607769012451,0,349,,
,0,389,0.266400009393692,0.1756410300731659
2.0588252544403076,1,399,,
1.8965741395950317,1,449,,
2.035856008529663,1,499,,
1.9726886749267578,1,549,,
1.9759531021118164,1,599,,
1.8870601654052734,1,649,,
1.858500361442566,1,699,,
1.8261816501617432,1,749,,
,1,779,0.3490999937057495,0.26969149708747864
1.949113130569458,2,799,,
1.7586077451705933,2,849,,
1.9210114479064941,2,899,,
1.7809360027313232,2,949,,
1.8368000984191895,2,999,,
1.69576096534729,2,1049,,
1.6462379693984985,2,1099,,
1.8453152179718018,2,1149,,
,2,1169,0.397599995136261,0.3506009578704834
1.6936951875686646,3,1199,,
1.6862003803253174,3,1249,,
1.5652576684951782,3,1299,,
1.7569258213043213,3,1349,,
1.59894597530365,3,1399,,
1.577457308769226,3,1449,,
1.5881738662719727,3,1499,,
1.5839250087738037,3,1549,,
,3,1559,0.48080000281333923,0.41382211446762085
1.5124249458312988,4,1599,,
1.5318344831466675,4,1649,,
1.6440948247909546,4,1699,,
1.6227277517318726,4,1749,,
1.4335441589355469,4,1799,,
1.4732555150985718,4,1849,,
1.8887418508529663,4,1899,,
1.5435373783111572,4,1949,,
,4,1949,0.5110999941825867,0.4694311022758484
1.4144665002822876,5,1999,,
1.4865189790725708,5,2049,,
1.3200634717941284,5,2099,,
1.4968334436416626,5,2149,,
1.4131897687911987,5,2199,,
1.422852635383606,5,2249,,
1.2099075317382812,5,2299,,
,5,2339,0.5967000126838684,0.5174278616905212
1.420770287513733,6,2349,,
1.3576669692993164,6,2399,,
1.5045580863952637,6,2449,,
1.5385289192199707,6,2499,,
1.3638074398040771,6,2549,,
1.2267346382141113,6,2599,,
1.3326884508132935,6,2649,,
1.185219407081604,6,2699,,
